[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.46,          3.30,       0.89,       8.93,     29.47,          0.37
        -18,          1,    2,        -20.63,          3.30,       0.92,       9.26,     30.57,          0.33
        -18,          1,    3,        -19.40,          3.30,       0.96,       9.59,     31.66,          0.31
        -18,          1,    4,        -18.29,          3.30,       0.99,       9.94,     32.80,          0.30
        -18,          1,    5,        -17.19,          3.30,       1.02,      10.22,     33.72,          0.33
        -18,          1,    6,        -16.52,          3.30,       1.05,      10.51,     34.67,          0.33
        -18,          1,    7,        -15.90,          3.30,       1.08,      10.81,     35.66,          0.33
        -18,          2,    1,        -20.26,          3.30,       0.92,       9.16,     30.23,          0.75
        -18,          2,    2,        -18.59,          3.30,       0.95,       9.54,     31.48,          0.55
        -18,          2,    3,        -17.19,          3.30,       0.99,       9.93,     32.75,          0.51
        -18,          2,    4,        -16.32,          3.30,       1.02,      10.24,     33.78,          0.49
        -18,          2,    5,        -15.50,          3.30,       1.06,      10.55,     34.81,          0.48
        -18,          2,    6,        -14.70,          3.30,       1.09,      10.93,     36.05,          0.48
        -18,          2,    7,        -14.18,          3.30,       1.12,      11.27,     37.17,          0.47
        -18,          3,    1,        -17.51,          3.30,       0.96,       9.58,     31.63,          0.98
        -18,          3,    2,        -16.07,          3.30,       1.00,      10.00,     33.00,          0.78
        -18,          3,    3,        -15.00,          3.30,       1.04,      10.36,     34.18,          0.73
        -18,          3,    4,        -14.12,          3.30,       1.07,      10.76,     35.49,          0.68
        -18,          3,    5,        -13.43,          3.30,       1.11,      11.15,     36.79,          0.65
        -18,          3,    6,        -12.92,          3.30,       1.15,      11.47,     37.83,          0.64
        -18,          3,    7,        -12.53,          3.30,       1.18,      11.78,     38.86,          0.62
        -18,          4,    1,        -15.49,          3.30,       1.00,      10.00,     32.98,          1.29
        -18,          4,    2,        -14.15,          3.30,       1.05,      10.46,     34.51,          1.03
        -18,          4,    3,        -13.29,          3.30,       1.09,      10.86,     35.83,          0.93
        -18,          4,    4,        -12.58,          3.30,       1.13,      11.31,     37.31,          0.85
        -18,          4,    5,        -12.11,          3.30,       1.16,      11.63,     38.37,          0.81
        -18,          4,    6,        -11.62,          3.30,       1.20,      12.00,     39.59,          0.78
        -18,          4,    7,        -11.24,          3.30,       1.23,      12.31,     40.60,          0.77
        -18,          5,    1,        -13.42,          3.30,       1.05,      10.56,     34.84,          1.64
        -18,          5,    2,        -12.24,          3.30,       1.11,      11.10,     36.62,          1.31
        -18,          5,    3,        -11.53,          3.30,       1.16,      11.55,     38.11,          1.16
        -18,          5,    4,        -11.02,          3.30,       1.19,      11.95,     39.43,          1.07
        -18,          5,    5,        -10.55,          3.30,       1.23,      12.32,     40.67,          1.02
        -18,          5,    6,        -10.19,          3.30,       1.27,      12.69,     41.88,          0.97
        -18,          5,    7,         -9.91,          3.30,       1.30,      13.03,     42.99,          0.93
        -18,          6,    1,        -12.15,          3.30,       1.11,      11.04,     36.42,          2.11
        -18,          6,    2,        -11.12,          3.30,       1.16,      11.63,     38.35,          1.60
        -18,          6,    3,        -10.48,          3.30,       1.21,      12.14,     40.04,          1.37
        -18,          6,    4,         -9.93,          3.30,       1.25,      12.51,     41.27,          1.31
        -18,          6,    5,         -9.60,          3.30,       1.29,      12.93,     42.65,          1.20
        -18,          6,    6,         -9.32,          3.30,       1.33,      13.27,     43.77,          1.14
        -18,          6,    7,         -9.04,          3.30,       1.36,      13.61,     44.90,          1.10
        -18,          7,    1,        -11.02,          3.30,       1.16,      11.60,     38.28,          2.25
        -18,          7,    2,        -10.11,          3.30,       1.22,      12.22,     40.32,          1.76
        -18,          7,    3,         -9.45,          3.30,       1.27,      12.76,     42.09,          1.55
        -18,          7,    4,         -8.96,          3.30,       1.32,      13.21,     43.57,          1.44
        -18,          7,    5,         -8.64,          3.30,       1.36,      13.55,     44.71,          1.37
        -18,          7,    6,         -8.41,          3.30,       1.40,      13.97,     46.09,          1.27
        -18,          7,    7,         -8.16,          3.30,       1.43,      14.33,     47.28,          1.22
        -17,          1,    1,        -22.36,          3.30,       0.90,       8.97,     29.58,          0.41
        -17,          1,    2,        -20.45,          3.30,       0.93,       9.31,     30.71,          0.35
        -17,          1,    3,        -18.85,          3.30,       0.97,       9.67,     31.91,          0.35
        -17,          1,    4,        -17.82,          3.30,       0.99,       9.95,     32.83,          0.35
        -17,          1,    5,        -17.04,          3.30,       1.03,      10.29,     33.95,          0.34
        -17,          1,    6,        -16.19,          3.30,       1.06,      10.57,     34.87,          0.36
        -17,          1,    7,        -15.49,          3.30,       1.09,      10.87,     35.86,          0.37
        -17,          2,    1,        -19.99,          3.30,       0.92,       9.20,     30.36,          0.77
        -17,          2,    2,        -18.26,          3.30,       0.96,       9.61,     31.71,          0.56
        -17,          2,    3,        -16.87,          3.30,       1.00,      10.00,     33.00,          0.52
        -17,          2,    4,        -15.89,          3.30,       1.03,      10.31,     34.03,          0.52
        -17,          2,    5,        -15.14,          3.30,       1.07,      10.64,     35.10,          0.51
        -17,          2,    6,        -14.44,          3.30,       1.10,      11.00,     36.29,          0.50
        -17,          2,    7,        -13.79,          3.30,       1.13,      11.35,     37.44,          0.50
        -17,          3,    1,        -17.09,          3.30,       0.97,       9.69,     31.97,          0.98
        -17,          3,    2,        -15.61,          3.30,       1.01,      10.11,     33.34,          0.82
        -17,          3,    3,        -14.44,          3.30,       1.05,      10.50,     34.66,          0.77
        -17,          3,    4,        -13.55,          3.30,       1.09,      10.88,     35.90,          0.75
        -17,          3,    5,        -13.00,          3.30,       1.13,      11.26,     37.16,          0.70
        -17,          3,    6,        -12.61,          3.30,       1.16,      11.58,     38.20,          0.67
        -17,          3,    7,        -12.02,          3.30,       1.19,      11.92,     39.31,          0.67
        -17,          4,    1,        -14.97,          3.30,       1.01,      10.10,     33.32,          1.31
        -17,          4,    2,        -13.77,          3.30,       1.06,      10.57,     34.87,          1.05
        -17,          4,    3,        -12.87,          3.30,       1.10,      11.01,     36.33,          0.95
        -17,          4,    4,        -12.18,          3.30,       1.14,      11.42,     37.66,          0.89
        -17,          4,    5,        -11.62,          3.30,       1.18,      11.78,     38.87,          0.86
        -17,          4,    6,        -11.24,          3.30,       1.22,      12.14,     40.03,          0.82
        -17,          4,    7,        -10.84,          3.30,       1.25,      12.47,     41.12,          0.80
        -17,          5,    1,        -13.03,          3.30,       1.07,      10.67,     35.22,          1.82
        -17,          5,    2,        -11.89,          3.30,       1.12,      11.27,     37.17,          1.38
        -17,          5,    3,        -11.08,          3.30,       1.17,      11.74,     38.71,          1.25
        -17,          5,    4,        -10.54,          3.30,       1.21,      12.14,     40.03,          1.17
