[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.47,          3.30,       0.90,       8.94,     29.50,          0.39
        -18,          1,    2,        -20.57,          3.30,       0.93,       9.29,     30.67,          0.33
        -18,          1,    3,        -19.30,          3.30,       0.96,       9.62,     31.74,          0.32
        -18,          1,    4,        -17.98,          3.30,       0.99,       9.93,     32.77,          0.34
        -18,          1,    5,        -17.22,          3.30,       1.02,      10.25,     33.81,          0.33
        -18,          1,    6,        -16.41,          3.30,       1.05,      10.57,     34.88,          0.34
        -18,          1,    7,        -15.79,          3.30,       1.08,      10.82,     35.70,          0.34
        -18,          2,    1,        -20.05,          3.30,       0.92,       9.18,     30.28,          0.78
        -18,          2,    2,        -18.48,          3.30,       0.96,       9.60,     31.69,          0.53
        -18,          2,    3,        -17.13,          3.30,       0.99,       9.96,     32.85,          0.51
        -18,          2,    4,        -16.07,          3.30,       1.03,      10.28,     33.94,          0.50
        -18,          2,    5,        -15.33,          3.30,       1.06,      10.58,     34.90,          0.50
        -18,          2,    6,        -14.60,          3.30,       1.10,      10.95,     36.13,          0.49
        -18,          2,    7,        -14.09,          3.30,       1.13,      11.30,     37.29,          0.47
        -18,          3,    1,        -17.36,          3.30,       0.96,       9.65,     31.83,          0.97
        -18,          3,    2,        -15.85,          3.30,       1.00,      10.05,     33.17,          0.80
        -18,          3,    3,        -14.74,          3.30,       1.04,      10.42,     34.38,          0.75
        -18,          3,    4,        -13.94,          3.30,       1.08,      10.81,     35.66,          0.71
        -18,          3,    5,        -13.28,          3.30,       1.12,      11.18,     36.89,          0.67
        -18,          3,    6,        -12.83,          3.30,       1.15,      11.53,     38.06,          0.64
        -18,          3,    7,        -12.30,          3.30,       1.18,      11.85,     39.08,          0.64
        -18,          4,    1,        -15.26,          3.30,       1.00,      10.05,     33.16,          1.25
        -18,          4,    2,        -14.05,          3.30,       1.05,      10.50,     34.65,          1.01
        -18,          4,    3,        -13.11,          3.30,       1.09,      10.94,     36.09,          0.92
        -18,          4,    4,        -12.46,          3.30,       1.14,      11.37,     37.51,          0.84
        -18,          4,    5,        -11.92,          3.30,       1.17,      11.69,     38.59,          0.82
        -18,          4,    6,        -11.51,          3.30,       1.21,      12.03,     39.69,          0.79
        -18,          4,    7,        -11.07,          3.30,       1.24,      12.39,     40.88,          0.77
        -18,          5,    1,        -13.27,          3.30,       1.06,      10.61,     35.01,          1.65
        -18,          5,    2,        -12.11,          3.30,       1.11,      11.19,     36.93,          1.29
        -18,          5,    3,        -11.36,          3.30,       1.16,      11.65,     38.45,          1.16
        -18,          5,    4,        -10.81,          3.30,       1.20,      12.02,     39.67,          1.10
        -18,          5,    5,        -10.36,          3.30,       1.24,      12.43,     41.01,          1.04
        -18,          5,    6,        -10.05,          3.30,       1.28,      12.79,     42.20,          0.98
        -18,          5,    7,         -9.70,          3.30,       1.31,      13.12,     43.30,          0.96
        -18,          6,    1,        -11.93,          3.30,       1.12,      11.14,     36.77,          2.13
        -18,          6,    2,        -10.95,          3.30,       1.17,      11.72,     38.66,          1.64
        -18,          6,    3,        -10.29,          3.30,       1.22,      12.20,     40.27,          1.44
        -18,          6,    4,         -9.75,          3.30,       1.26,      12.63,     41.67,          1.34
        -18,          6,    5,         -9.42,          3.30,       1.30,      13.03,     42.99,          1.24
        -18,          6,    6,         -9.14,          3.30,       1.34,      13.39,     44.18,          1.17
        -18,          6,    7,         -8.85,          3.30,       1.38,      13.76,     45.39,          1.12
        -18,          7,    1,        -10.86,          3.30,       1.17,      11.71,     38.65,          2.30
        -18,          7,    2,         -9.91,          3.30,       1.23,      12.32,     40.66,          1.83
        -18,          7,    3,         -9.24,          3.30,       1.29,      12.89,     42.52,          1.60
        -18,          7,    4,         -8.84,          3.30,       1.33,      13.33,     43.99,          1.47
        -18,          7,    5,         -8.48,          3.30,       1.37,      13.73,     45.32,          1.39
        -18,          7,    6,         -8.26,          3.30,       1.41,      14.08,     46.45,          1.31
        -18,          7,    7,         -8.02,          3.30,       1.45,      14.52,     47.91,          1.23
        -17,          1,    1,        -21.93,          3.30,       0.90,       8.98,     29.62,          0.44
        -17,          1,    2,        -20.09,          3.30,       0.93,       9.33,     30.80,          0.37
        -17,          1,    3,        -18.76,          3.30,       0.97,       9.68,     31.93,          0.35
        -17,          1,    4,        -17.74,          3.30,       1.00,      10.01,     33.04,          0.34
        -17,          1,    5,        -16.85,          3.30,       1.03,      10.29,     33.94,          0.36
        -17,          1,    6,        -16.04,          3.30,       1.06,      10.59,     34.94,          0.37
        -17,          1,    7,        -15.43,          3.30,       1.09,      10.93,     36.06,          0.36
        -17,          2,    1,        -19.75,          3.30,       0.92,       9.25,     30.51,          0.77
        -17,          2,    2,        -18.10,          3.30,       0.97,       9.62,     31.74,          0.60
        -17,          2,    3,        -16.75,          3.30,       1.00,      10.00,     33.01,          0.55
        -17,          2,    4,        -15.77,          3.30,       1.04,      10.35,     34.16,          0.53
        -17,          2,    5,        -14.96,          3.30,       1.07,      10.69,     35.28,          0.52
        -17,          2,    6,        -14.20,          3.30,       1.11,      11.07,     36.51,          0.52
        -17,          2,    7,        -13.69,          3.30,       1.14,      11.37,     37.52,          0.51
        -17,          3,    1,        -17.00,          3.30,       0.97,       9.68,     31.92,          1.08
        -17,          3,    2,        -15.49,          3.30,       1.01,      10.14,     33.46,          0.84
        -17,          3,    3,        -14.36,          3.30,       1.05,      10.56,     34.84,          0.77
        -17,          3,    4,        -13.55,          3.30,       1.09,      10.93,     36.07,          0.74
        -17,          3,    5,        -12.97,          3.30,       1.13,      11.31,     37.34,          0.70
        -17,          3,    6,        -12.48,          3.30,       1.17,      11.67,     38.51,          0.67
        -17,          3,    7,        -11.94,          3.30,       1.20,      11.97,     39.51,          0.68
        -17,          4,    1,        -14.89,          3.30,       1.01,      10.12,     33.37,          1.50
        -17,          4,    2,        -13.51,          3.30,       1.06,      10.63,     35.07,          1.15
        -17,          4,    3,        -12.70,          3.30,       1.11,      11.07,     36.54,          1.01
        -17,          4,    4,        -12.10,          3.30,       1.15,      11.47,     37.85,          0.93
        -17,          4,    5,        -11.50,          3.30,       1.19,      11.84,     39.07,          0.90
        -17,          4,    6,        -11.03,          3.30,       1.22,      12.21,     40.29,          0.87
        -17,          4,    7,        -10.72,          3.30,       1.25,      12.55,     41.43,          0.83
        -17,          5,    1,        -12.83,          3.30,       1.07,      10.72,     35.37,          1.83
        -17,          5,    2,        -11.71,          3.30,       1.13,      11.35,     37.45,          1.37
        -17,          5,    3,        -10.99,          3.30,       1.18,      11.81,     38.96,          1.24
        -17,          5,    4,        -10.44,          3.30,       1.22,      12.22,     40.34,          1.16
        -17,          5,    5,        -10.03,          3.30,       1.26,      12.66,     41.75,          1.08
        -17,          5,    6,         -9.56,          3.30,       1.30,      12.98,     42.84,          1.07
        -17,          5,    7,         -9.29,          3.30,       1.33,      13.35,     44.04,          1.02
        -17,          6,    1,        -11.54,          3.30,       1.13,      11.33,     37.39,          2.24
        -17,          6,    2,        -10.51,          3.30,       1.19,      11.93,     39.38,          1.74
        -17,          6,    3,         -9.78,          3.30,       1.25,      12.43,     41.04,          1.55
        -17,          6,    4,         -9.34,          3.30,       1.29,      12.87,     42.47,          1.42
        -17,          6,    5,         -8.96,          3.30,       1.33,      13.26,     43.74,          1.34
        -17,          6,    6,         -8.72,          3.30,       1.36,      13.63,     44.96,          1.25
        -17,          6,    7,         -8.46,          3.30,       1.40,      13.97,     46.10,          1.20
        -17,          7,    1,        -10.43,          3.30,       1.19,      11.92,     39.34,          2.46
        -17,          7,    2,         -9.44,          3.30,       1.26,      12.59,     41.53,          1.94
        -17,          7,    3,         -8.74,          3.30,       1.31,      13.14,     43.35,          1.74
        -17,          7,    4,         -8.34,          3.30,       1.36,      13.57,     44.76,          1.61
        -17,          7,    5,         -8.03,          3.30,       1.40,      13.98,     46.13,          1.50
        -17,          7,    6,         -7.83,          3.30,       1.44,      14.39,     47.49,          1.39
        -17,          7,    7,         -7.60,          3.30,       1.48,      14.79,     48.79,          1.32
        -16,          1,    1,        -21.68,          3.30,       0.90,       9.02,     29.77,          0.42
        -16,          1,    2,        -19.87,          3.30,       0.94,       9.38,     30.94,          0.37
        -16,          1,    3,        -18.35,          3.30,       0.97,       9.75,     32.18,          0.36
        -16,          1,    4,        -17.28,          3.30,       1.01,      10.10,     33.33,          0.36
        -16,          1,    5,        -16.44,          3.30,       1.04,      10.36,     34.19,          0.38
        -16,          1,    6,        -15.69,          3.30,       1.07,      10.69,     35.27,          0.38
        -16,          1,    7,        -15.14,          3.30,       1.10,      11.01,     36.32,          0.38
        -16,          2,    1,        -19.33,          3.30,       0.93,       9.31,     30.71,          0.85
        -16,          2,    2,        -17.66,          3.30,       0.97,       9.72,     32.08,          0.62
        -16,          2,    3,        -16.39,          3.30,       1.01,      10.10,     33.33,          0.57
        -16,          2,    4,        -15.41,          3.30,       1.05,      10.42,     34.39,          0.57
        -16,          2,    5,        -14.47,          3.30,       1.08,      10.79,     35.59,          0.57
        -16,          2,    6,        -13.95,          3.30,       1.12,      11.18,     36.91,          0.53
        -16,          2,    7,        -13.45,          3.30,       1.15,      11.49,     37.92,          0.53
        -16,          3,    1,        -16.41,          3.30,       0.98,       9.79,     32.32,          1.17
        -16,          3,    2,        -14.99,          3.30,       1.02,      10.23,     33.77,          0.93
        -16,          3,    3,        -13.99,          3.30,       1.06,      10.66,     35.19,          0.83
        -16,          3,    4,        -13.14,          3.30,       1.11,      11.06,     36.48,          0.79
        -16,          3,    5,        -12.53,          3.30,       1.14,      11.46,     37.81,          0.75
        -16,          3,    6,        -12.04,          3.30,       1.18,      11.79,     38.89,          0.73
        -16,          3,    7,        -11.61,          3.30,       1.21,      12.11,     39.97,          0.72
        -16,          4,    1,        -14.43,          3.30,       1.03,      10.24,     33.78,          1.58
        -16,          4,    2,        -13.15,          3.30,       1.07,      10.74,     35.45,          1.23
        -16,          4,    3,        -12.28,          3.30,       1.12,      11.23,     37.06,          1.06
        -16,          4,    4,        -11.68,          3.30,       1.16,      11.64,     38.41,          0.98
        -16,          4,    5,        -11.16,          3.30,       1.20,      12.00,     39.59,          0.95
        -16,          4,    6,        -10.66,          3.30,       1.24,      12.33,     40.67,          0.94
        -16,          4,    7,        -10.30,          3.30,       1.27,      12.70,     41.89,          0.90
        -16,          5,    1,        -12.40,          3.30,       1.09,      10.91,     36.02,          1.86
        -16,          5,    2,        -11.31,          3.30,       1.15,      11.50,     37.94,          1.47
        -16,          5,    3,        -10.52,          3.30,       1.20,      11.96,     39.47,          1.36
        -16,          5,    4,        -10.02,          3.30,       1.24,      12.42,     41.00,          1.23
        -16,          5,    5,         -9.53,          3.30,       1.28,      12.82,     42.31,          1.19
        -16,          5,    6,         -9.20,          3.30,       1.32,      13.15,     43.42,          1.15
        -16,          5,    7,         -8.90,          3.30,       1.36,      13.53,     44.64,          1.10
        -16,          6,    1,        -11.08,          3.30,       1.15,      11.54,     38.09,          2.26
        -16,          6,    2,        -10.08,          3.30,       1.21,      12.12,     40.00,          1.84
        -16,          6,    3,         -9.41,          3.30,       1.26,      12.63,     41.66,          1.63
        -16,          6,    4,         -8.93,          3.30,       1.31,      13.09,     43.19,          1.50
        -16,          6,    5,         -8.58,          3.30,       1.35,      13.48,     44.49,          1.41
        -16,          6,    6,         -8.25,          3.30,       1.38,      13.85,     45.69,          1.36
        -16,          6,    7,         -8.05,          3.30,       1.43,      14.24,     46.96,          1.27
        -16,          7,    1,         -9.95,          3.30,       1.21,      12.13,     40.02,          2.69
        -16,          7,    2,         -8.93,          3.30,       1.28,      12.83,     42.32,          2.11
        -16,          7,    3,         -8.36,          3.30,       1.34,      13.38,     44.16,          1.85
        -16,          7,    4,         -7.95,          3.30,       1.38,      13.85,     45.70,          1.70
        -16,          7,    5,         -7.59,          3.30,       1.43,      14.30,     47.17,          1.60
        -16,          7,    6,         -7.31,          3.30,       1.47,      14.71,     48.54,          1.51
        -16,          7,    7,         -7.10,          3.30,       1.51,      15.05,     49.64,          1.46
        -15,          1,    1,        -21.33,          3.30,       0.91,       9.08,     29.96,          0.50
        -15,          1,    2,        -19.29,          3.30,       0.95,       9.51,     31.40,          0.40
        -15,          1,    3,        -18.02,          3.30,       0.98,       9.82,     32.42,          0.40
        -15,          1,    4,        -16.85,          3.30,       1.02,      10.18,     33.59,          0.40
        -15,          1,    5,        -15.93,          3.30,       1.05,      10.47,     34.56,          0.42
        -15,          1,    6,        -15.16,          3.30,       1.08,      10.83,     35.73,          0.42
        -15,          1,    7,        -14.58,          3.30,       1.11,      11.16,     36.83,          0.42
        -15,          2,    1,        -18.68,          3.30,       0.94,       9.45,     31.19,          0.93
        -15,          2,    2,        -17.18,          3.30,       0.99,       9.85,     32.50,          0.69
        -15,          2,    3,        -15.83,          3.30,       1.02,      10.27,     33.89,          0.63
        -15,          2,    4,        -14.79,          3.30,       1.06,      10.57,     34.87,          0.65
        -15,          2,    5,        -14.01,          3.30,       1.09,      10.93,     36.08,          0.63
        -15,          2,    6,        -13.43,          3.30,       1.13,      11.31,     37.34,          0.60
        -15,          2,    7,        -12.86,          3.30,       1.17,      11.68,     38.53,          0.59
        -15,          3,    1,        -15.76,          3.30,       1.00,       9.94,     32.79,          1.29
