[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.21,          3.30,       0.89,       8.93,     29.45,          0.41
        -18,          1,    2,        -20.69,          3.30,       0.93,       9.27,     30.58,          0.33
        -18,          1,    3,        -19.16,          3.30,       0.96,       9.63,     31.76,          0.32
        -18,          1,    4,        -18.04,          3.30,       0.99,       9.94,     32.82,          0.32
        -18,          1,    5,        -17.22,          3.30,       1.02,      10.24,     33.79,          0.33
        -18,          1,    6,        -16.40,          3.30,       1.05,      10.52,     34.73,          0.34
        -18,          1,    7,        -15.66,          3.30,       1.08,      10.82,     35.69,          0.35
        -18,          2,    1,        -20.07,          3.30,       0.92,       9.17,     30.25,          0.83
        -18,          2,    2,        -18.40,          3.30,       0.96,       9.57,     31.59,          0.57
        -18,          2,    3,        -17.21,          3.30,       0.99,       9.94,     32.81,          0.51
        -18,          2,    4,        -16.17,          3.30,       1.03,      10.27,     33.87,          0.50
        -18,          2,    5,        -15.32,          3.30,       1.06,      10.61,     35.01,          0.49
        -18,          2,    6,        -14.69,          3.30,       1.09,      10.94,     36.11,          0.48
        -18,          2,    7,        -14.11,          3.30,       1.13,      11.29,     37.26,          0.47
        -18,          3,    1,        -17.29,          3.30,       0.96,       9.61,     31.72,          1.00
        -18,          3,    2,        -15.80,          3.30,       1.01,      10.05,     33.16,          0.79
        -18,          3,    3,        -14.82,          3.30,       1.04,      10.41,     34.34,          0.73
        -18,          3,    4,        -13.95,          3.30,       1.08,      10.79,     35.60,          0.70
        -18,          3,    5,        -13.36,          3.30,       1.12,      11.19,     36.94,          0.65
        -18,          3,    6,        -12.71,          3.30,       1.15,      11.53,     38.03,          0.65
        -18,          3,    7,        -12.41,          3.30,       1.18,      11.82,     39.00,          0.63
        -18,          4,    1,        -15.36,          3.30,       1.00,      10.01,     33.04,          1.37
        -18,          4,    2,        -14.04,          3.30,       1.05,      10.48,     34.58,          1.07
        -18,          4,    3,        -13.16,          3.30,       1.09,      10.95,     36.16,          0.92
        -18,          4,    4,        -12.49,          3.30,       1.14,      11.36,     37.47,          0.86
        -18,          4,    5,        -11.90,          3.30,       1.17,      11.68,     38.55,          0.84
        -18,          4,    6,        -11.41,          3.30,       1.20,      12.04,     39.73,          0.82
        -18,          4,    7,        -11.08,          3.30,       1.24,      12.38,     40.85,          0.78
        -18,          5,    1,        -13.28,          3.30,       1.06,      10.57,     34.88,          1.77
        -18,          5,    2,        -12.14,          3.30,       1.12,      11.17,     36.86,          1.32
        -18,          5,    3,        -11.33,          3.30,       1.16,      11.63,     38.37,          1.20
        -18,          5,    4,        -10.77,          3.30,       1.21,      12.03,     39.70,          1.12
