[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.68,          3.30,       0.89,       8.92,     29.43,          0.38
        -18,          1,    2,        -20.89,          3.30,       0.93,       9.24,     30.49,          0.33
        -18,          1,    3,        -19.22,          3.30,       0.96,       9.63,     31.78,          0.32
        -18,          1,    4,        -18.09,          3.30,       0.99,       9.93,     32.77,          0.33
        -18,          1,    5,        -17.32,          3.30,       1.02,      10.21,     33.70,          0.33
        -18,          1,    6,        -16.62,          3.30,       1.05,      10.50,     34.65,          0.33
        -18,          1,    7,        -15.83,          3.30,       1.08,      10.78,     35.58,          0.35
        -18,          2,    1,        -20.21,          3.30,       0.92,       9.11,     30.08,          0.87
        -18,          2,    2,        -18.55,          3.30,       0.95,       9.56,     31.54,          0.55
        -18,          2,    3,        -17.36,          3.30,       0.99,       9.92,     32.75,          0.49
        -18,          2,    4,        -16.37,          3.30,       1.02,      10.24,     33.79,          0.48
        -18,          2,    5,        -15.48,          3.30,       1.06,      10.56,     34.86,          0.48
        -18,          2,    6,        -14.79,          3.30,       1.09,      10.92,     36.02,          0.47
        -18,          2,    7,        -14.28,          3.30,       1.12,      11.27,     37.18,          0.45
        -18,          3,    1,        -17.50,          3.30,       0.96,       9.60,     31.69,          0.97
        -18,          3,    2,        -15.98,          3.30,       1.00,      10.01,     33.03,          0.80
        -18,          3,    3,        -14.86,          3.30,       1.04,      10.38,     34.27,          0.74
        -18,          3,    4,        -14.08,          3.30,       1.07,      10.74,     35.46,          0.70
        -18,          3,    5,        -13.52,          3.30,       1.12,      11.16,     36.82,          0.64
        -18,          3,    6,        -12.96,          3.30,       1.15,      11.48,     37.87,          0.63
        -18,          3,    7,        -12.49,          3.30,       1.18,      11.78,     38.85,          0.63
        -18,          4,    1,        -15.58,          3.30,       1.00,      10.00,     33.01,          1.19
        -18,          4,    2,        -14.21,          3.30,       1.04,      10.43,     34.41,          1.02
        -18,          4,    3,        -13.27,          3.30,       1.09,      10.88,     35.89,          0.90
        -18,          4,    4,        -12.59,          3.30,       1.13,      11.30,     37.29,          0.83
        -18,          4,    5,        -12.10,          3.30,       1.17,      11.65,     38.46,          0.79
        -18,          4,    6,        -11.61,          3.30,       1.20,      12.00,     39.60,          0.77
        -18,          4,    7,        -11.21,          3.30,       1.23,      12.29,     40.56,          0.77
        -18,          5,    1,        -13.44,          3.30,       1.05,      10.52,     34.70,          1.68
        -18,          5,    2,        -12.33,          3.30,       1.11,      11.09,     36.60,          1.27
        -18,          5,    3,        -11.54,          3.30,       1.16,      11.56,     38.14,          1.15
        -18,          5,    4,        -11.00,          3.30,       1.19,      11.91,     39.31,          1.09
        -18,          5,    5,        -10.57,          3.30,       1.23,      12.29,     40.57,          1.02
        -18,          5,    6,        -10.31,          3.30,       1.27,      12.63,     41.68,          0.96
        -18,          5,    7,         -9.95,          3.30,       1.30,      13.02,     42.98,          0.92
        -18,          6,    1,        -12.15,          3.30,       1.11,      11.08,     36.58,          1.99
        -18,          6,    2,        -11.11,          3.30,       1.16,      11.62,     38.34,          1.61
        -18,          6,    3,        -10.45,          3.30,       1.21,      12.10,     39.94,          1.40
        -18,          6,    4,         -9.98,          3.30,       1.25,      12.50,     41.25,          1.30
        -18,          6,    5,         -9.62,          3.30,       1.29,      12.90,     42.57,          1.21
        -18,          6,    6,         -9.26,          3.30,       1.33,      13.27,     43.80,          1.15
        -18,          6,    7,         -9.04,          3.30,       1.36,      13.62,     44.93,          1.09
        -18,          7,    1,        -11.13,          3.30,       1.16,      11.59,     38.25,          2.22
        -18,          7,    2,        -10.12,          3.30,       1.22,      12.18,     40.20,          1.79
        -18,          7,    3,         -9.42,          3.30,       1.27,      12.73,     42.01,          1.58
        -18,          7,    4,         -9.02,          3.30,       1.32,      13.20,     43.55,          1.43
        -18,          7,    5,         -8.72,          3.30,       1.36,      13.60,     44.89,          1.33
        -18,          7,    6,         -8.42,          3.30,       1.39,      13.95,     46.04,          1.28
        -18,          7,    7,         -8.23,          3.30,       1.44,      14.36,     47.38,          1.19
        -17,          1,    1,        -22.17,          3.30,       0.89,       8.95,     29.53,          0.42
        -17,          1,    2,        -20.34,          3.30,       0.93,       9.31,     30.71,          0.35
        -17,          1,    3,        -18.87,          3.30,       0.97,       9.66,     31.89,          0.34
        -17,          1,    4,        -17.75,          3.30,       1.00,       9.99,     32.96,          0.34
