[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.11,          3.30,       0.89,       8.92,     29.44,          0.45
        -18,          1,    2,        -20.53,          3.30,       0.93,       9.26,     30.56,          0.36
        -18,          1,    3,        -19.09,          3.30,       0.96,       9.64,     31.82,          0.33
        -18,          1,    4,        -17.98,          3.30,       1.00,       9.94,     32.81,          0.34
        -18,          1,    5,        -17.09,          3.30,       1.03,      10.27,     33.88,          0.34
        -18,          1,    6,        -16.29,          3.30,       1.05,      10.53,     34.75,          0.35
        -18,          1,    7,        -15.77,          3.30,       1.08,      10.83,     35.74,          0.35
        -18,          2,    1,        -20.06,          3.30,       0.92,       9.19,     30.34,          0.73
        -18,          2,    2,        -18.34,          3.30,       0.96,       9.60,     31.66,          0.55
        -18,          2,    3,        -17.07,          3.30,       1.00,       9.94,     32.80,          0.51
        -18,          2,    4,        -16.10,          3.30,       1.03,      10.29,     33.94,          0.50
        -18,          2,    5,        -15.26,          3.30,       1.06,      10.60,     34.97,          0.50
        -18,          2,    6,        -14.60,          3.30,       1.09,      10.96,     36.17,          0.48
        -18,          2,    7,        -14.12,          3.30,       1.13,      11.29,     37.24,          0.47
        -18,          3,    1,        -17.28,          3.30,       0.96,       9.61,     31.73,          1.01
        -18,          3,    2,        -15.82,          3.30,       1.00,      10.03,     33.11,          0.81
        -18,          3,    3,        -14.70,          3.30,       1.04,      10.45,     34.49,          0.73
        -18,          3,    4,        -13.91,          3.30,       1.08,      10.80,     35.65,          0.70
        -18,          3,    5,        -13.36,          3.30,       1.12,      11.21,     37.00,          0.65
        -18,          3,    6,        -12.78,          3.30,       1.15,      11.53,     38.04,          0.65
        -18,          3,    7,        -12.38,          3.30,       1.19,      11.85,     39.10,          0.63
        -18,          4,    1,        -15.25,          3.30,       1.00,      10.04,     33.14,          1.31
        -18,          4,    2,        -14.10,          3.30,       1.05,      10.53,     34.74,          1.01
        -18,          4,    3,        -13.19,          3.30,       1.09,      10.95,     36.14,          0.91
        -18,          4,    4,        -12.39,          3.30,       1.13,      11.36,     37.48,          0.87
        -18,          4,    5,        -11.89,          3.30,       1.17,      11.70,     38.60,          0.84
        -18,          4,    6,        -11.41,          3.30,       1.21,      12.07,     39.83,          0.81
        -18,          4,    7,        -11.08,          3.30,       1.24,      12.38,     40.83,          0.78
        -18,          5,    1,        -13.19,          3.30,       1.06,      10.61,     35.01,          1.70
        -18,          5,    2,        -12.12,          3.30,       1.12,      11.20,     36.96,          1.29
        -18,          5,    3,        -11.31,          3.30,       1.17,      11.65,     38.45,          1.18
        -18,          5,    4,        -10.77,          3.30,       1.21,      12.06,     39.81,          1.10
        -18,          5,    5,        -10.39,          3.30,       1.24,      12.40,     40.94,          1.05
        -18,          5,    6,        -10.02,          3.30,       1.28,      12.79,     42.20,          0.99
        -18,          5,    7,         -9.71,          3.30,       1.31,      13.13,     43.33,          0.96
        -18,          6,    1,        -11.96,          3.30,       1.12,      11.17,     36.86,          2.02
        -18,          6,    2,        -10.83,          3.30,       1.17,      11.72,     38.67,          1.66
        -18,          6,    3,        -10.27,          3.30,       1.22,      12.20,     40.26,          1.44
        -18,          6,    4,         -9.76,          3.30,       1.26,      12.60,     41.59,          1.34
        -18,          6,    5,         -9.39,          3.30,       1.30,      13.02,     42.95,          1.25
        -18,          6,    6,         -9.11,          3.30,       1.34,      13.39,     44.19,          1.17
        -18,          6,    7,         -8.88,          3.30,       1.37,      13.75,     45.37,          1.11
        -18,          7,    1,        -10.84,          3.30,       1.17,      11.70,     38.61,          2.32
        -18,          7,    2,         -9.84,          3.30,       1.23,      12.31,     40.63,          1.86
        -18,          7,    3,         -9.27,          3.30,       1.29,      12.88,     42.49,          1.59
        -18,          7,    4,         -8.73,          3.30,       1.33,      13.34,     44.02,          1.49
        -18,          7,    5,         -8.51,          3.30,       1.37,      13.72,     45.26,          1.38
        -18,          7,    6,         -8.23,          3.30,       1.41,      14.08,     46.45,          1.32
        -18,          7,    7,         -7.98,          3.30,       1.45,      14.52,     47.89,          1.24
        -17,          1,    1,        -21.98,          3.30,       0.89,       8.95,     29.54,          0.48
        -17,          1,    2,        -20.29,          3.30,       0.93,       9.34,     30.82,          0.36
        -17,          1,    3,        -18.75,          3.30,       0.97,       9.67,     31.92,          0.36
        -17,          1,    4,        -17.73,          3.30,       1.00,      10.01,     33.03,          0.35
        -17,          1,    5,        -16.80,          3.30,       1.03,      10.32,     34.05,          0.36
        -17,          1,    6,        -16.07,          3.30,       1.06,      10.60,     35.00,          0.36
        -17,          1,    7,        -15.36,          3.30,       1.09,      10.91,     36.01,          0.37
        -17,          2,    1,        -19.65,          3.30,       0.93,       9.26,     30.56,          0.76
        -17,          2,    2,        -18.06,          3.30,       0.97,       9.65,     31.85,          0.57
        -17,          2,    3,        -16.72,          3.30,       1.00,      10.02,     33.08,          0.54
        -17,          2,    4,        -15.67,          3.30,       1.04,      10.36,     34.18,          0.54
        -17,          2,    5,        -14.90,          3.30,       1.07,      10.70,     35.32,          0.52
        -17,          2,    6,        -14.21,          3.30,       1.11,      11.09,     36.60,          0.51
        -17,          2,    7,        -13.71,          3.30,       1.14,      11.40,     37.61,          0.50
        -17,          3,    1,        -16.81,          3.30,       0.97,       9.71,     32.05,          1.05
        -17,          3,    2,        -15.44,          3.30,       1.01,      10.11,     33.37,          0.87
        -17,          3,    3,        -14.28,          3.30,       1.05,      10.56,     34.85,          0.78
        -17,          3,    4,        -13.49,          3.30,       1.09,      10.91,     36.02,          0.75
        -17,          3,    5,        -12.93,          3.30,       1.13,      11.34,     37.42,          0.69
        -17,          3,    6,        -12.40,          3.30,       1.16,      11.64,     38.40,          0.69
        -17,          3,    7,        -11.91,          3.30,       1.20,      11.95,     39.43,          0.69
        -17,          4,    1,        -14.89,          3.30,       1.01,      10.15,     33.50,          1.34
        -17,          4,    2,        -13.59,          3.30,       1.06,      10.60,     35.00,          1.12
        -17,          4,    3,        -12.68,          3.30,       1.11,      11.08,     36.56,          0.98
        -17,          4,    4,        -12.05,          3.30,       1.15,      11.47,     37.85,          0.92
        -17,          4,    5,        -11.45,          3.30,       1.19,      11.87,     39.18,          0.88
        -17,          4,    6,        -11.05,          3.30,       1.22,      12.20,     40.27,          0.86
        -17,          4,    7,        -10.65,          3.30,       1.26,      12.54,     41.39,          0.83
        -17,          5,    1,        -12.81,          3.30,       1.08,      10.75,     35.47,          1.79
        -17,          5,    2,        -11.69,          3.30,       1.13,      11.35,     37.45,          1.38
        -17,          5,    3,        -10.88,          3.30,       1.18,      11.83,     39.02,          1.26
        -17,          5,    4,        -10.36,          3.30,       1.22,      12.24,     40.38,          1.17
        -17,          5,    5,         -9.92,          3.30,       1.26,      12.64,     41.71,          1.11
        -17,          5,    6,         -9.58,          3.30,       1.30,      12.99,     42.87,          1.07
        -17,          5,    7,         -9.29,          3.30,       1.34,      13.34,     44.02,          1.03
