[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.47,          3.30,       0.89,       8.91,     29.40,          0.41
        -18,          1,    2,        -20.82,          3.30,       0.93,       9.25,     30.53,          0.33
        -18,          1,    3,        -19.17,          3.30,       0.96,       9.60,     31.68,          0.33
        -18,          1,    4,        -18.00,          3.30,       0.99,       9.94,     32.79,          0.33
        -18,          1,    5,        -17.28,          3.30,       1.02,      10.20,     33.65,          0.33
        -18,          1,    6,        -16.52,          3.30,       1.05,      10.52,     34.70,          0.33
        -18,          1,    7,        -15.88,          3.30,       1.08,      10.80,     35.65,          0.34
        -18,          2,    1,        -20.34,          3.30,       0.91,       9.14,     30.15,          0.79
        -18,          2,    2,        -18.51,          3.30,       0.96,       9.53,     31.46,          0.57
        -18,          2,    3,        -17.28,          3.30,       0.99,       9.92,     32.73,          0.50
        -18,          2,    4,        -16.32,          3.30,       1.02,      10.23,     33.77,          0.49
        -18,          2,    5,        -15.43,          3.30,       1.06,      10.54,     34.80,          0.49
        -18,          2,    6,        -14.72,          3.30,       1.09,      10.92,     36.04,          0.48
        -18,          2,    7,        -14.18,          3.30,       1.12,      11.23,     37.07,          0.47
        -18,          3,    1,        -17.42,          3.30,       0.96,       9.61,     31.71,          0.95
        -18,          3,    2,        -15.99,          3.30,       1.00,      10.00,     32.99,          0.79
        -18,          3,    3,        -14.84,          3.30,       1.04,      10.37,     34.22,          0.74
        -18,          3,    4,        -14.10,          3.30,       1.08,      10.74,     35.45,          0.69
        -18,          3,    5,        -13.45,          3.30,       1.11,      11.14,     36.76,          0.65
        -18,          3,    6,        -12.97,          3.30,       1.15,      11.47,     37.86,          0.63
        -18,          3,    7,        -12.36,          3.30,       1.18,      11.83,     39.04,          0.63
        -18,          4,    1,        -15.48,          3.30,       1.00,       9.99,     32.97,          1.23
        -18,          4,    2,        -14.21,          3.30,       1.04,      10.43,     34.42,          1.01
        -18,          4,    3,        -13.31,          3.30,       1.09,      10.85,     35.83,          0.91
        -18,          4,    4,        -12.57,          3.30,       1.13,      11.31,     37.32,          0.83
        -18,          4,    5,        -12.06,          3.30,       1.17,      11.65,     38.43,          0.80
        -18,          4,    6,        -11.58,          3.30,       1.20,      11.97,     39.50,          0.79
        -18,          4,    7,        -11.19,          3.30,       1.23,      12.32,     40.65,          0.76
        -18,          5,    1,        -13.36,          3.30,       1.05,      10.53,     34.74,          1.68
        -18,          5,    2,        -12.33,          3.30,       1.11,      11.10,     36.62,          1.27
        -18,          5,    3,        -11.52,          3.30,       1.16,      11.56,     38.17,          1.14
        -18,          5,    4,        -10.91,          3.30,       1.20,      11.95,     39.44,          1.09
        -18,          5,    5,        -10.53,          3.30,       1.23,      12.35,     40.77,          1.01
        -18,          5,    6,        -10.18,          3.30,       1.27,      12.67,     41.83,          0.98
        -18,          5,    7,         -9.86,          3.30,       1.30,      13.01,     42.93,          0.94
        -18,          6,    1,        -12.13,          3.30,       1.11,      11.08,     36.57,          1.99
