[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.46,          3.30,       0.89,       8.91,     29.39,          0.42
        -18,          1,    2,        -20.53,          3.30,       0.93,       9.24,     30.52,          0.36
        -18,          1,    3,        -19.24,          3.30,       0.96,       9.66,     31.88,          0.31
        -18,          1,    4,        -18.14,          3.30,       1.00,       9.97,     32.91,          0.32
        -18,          1,    5,        -17.18,          3.30,       1.02,      10.25,     33.82,          0.33
        -18,          1,    6,        -16.41,          3.30,       1.05,      10.51,     34.69,          0.34
        -18,          1,    7,        -15.78,          3.30,       1.08,      10.80,     35.63,          0.35
        -18,          2,    1,        -20.02,          3.30,       0.92,       9.17,     30.25,          0.83
        -18,          2,    2,        -18.42,          3.30,       0.96,       9.60,     31.69,          0.55
        -18,          2,    3,        -17.19,          3.30,       0.99,       9.94,     32.80,          0.51
        -18,          2,    4,        -16.04,          3.30,       1.03,      10.28,     33.91,          0.51
        -18,          2,    5,        -15.32,          3.30,       1.06,      10.62,     35.07,          0.49
        -18,          2,    6,        -14.64,          3.30,       1.10,      10.94,     36.11,          0.49
        -18,          2,    7,        -14.04,          3.30,       1.13,      11.32,     37.34,          0.48
        -18,          3,    1,        -17.38,          3.30,       0.96,       9.63,     31.78,          0.95
        -18,          3,    2,        -15.95,          3.30,       1.00,      10.04,     33.11,          0.78
        -18,          3,    3,        -14.72,          3.30,       1.04,      10.44,     34.44,          0.73
        -18,          3,    4,        -13.95,          3.30,       1.08,      10.77,     35.55,          0.71
        -18,          3,    5,        -13.34,          3.30,       1.12,      11.22,     37.02,          0.65
        -18,          3,    6,        -12.75,          3.30,       1.15,      11.55,     38.10,          0.64
        -18,          3,    7,        -12.41,          3.30,       1.19,      11.83,     39.03,          0.63
