[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.26,          3.30,       0.89,       8.94,     29.50,          0.39
        -18,          1,    2,        -20.55,          3.30,       0.93,       9.26,     30.54,          0.34
        -18,          1,    3,        -19.02,          3.30,       0.96,       9.63,     31.77,          0.33
        -18,          1,    4,        -18.01,          3.30,       0.99,       9.93,     32.79,          0.33
        -18,          1,    5,        -17.00,          3.30,       1.03,      10.26,     33.84,          0.34
        -18,          1,    6,        -16.18,          3.30,       1.06,      10.53,     34.74,          0.36
        -18,          1,    7,        -15.64,          3.30,       1.08,      10.83,     35.74,          0.35
        -18,          2,    1,        -19.92,          3.30,       0.92,       9.19,     30.32,          0.80
        -18,          2,    2,        -18.36,          3.30,       0.96,       9.61,     31.69,          0.55
        -18,          2,    3,        -17.00,          3.30,       0.99,       9.95,     32.83,          0.53
        -18,          2,    4,        -16.11,          3.30,       1.03,      10.28,     33.90,          0.50
        -18,          2,    5,        -15.24,          3.30,       1.06,      10.62,     35.05,          0.50
        -18,          2,    6,        -14.65,          3.30,       1.09,      10.92,     36.03,          0.49
        -18,          2,    7,        -14.08,          3.30,       1.13,      11.31,     37.30,          0.47
        -18,          3,    1,        -17.29,          3.30,       0.96,       9.62,     31.74,          1.01
        -18,          3,    2,        -15.84,          3.30,       1.00,      10.01,     33.02,          0.84
        -18,          3,    3,        -14.74,          3.30,       1.04,      10.41,     34.35,          0.75
        -18,          3,    4,        -13.85,          3.30,       1.08,      10.81,     35.68,          0.71
        -18,          3,    5,        -13.32,          3.30,       1.12,      11.18,     36.90,          0.66
        -18,          3,    6,        -12.70,          3.30,       1.15,      11.53,     38.06,          0.66
        -18,          3,    7,        -12.24,          3.30,       1.18,      11.86,     39.13,          0.65
        -18,          4,    1,        -15.19,          3.30,       1.00,      10.02,     33.07,          1.31
        -18,          4,    2,        -13.99,          3.30,       1.05,      10.45,     34.49,          1.07
        -18,          4,    3,        -13.05,          3.30,       1.09,      10.93,     36.07,          0.93
        -18,          4,    4,        -12.41,          3.30,       1.14,      11.37,     37.51,          0.85
        -18,          4,    5,        -11.75,          3.30,       1.17,      11.70,     38.62,          0.85
        -18,          4,    6,        -11.35,          3.30,       1.21,      12.07,     39.81,          0.81
        -18,          4,    7,        -11.01,          3.30,       1.24,      12.38,     40.86,          0.78
        -18,          5,    1,        -13.20,          3.30,       1.06,      10.61,     35.01,          1.67
        -18,          5,    2,        -12.09,          3.30,       1.12,      11.17,     36.86,          1.31
        -18,          5,    3,        -11.29,          3.30,       1.16,      11.61,     38.31,          1.20
        -18,          5,    4,        -10.72,          3.30,       1.21,      12.06,     39.78,          1.11
        -18,          5,    5,        -10.27,          3.30,       1.24,      12.38,     40.86,          1.08
