[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.32,          3.30,       0.89,       8.92,     29.45,          0.44
        -18,          1,    2,        -20.51,          3.30,       0.93,       9.26,     30.56,          0.36
        -18,          1,    3,        -19.15,          3.30,       0.96,       9.60,     31.69,          0.34
        -18,          1,    4,        -17.96,          3.30,       0.99,       9.92,     32.74,          0.35
        -18,          1,    5,        -17.07,          3.30,       1.02,      10.22,     33.73,          0.35
        -18,          1,    6,        -16.34,          3.30,       1.05,      10.53,     34.73,          0.35
        -18,          1,    7,        -15.74,          3.30,       1.08,      10.83,     35.75,          0.35
        -18,          2,    1,        -20.16,          3.30,       0.92,       9.21,     30.38,          0.69
        -18,          2,    2,        -18.33,          3.30,       0.96,       9.57,     31.59,          0.56
        -18,          2,    3,        -17.02,          3.30,       0.99,       9.91,     32.71,          0.53
        -18,          2,    4,        -16.16,          3.30,       1.03,      10.29,     33.96,          0.49
        -18,          2,    5,        -15.24,          3.30,       1.06,      10.61,     35.01,          0.50
        -18,          2,    6,        -14.60,          3.30,       1.09,      10.94,     36.09,          0.49
        -18,          2,    7,        -14.03,          3.30,       1.13,      11.28,     37.23,          0.48
        -18,          3,    1,        -17.28,          3.30,       0.96,       9.63,     31.78,          1.02
        -18,          3,    2,        -15.81,          3.30,       1.00,      10.02,     33.09,          0.83
        -18,          3,    3,        -14.67,          3.30,       1.05,      10.42,     34.40,          0.77
        -18,          3,    4,        -13.87,          3.30,       1.08,      10.81,     35.65,          0.72
        -18,          3,    5,        -13.26,          3.30,       1.12,      11.19,     36.92,          0.68
        -18,          3,    6,        -12.71,          3.30,       1.15,      11.52,     38.02,          0.66
        -18,          3,    7,        -12.26,          3.30,       1.18,      11.84,     39.07,          0.65
        -18,          4,    1,        -15.29,          3.30,       1.00,      10.03,     33.10,          1.27
        -18,          4,    2,        -13.95,          3.30,       1.05,      10.47,     34.55,          1.07
        -18,          4,    3,        -13.05,          3.30,       1.09,      10.92,     36.04,          0.94
        -18,          4,    4,        -12.44,          3.30,       1.14,      11.37,     37.54,          0.84
        -18,          4,    5,        -11.88,          3.30,       1.17,      11.70,     38.61,          0.83
        -18,          4,    6,        -11.42,          3.30,       1.20,      12.03,     39.71,          0.81
        -18,          4,    7,        -11.11,          3.30,       1.24,      12.41,     40.95,          0.76
        -18,          5,    1,        -13.20,          3.30,       1.06,      10.60,     34.99,          1.70
        -18,          5,    2,        -12.16,          3.30,       1.12,      11.14,     36.75,          1.33
        -18,          5,    3,        -11.26,          3.30,       1.17,      11.66,     38.47,          1.19
        -18,          5,    4,        -10.80,          3.30,       1.20,      12.05,     39.76,          1.10
        -18,          5,    5,        -10.35,          3.30,       1.24,      12.38,     40.85,          1.06
        -18,          5,    6,        -10.00,          3.30,       1.28,      12.76,     42.11,          1.01
        -18,          5,    7,         -9.66,          3.30,       1.31,      13.11,     43.27,          0.97
        -18,          6,    1,        -11.94,          3.30,       1.11,      11.13,     36.72,          2.16
        -18,          6,    2,        -10.97,          3.30,       1.17,      11.69,     38.58,          1.66
        -18,          6,    3,        -10.25,          3.30,       1.22,      12.18,     40.21,          1.46
        -18,          6,    4,         -9.79,          3.30,       1.26,      12.60,     41.57,          1.34
        -18,          6,    5,         -9.38,          3.30,       1.30,      13.05,     43.04,          1.24
        -18,          6,    6,         -9.08,          3.30,       1.34,      13.37,     44.11,          1.19
        -18,          6,    7,         -8.82,          3.30,       1.37,      13.75,     45.36,          1.13
        -18,          7,    1,        -10.78,          3.30,       1.17,      11.66,     38.48,          2.40
        -18,          7,    2,         -9.88,          3.30,       1.23,      12.29,     40.56,          1.85
        -18,          7,    3,         -9.24,          3.30,       1.29,      12.85,     42.42,          1.61
        -18,          7,    4,         -8.79,          3.30,       1.33,      13.31,     43.90,          1.48
        -18,          7,    5,         -8.47,          3.30,       1.37,      13.69,     45.17,          1.40
        -18,          7,    6,         -8.22,          3.30,       1.41,      14.04,     46.35,          1.33
        -18,          7,    7,         -8.01,          3.30,       1.45,      14.51,     47.88,          1.23
        -17,          1,    1,        -22.18,          3.30,       0.89,       8.97,     29.59,          0.38
        -17,          1,    2,        -20.12,          3.30,       0.93,       9.30,     30.69,          0.36
        -17,          1,    3,        -18.88,          3.30,       0.97,       9.68,     31.95,          0.33
        -17,          1,    4,        -17.64,          3.30,       1.00,      10.02,     33.07,          0.34
        -17,          1,    5,        -16.76,          3.30,       1.03,      10.28,     33.93,          0.36
        -17,          1,    6,        -16.05,          3.30,       1.06,      10.58,     34.91,          0.36
        -17,          1,    7,        -15.35,          3.30,       1.09,      10.90,     35.98,          0.37
        -17,          2,    1,        -19.65,          3.30,       0.92,       9.23,     30.45,          0.82
        -17,          2,    2,        -18.18,          3.30,       0.97,       9.64,     31.82,          0.57
        -17,          2,    3,        -16.74,          3.30,       1.00,      10.00,     32.98,          0.55
        -17,          2,    4,        -15.74,          3.30,       1.03,      10.35,     34.15,          0.53
        -17,          2,    5,        -14.76,          3.30,       1.07,      10.69,     35.27,          0.54
        -17,          2,    6,        -14.25,          3.30,       1.11,      11.05,     36.46,          0.51
        -17,          2,    7,        -13.63,          3.30,       1.14,      11.38,     37.55,          0.51
        -17,          3,    1,        -16.88,          3.30,       0.97,       9.71,     32.02,          1.10
        -17,          3,    2,        -15.43,          3.30,       1.01,      10.12,     33.39,          0.89
        -17,          3,    3,        -14.31,          3.30,       1.05,      10.53,     34.74,          0.81
        -17,          3,    4,        -13.48,          3.30,       1.09,      10.94,     36.09,          0.76
        -17,          3,    5,        -12.90,          3.30,       1.13,      11.32,     37.37,          0.71
        -17,          3,    6,        -12.35,          3.30,       1.16,      11.64,     38.42,          0.70
        -17,          3,    7,        -11.94,          3.30,       1.20,      11.95,     39.43,          0.69
        -17,          4,    1,        -14.88,          3.30,       1.01,      10.14,     33.46,          1.37
        -17,          4,    2,        -13.53,          3.30,       1.06,      10.63,     35.06,          1.12
        -17,          4,    3,        -12.70,          3.30,       1.11,      11.08,     36.54,          0.98
        -17,          4,    4,        -12.04,          3.30,       1.15,      11.51,     37.98,          0.91
        -17,          4,    5,        -11.46,          3.30,       1.18,      11.86,     39.14,          0.89
        -17,          4,    6,        -11.01,          3.30,       1.22,      12.21,     40.28,          0.86
        -17,          4,    7,        -10.69,          3.30,       1.26,      12.57,     41.46,          0.82
        -17,          5,    1,        -12.78,          3.30,       1.07,      10.76,     35.52,          1.76
        -17,          5,    2,        -11.73,          3.30,       1.13,      11.32,     37.36,          1.39
        -17,          5,    3,        -10.91,          3.30,       1.18,      11.78,     38.88,          1.28
        -17,          5,    4,        -10.41,          3.30,       1.22,      12.24,     40.38,          1.16
        -17,          5,    5,         -9.97,          3.30,       1.26,      12.63,     41.66,          1.10
        -17,          5,    6,         -9.63,          3.30,       1.30,      12.97,     42.80,          1.06
        -17,          5,    7,         -9.34,          3.30,       1.33,      13.33,     43.98,          1.02
        -17,          6,    1,        -11.52,          3.30,       1.14,      11.34,     37.41,          2.15
        -17,          6,    2,        -10.47,          3.30,       1.19,      11.89,     39.25,          1.75
        -17,          6,    3,         -9.81,          3.30,       1.24,      12.44,     41.04,          1.51
        -17,          6,    4,         -9.27,          3.30,       1.29,      12.88,     42.51,          1.41
        -17,          6,    5,         -8.92,          3.30,       1.33,      13.25,     43.72,          1.34
        -17,          6,    6,         -8.65,          3.30,       1.36,      13.61,     44.91,          1.27
        -17,          6,    7,         -8.41,          3.30,       1.40,      13.95,     46.05,          1.21
        -17,          7,    1,        -10.39,          3.30,       1.19,      11.87,     39.18,          2.57
        -17,          7,    2,         -9.39,          3.30,       1.25,      12.52,     41.33,          2.02
        -17,          7,    3,         -8.78,          3.30,       1.31,      13.13,     43.32,          1.72
        -17,          7,    4,         -8.38,          3.30,       1.36,      13.55,     44.69,          1.60
