[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.62,          3.30,       0.89,       8.90,     29.38,          0.41
        -18,          1,    2,        -20.77,          3.30,       0.93,       9.26,     30.56,          0.33
        -18,          1,    3,        -19.36,          3.30,       0.96,       9.60,     31.69,          0.32
        -18,          1,    4,        -18.25,          3.30,       0.99,       9.92,     32.73,          0.32
        -18,          1,    5,        -17.22,          3.30,       1.02,      10.22,     33.73,          0.33
        -18,          1,    6,        -16.58,          3.30,       1.05,      10.51,     34.67,          0.33
        -18,          1,    7,        -15.94,          3.30,       1.08,      10.79,     35.62,          0.34
        -18,          2,    1,        -20.24,          3.30,       0.92,       9.14,     30.15,          0.80
        -18,          2,    2,        -18.67,          3.30,       0.95,       9.55,     31.50,          0.54
        -18,          2,    3,        -17.43,          3.30,       0.99,       9.90,     32.66,          0.49
        -18,          2,    4,        -16.38,          3.30,       1.02,      10.23,     33.76,          0.48
        -18,          2,    5,        -15.52,          3.30,       1.06,      10.54,     34.79,          0.48
        -18,          2,    6,        -14.86,          3.30,       1.09,      10.88,     35.92,          0.47
        -18,          2,    7,        -14.24,          3.30,       1.13,      11.25,     37.11,          0.46
        -18,          3,    1,        -17.57,          3.30,       0.96,       9.60,     31.66,          0.94
        -18,          3,    2,        -16.09,          3.30,       1.00,      10.01,     33.03,          0.76
        -18,          3,    3,        -14.92,          3.30,       1.04,      10.39,     34.29,          0.72
        -18,          3,    4,        -14.16,          3.30,       1.08,      10.79,     35.59,          0.66
        -18,          3,    5,        -13.45,          3.30,       1.11,      11.14,     36.75,          0.65
        -18,          3,    6,        -12.94,          3.30,       1.14,      11.46,     37.81,          0.63
        -18,          3,    7,        -12.58,          3.30,       1.18,      11.78,     38.87,          0.61
        -18,          4,    1,        -15.52,          3.30,       1.00,       9.99,     32.97,          1.23
        -18,          4,    2,        -14.32,          3.30,       1.04,      10.41,     34.36,          1.01
        -18,          4,    3,        -13.28,          3.30,       1.09,      10.86,     35.85,          0.91
        -18,          4,    4,        -12.62,          3.30,       1.13,      11.30,     37.28,          0.83
        -18,          4,    5,        -12.08,          3.30,       1.16,      11.64,     38.40,          0.80
        -18,          4,    6,        -11.68,          3.30,       1.20,      11.97,     39.49,          0.77
        -18,          4,    7,        -11.31,          3.30,       1.23,      12.31,     40.61,          0.75
        -18,          5,    1,        -13.47,          3.30,       1.06,      10.55,     34.81,          1.59
        -18,          5,    2,        -12.31,          3.30,       1.11,      11.06,     36.48,          1.31
        -18,          5,    3,        -11.55,          3.30,       1.15,      11.53,     38.07,          1.15
        -18,          5,    4,        -10.94,          3.30,       1.19,      11.92,     39.33,          1.10
        -18,          5,    5,        -10.54,          3.30,       1.24,      12.34,     40.73,          1.01
        -18,          5,    6,        -10.21,          3.30,       1.26,      12.68,     41.84,          0.97
        -18,          5,    7,         -9.97,          3.30,       1.30,      13.03,     43.01,          0.91
        -18,          6,    1,        -12.16,          3.30,       1.10,      11.04,     36.43,          2.15
