[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.12,          3.30,       0.89,       8.93,     29.47,          0.45
        -18,          1,    2,        -20.53,          3.30,       0.93,       9.31,     30.71,          0.34
        -18,          1,    3,        -18.94,          3.30,       0.96,       9.63,     31.79,          0.35
        -18,          1,    4,        -17.88,          3.30,       1.00,       9.96,     32.86,          0.34
        -18,          1,    5,        -17.03,          3.30,       1.02,      10.24,     33.81,          0.35
        -18,          1,    6,        -16.30,          3.30,       1.05,      10.53,     34.74,          0.35
        -18,          1,    7,        -15.69,          3.30,       1.09,      10.87,     35.88,          0.35
        -18,          2,    1,        -19.95,          3.30,       0.92,       9.22,     30.40,          0.76
        -18,          2,    2,        -18.36,          3.30,       0.96,       9.60,     31.66,          0.56
        -18,          2,    3,        -17.13,          3.30,       0.99,       9.94,     32.78,          0.52
        -18,          2,    4,        -16.01,          3.30,       1.03,      10.31,     34.01,          0.51
        -18,          2,    5,        -15.26,          3.30,       1.06,      10.62,     35.05,          0.50
        -18,          2,    6,        -14.48,          3.30,       1.10,      10.99,     36.25,          0.50
        -18,          2,    7,        -13.98,          3.30,       1.13,      11.31,     37.33,          0.48
        -18,          3,    1,        -17.28,          3.30,       0.96,       9.63,     31.77,          1.08
        -18,          3,    2,        -15.86,          3.30,       1.01,      10.05,     33.15,          0.83
        -18,          3,    3,        -14.69,          3.30,       1.05,      10.46,     34.51,          0.76
        -18,          3,    4,        -13.78,          3.30,       1.08,      10.80,     35.65,          0.75
        -18,          3,    5,        -13.24,          3.30,       1.12,      11.23,     37.05,          0.68
        -18,          3,    6,        -12.72,          3.30,       1.15,      11.53,     38.04,          0.67
        -18,          3,    7,        -12.23,          3.30,       1.19,      11.85,     39.10,          0.66
        -18,          4,    1,        -15.17,          3.30,       1.00,      10.05,     33.15,          1.33
        -18,          4,    2,        -13.90,          3.30,       1.05,      10.47,     34.55,          1.10
        -18,          4,    3,        -13.07,          3.30,       1.10,      10.98,     36.22,          0.92
        -18,          4,    4,        -12.29,          3.30,       1.14,      11.37,     37.52,          0.89
        -18,          4,    5,        -11.80,          3.30,       1.17,      11.72,     38.66,          0.85
        -18,          4,    6,        -11.36,          3.30,       1.20,      12.02,     39.64,          0.83
        -18,          4,    7,        -11.00,          3.30,       1.24,      12.40,     40.89,          0.79
        -18,          5,    1,        -13.20,          3.30,       1.06,      10.60,     34.97,          1.72
        -18,          5,    2,        -12.03,          3.30,       1.12,      11.18,     36.88,          1.34
        -18,          5,    3,        -11.23,          3.30,       1.16,      11.66,     38.45,          1.20
        -18,          5,    4,        -10.68,          3.30,       1.20,      12.03,     39.68,          1.14
        -18,          5,    5,        -10.30,          3.30,       1.24,      12.43,     41.03,          1.06
        -18,          5,    6,         -9.97,          3.30,       1.28,      12.80,     42.21,          1.01
        -18,          5,    7,         -9.69,          3.30,       1.31,      13.10,     43.22,          0.97
        -18,          6,    1,        -11.86,          3.30,       1.12,      11.17,     36.87,          2.06
        -18,          6,    2,        -10.81,          3.30,       1.17,      11.72,     38.66,          1.68
        -18,          6,    3,        -10.21,          3.30,       1.22,      12.18,     40.17,          1.48
        -18,          6,    4,         -9.70,          3.30,       1.26,      12.61,     41.59,          1.36
        -18,          6,    5,         -9.37,          3.30,       1.30,      13.04,     43.01,          1.24
        -18,          6,    6,         -9.01,          3.30,       1.34,      13.37,     44.12,          1.21
        -18,          6,    7,         -8.80,          3.30,       1.37,      13.71,     45.24,          1.14
        -18,          7,    1,        -10.82,          3.30,       1.17,      11.70,     38.62,          2.27
        -18,          7,    2,         -9.82,          3.30,       1.23,      12.31,     40.61,          1.85
        -18,          7,    3,         -9.19,          3.30,       1.29,      12.85,     42.39,          1.63
        -18,          7,    4,         -8.75,          3.30,       1.33,      13.33,     43.98,          1.48
        -18,          7,    5,         -8.41,          3.30,       1.37,      13.73,     45.28,          1.40
        -18,          7,    6,         -8.18,          3.30,       1.41,      14.07,     46.43,          1.33
        -18,          7,    7,         -7.93,          3.30,       1.45,      14.48,     47.76,          1.26
        -17,          1,    1,        -21.90,          3.30,       0.89,       8.98,     29.62,          0.48
        -17,          1,    2,        -19.93,          3.30,       0.93,       9.31,     30.70,          0.42
        -17,          1,    3,        -18.54,          3.30,       0.97,       9.70,     32.01,          0.38
        -17,          1,    4,        -17.62,          3.30,       1.00,      10.02,     33.06,          0.36
        -17,          1,    5,        -16.72,          3.30,       1.03,      10.32,     34.05,          0.37
        -17,          1,    6,        -15.93,          3.30,       1.06,      10.65,     35.14,          0.37
        -17,          1,    7,        -15.26,          3.30,       1.09,      10.93,     36.06,          0.38
        -17,          2,    1,        -19.50,          3.30,       0.93,       9.25,     30.53,          0.89
        -17,          2,    2,        -18.09,          3.30,       0.97,       9.67,     31.92,          0.59
        -17,          2,    3,        -16.58,          3.30,       1.00,      10.05,     33.15,          0.57
        -17,          2,    4,        -15.67,          3.30,       1.04,      10.38,     34.23,          0.55
        -17,          2,    5,        -14.92,          3.30,       1.07,      10.73,     35.39,          0.53
        -17,          2,    6,        -14.19,          3.30,       1.11,      11.10,     36.64,          0.52
        -17,          2,    7,        -13.69,          3.30,       1.14,      11.40,     37.60,          0.51
        -17,          3,    1,        -16.83,          3.30,       0.97,       9.73,     32.09,          1.08
        -17,          3,    2,        -15.31,          3.30,       1.01,      10.15,     33.48,          0.89
        -17,          3,    3,        -14.25,          3.30,       1.06,      10.55,     34.80,          0.81
        -17,          3,    4,        -13.40,          3.30,       1.09,      10.93,     36.05,          0.78
        -17,          3,    5,        -12.83,          3.30,       1.13,      11.35,     37.46,          0.72
        -17,          3,    6,        -12.27,          3.30,       1.17,      11.65,     38.42,          0.72
        -17,          3,    7,        -11.87,          3.30,       1.20,      11.98,     39.52,          0.70
        -17,          4,    1,        -14.78,          3.30,       1.01,      10.13,     33.43,          1.44
        -17,          4,    2,        -13.54,          3.30,       1.06,      10.61,     34.99,          1.15
        -17,          4,    3,        -12.63,          3.30,       1.11,      11.12,     36.67,          0.98
        -17,          4,    4,        -11.92,          3.30,       1.15,      11.52,     38.01,          0.93
        -17,          4,    5,        -11.41,          3.30,       1.19,      11.89,     39.22,          0.89
        -17,          4,    6,        -10.96,          3.30,       1.22,      12.20,     40.25,          0.88
        -17,          4,    7,        -10.54,          3.30,       1.25,      12.54,     41.38,          0.86
        -17,          5,    1,        -12.76,          3.30,       1.07,      10.77,     35.53,          1.82
        -17,          5,    2,        -11.64,          3.30,       1.14,      11.33,     37.37,          1.45
        -17,          5,    3,        -10.79,          3.30,       1.18,      11.82,     38.98,          1.31
        -17,          5,    4,        -10.28,          3.30,       1.22,      12.25,     40.41,          1.20
        -17,          5,    5,         -9.83,          3.30,       1.27,      12.63,     41.64,          1.15
        -17,          5,    6,         -9.55,          3.30,       1.30,      13.01,     42.93,          1.08
        -17,          5,    7,         -9.26,          3.30,       1.33,      13.33,     43.97,          1.05
        -17,          6,    1,        -11.38,          3.30,       1.13,      11.35,     37.45,          2.25
        -17,          6,    2,        -10.42,          3.30,       1.19,      11.91,     39.29,          1.79
        -17,          6,    3,         -9.68,          3.30,       1.24,      12.41,     40.94,          1.60
        -17,          6,    4,         -9.25,          3.30,       1.29,      12.86,     42.41,          1.45
        -17,          6,    5,         -8.89,          3.30,       1.33,      13.30,     43.86,          1.34
        -17,          6,    6,         -8.61,          3.30,       1.36,      13.62,     44.92,          1.29
        -17,          6,    7,         -8.34,          3.30,       1.40,      13.99,     46.17,          1.22
        -17,          7,    1,        -10.34,          3.30,       1.19,      11.90,     39.27,          2.51
        -17,          7,    2,         -9.34,          3.30,       1.25,      12.54,     41.35,          2.02
        -17,          7,    3,         -8.73,          3.30,       1.31,      13.12,     43.29,          1.74
        -17,          7,    4,         -8.29,          3.30,       1.36,      13.58,     44.80,          1.61
        -17,          7,    5,         -7.92,          3.30,       1.40,      13.98,     46.13,          1.53
        -17,          7,    6,         -7.71,          3.30,       1.44,      14.41,     47.53,          1.42
        -17,          7,    7,         -7.51,          3.30,       1.48,      14.77,     48.70,          1.35
        -16,          1,    1,        -21.36,          3.30,       0.90,       9.00,     29.71,          0.53
        -16,          1,    2,        -19.87,          3.30,       0.94,       9.38,     30.95,          0.39
        -16,          1,    3,        -18.42,          3.30,       0.97,       9.74,     32.14,          0.38
        -16,          1,    4,        -17.24,          3.30,       1.01,      10.06,     33.21,          0.39
        -16,          1,    5,        -16.31,          3.30,       1.04,      10.38,     34.24,          0.40
        -16,          1,    6,        -15.60,          3.30,       1.07,      10.66,     35.17,          0.40
        -16,          1,    7,        -14.92,          3.30,       1.10,      10.99,     36.25,          0.41
        -16,          2,    1,        -19.39,          3.30,       0.93,       9.35,     30.84,          0.82
        -16,          2,    2,        -17.57,          3.30,       0.97,       9.70,     32.00,          0.68
        -16,          2,    3,        -16.27,          3.30,       1.01,      10.10,     33.31,          0.61
        -16,          2,    4,        -15.26,          3.30,       1.05,      10.45,     34.46,          0.59
        -16,          2,    5,        -14.47,          3.30,       1.08,      10.81,     35.67,          0.57
        -16,          2,    6,        -13.81,          3.30,       1.12,      11.17,     36.86,          0.56
        -16,          2,    7,        -13.26,          3.30,       1.15,      11.49,     37.90,          0.56
        -16,          3,    1,        -16.37,          3.30,       0.98,       9.81,     32.37,          1.14
        -16,          3,    2,        -14.90,          3.30,       1.02,      10.24,     33.79,          0.94
        -16,          3,    3,        -13.88,          3.30,       1.07,      10.65,     35.15,          0.85
        -16,          3,    4,        -13.08,          3.30,       1.11,      11.06,     36.50,          0.80
        -16,          3,    5,        -12.52,          3.30,       1.14,      11.47,     37.83,          0.75
        -16,          3,    6,        -11.86,          3.30,       1.18,      11.78,     38.87,          0.76
        -16,          3,    7,        -11.53,          3.30,       1.21,      12.12,     39.97,          0.73
        -16,          4,    1,        -14.28,          3.30,       1.03,      10.27,     33.88,          1.58
        -16,          4,    2,        -13.15,          3.30,       1.07,      10.75,     35.48,          1.22
        -16,          4,    3,        -12.23,          3.30,       1.13,      11.29,     37.25,          1.05
        -16,          4,    4,        -11.61,          3.30,       1.16,      11.65,     38.42,          1.00
        -16,          4,    5,        -10.98,          3.30,       1.20,      11.98,     39.51,          1.00
        -16,          4,    6,        -10.53,          3.30,       1.23,      12.36,     40.79,          0.95
        -16,          4,    7,        -10.25,          3.30,       1.27,      12.75,     42.06,          0.90
        -16,          5,    1,        -12.26,          3.30,       1.09,      10.92,     36.01,          1.91
        -16,          5,    2,        -11.17,          3.30,       1.15,      11.50,     37.92,          1.52
        -16,          5,    3,        -10.42,          3.30,       1.20,      11.96,     39.46,          1.38
        -16,          5,    4,         -9.87,          3.30,       1.24,      12.44,     41.05,          1.27
        -16,          5,    5,         -9.45,          3.30,       1.28,      12.83,     42.32,          1.20
