[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.24,          3.30,       0.89,       8.94,     29.51,          0.41
        -18,          1,    2,        -20.40,          3.30,       0.93,       9.29,     30.67,          0.35
        -18,          1,    3,        -19.10,          3.30,       0.96,       9.63,     31.77,          0.33
        -18,          1,    4,        -17.95,          3.30,       1.00,       9.96,     32.88,          0.33
        -18,          1,    5,        -17.10,          3.30,       1.03,      10.26,     33.85,          0.34
        -18,          1,    6,        -16.24,          3.30,       1.05,      10.52,     34.72,          0.36
        -18,          1,    7,        -15.65,          3.30,       1.08,      10.84,     35.75,          0.35
        -18,          2,    1,        -20.01,          3.30,       0.92,       9.18,     30.31,          0.75
        -18,          2,    2,        -18.33,          3.30,       0.95,       9.58,     31.60,          0.56
        -18,          2,    3,        -17.03,          3.30,       1.00,       9.94,     32.79,          0.52
        -18,          2,    4,        -16.15,          3.30,       1.03,      10.25,     33.84,          0.50
        -18,          2,    5,        -15.18,          3.30,       1.06,      10.60,     34.97,          0.51
        -18,          2,    6,        -14.60,          3.30,       1.10,      10.95,     36.13,          0.48
        -18,          2,    7,        -14.02,          3.30,       1.13,      11.28,     37.22,          0.48
        -18,          3,    1,        -17.20,          3.30,       0.96,       9.63,     31.77,          1.00
        -18,          3,    2,        -15.67,          3.30,       1.01,      10.04,     33.14,          0.83
        -18,          3,    3,        -14.72,          3.30,       1.04,      10.43,     34.43,          0.74
        -18,          3,    4,        -13.86,          3.30,       1.08,      10.84,     35.77,          0.70
        -18,          3,    5,        -13.23,          3.30,       1.12,      11.19,     36.93,          0.67
        -18,          3,    6,        -12.81,          3.30,       1.15,      11.55,     38.10,          0.64
        -18,          3,    7,        -12.29,          3.30,       1.18,      11.84,     39.07,          0.64
        -18,          4,    1,        -15.26,          3.30,       1.00,      10.04,     33.12,          1.34
        -18,          4,    2,        -14.03,          3.30,       1.05,      10.49,     34.63,          1.06
        -18,          4,    3,        -13.06,          3.30,       1.09,      10.97,     36.19,          0.93
        -18,          4,    4,        -12.39,          3.30,       1.14,      11.36,     37.48,          0.88
        -18,          4,    5,        -11.90,          3.30,       1.17,      11.71,     38.64,          0.83
        -18,          4,    6,        -11.36,          3.30,       1.20,      12.05,     39.76,          0.83
        -18,          4,    7,        -10.99,          3.30,       1.24,      12.38,     40.85,          0.80
        -18,          5,    1,        -13.22,          3.30,       1.06,      10.60,     35.00,          1.70
        -18,          5,    2,        -12.05,          3.30,       1.12,      11.20,     36.96,          1.31
        -18,          5,    3,        -11.28,          3.30,       1.16,      11.63,     38.36,          1.21
        -18,          5,    4,        -10.79,          3.30,       1.21,      12.06,     39.79,          1.10
        -18,          5,    5,        -10.29,          3.30,       1.24,      12.44,     41.05,          1.06
        -18,          5,    6,         -9.97,          3.30,       1.28,      12.80,     42.21,          1.01
