[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.48,          3.30,       0.89,       8.91,     29.41,          0.44
        -18,          1,    2,        -20.43,          3.30,       0.93,       9.27,     30.59,          0.37
        -18,          1,    3,        -19.24,          3.30,       0.96,       9.63,     31.77,          0.33
        -18,          1,    4,        -17.92,          3.30,       0.99,       9.93,     32.78,          0.35
        -18,          1,    5,        -17.07,          3.30,       1.03,      10.26,     33.87,          0.34
        -18,          1,    6,        -16.47,          3.30,       1.05,      10.54,     34.78,          0.34
        -18,          1,    7,        -15.79,          3.30,       1.09,      10.85,     35.81,          0.34
        -18,          2,    1,        -19.97,          3.30,       0.92,       9.18,     30.29,          0.85
        -18,          2,    2,        -18.39,          3.30,       0.96,       9.61,     31.70,          0.56
        -18,          2,    3,        -17.19,          3.30,       1.00,       9.98,     32.95,          0.50
        -18,          2,    4,        -16.03,          3.30,       1.03,      10.29,     33.95,          0.51
        -18,          2,    5,        -15.27,          3.30,       1.06,      10.59,     34.97,          0.51
        -18,          2,    6,        -14.65,          3.30,       1.09,      10.94,     36.11,          0.49
        -18,          2,    7,        -14.08,          3.30,       1.13,      11.28,     37.22,          0.48
        -18,          3,    1,        -17.33,          3.30,       0.96,       9.65,     31.84,          0.92
        -18,          3,    2,        -15.81,          3.30,       1.01,      10.05,     33.17,          0.78
        -18,          3,    3,        -14.74,          3.30,       1.05,      10.43,     34.40,          0.73
        -18,          3,    4,        -13.99,          3.30,       1.08,      10.82,     35.71,          0.68
        -18,          3,    5,        -13.27,          3.30,       1.12,      11.18,     36.92,          0.66
        -18,          3,    6,        -12.77,          3.30,       1.15,      11.51,     37.99,          0.65
        -18,          3,    7,        -12.36,          3.30,       1.18,      11.83,     39.02,          0.63
        -18,          4,    1,        -15.26,          3.30,       1.00,      10.05,     33.18,          1.26
        -18,          4,    2,        -14.10,          3.30,       1.05,      10.46,     34.51,          1.05
        -18,          4,    3,        -13.09,          3.30,       1.09,      10.94,     36.11,          0.93
        -18,          4,    4,        -12.44,          3.30,       1.14,      11.38,     37.56,          0.84
        -18,          4,    5,        -11.86,          3.30,       1.17,      11.69,     38.56,          0.84
        -18,          4,    6,        -11.49,          3.30,       1.21,      12.04,     39.74,          0.80
        -18,          4,    7,        -11.08,          3.30,       1.24,      12.39,     40.88,          0.77
        -18,          5,    1,        -13.22,          3.30,       1.06,      10.60,     35.00,          1.70
        -18,          5,    2,        -12.15,          3.30,       1.12,      11.19,     36.92,          1.29
        -18,          5,    3,        -11.35,          3.30,       1.17,      11.65,     38.43,          1.17
        -18,          5,    4,        -10.81,          3.30,       1.20,      12.07,     39.82,          1.09
        -18,          5,    5,        -10.39,          3.30,       1.24,      12.42,     41.00,          1.04
        -18,          5,    6,        -10.05,          3.30,       1.27,      12.77,     42.13,          0.99
        -18,          5,    7,         -9.71,          3.30,       1.31,      13.11,     43.24,          0.97
        -18,          6,    1,        -11.90,          3.30,       1.11,      11.13,     36.72,          2.20
        -18,          6,    2,        -10.99,          3.30,       1.17,      11.73,     38.69,          1.63
        -18,          6,    3,        -10.23,          3.30,       1.22,      12.19,     40.24,          1.47
        -18,          6,    4,         -9.79,          3.30,       1.27,      12.64,     41.71,          1.32
        -18,          6,    5,         -9.42,          3.30,       1.30,      13.03,     43.00,          1.24
        -18,          6,    6,         -9.11,          3.30,       1.34,      13.37,     44.14,          1.19
        -18,          6,    7,         -8.85,          3.30,       1.37,      13.75,     45.38,          1.12
        -18,          7,    1,        -10.83,          3.30,       1.17,      11.69,     38.57,          2.37
        -18,          7,    2,         -9.91,          3.30,       1.23,      12.30,     40.60,          1.85
        -18,          7,    3,         -9.20,          3.30,       1.29,      12.89,     42.54,          1.62
        -18,          7,    4,         -8.82,          3.30,       1.33,      13.31,     43.91,          1.49
        -18,          7,    5,         -8.47,          3.30,       1.37,      13.74,     45.33,          1.39
        -18,          7,    6,         -8.20,          3.30,       1.41,      14.09,     46.48,          1.33
        -18,          7,    7,         -8.04,          3.30,       1.45,      14.51,     47.86,          1.23
        -17,          1,    1,        -22.05,          3.30,       0.89,       8.94,     29.50,          0.46
        -17,          1,    2,        -20.20,          3.30,       0.93,       9.32,     30.77,          0.36
        -17,          1,    3,        -18.81,          3.30,       0.97,       9.70,     32.01,          0.34
        -17,          1,    4,        -17.64,          3.30,       1.00,      10.02,     33.07,          0.35
        -17,          1,    5,        -16.73,          3.30,       1.03,      10.30,     33.98,          0.36
        -17,          1,    6,        -15.97,          3.30,       1.06,      10.62,     35.04,          0.37
        -17,          1,    7,        -15.46,          3.30,       1.09,      10.94,     36.12,          0.36
        -17,          2,    1,        -19.68,          3.30,       0.92,       9.24,     30.49,          0.86
        -17,          2,    2,        -18.09,          3.30,       0.96,       9.66,     31.88,          0.59
        -17,          2,    3,        -16.68,          3.30,       1.00,      10.03,     33.08,          0.56
        -17,          2,    4,        -15.78,          3.30,       1.04,      10.37,     34.23,          0.53
        -17,          2,    5,        -14.99,          3.30,       1.07,      10.73,     35.41,          0.51
        -17,          2,    6,        -14.27,          3.30,       1.11,      11.06,     36.50,          0.52
        -17,          2,    7,        -13.67,          3.30,       1.14,      11.41,     37.66,          0.51
        -17,          3,    1,        -16.82,          3.30,       0.97,       9.74,     32.13,          1.02
        -17,          3,    2,        -15.43,          3.30,       1.01,      10.14,     33.46,          0.85
        -17,          3,    3,        -14.37,          3.30,       1.06,      10.55,     34.80,          0.78
        -17,          3,    4,        -13.50,          3.30,       1.09,      10.91,     36.00,          0.76
        -17,          3,    5,        -12.91,          3.30,       1.13,      11.33,     37.39,          0.70
        -17,          3,    6,        -12.41,          3.30,       1.16,      11.65,     38.44,          0.69
        -17,          3,    7,        -11.95,          3.30,       1.20,      11.95,     39.45,          0.68
        -17,          4,    1,        -14.83,          3.30,       1.02,      10.15,     33.50,          1.43
        -17,          4,    2,        -13.66,          3.30,       1.06,      10.62,     35.04,          1.12
        -17,          4,    3,        -12.70,          3.30,       1.11,      11.11,     36.66,          0.98
        -17,          4,    4,        -12.05,          3.30,       1.15,      11.52,     38.01,          0.92
