[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -17,          4,    4,        -12.15,          3.30,       1.14,      11.42,     37.69,          0.91
        -17,          4,    5,        -11.65,          3.30,       1.18,      11.78,     38.87,          0.86
        -17,          4,    6,        -11.25,          3.30,       1.21,      12.10,     39.93,          0.84
        -17,          4,    7,        -10.81,          3.30,       1.25,      12.48,     41.16,          0.81
        -17,          5,    1,        -12.94,          3.30,       1.07,      10.69,     35.25,          1.75
        -17,          5,    2,        -11.89,          3.30,       1.13,      11.27,     37.17,          1.34
        -17,          5,    3,        -11.16,          3.30,       1.17,      11.71,     38.64,          1.22
        -17,          5,    4,        -10.61,          3.30,       1.21,      12.13,     40.01,          1.13
        -17,          5,    5,        -10.15,          3.30,       1.25,      12.55,     41.40,          1.07
        -17,          5,    6,         -9.80,          3.30,       1.29,      12.89,     42.53,          1.03
        -17,          5,    7,         -9.51,          3.30,       1.32,      13.24,     43.69,          0.99
        -17,          6,    1,        -11.70,          3.30,       1.13,      11.29,     37.23,          2.01
        -17,          6,    2,        -10.68,          3.30,       1.18,      11.82,     39.00,          1.66
        -17,          6,    3,        -10.04,          3.30,       1.23,      12.30,     40.58,          1.48
        -17,          6,    4,         -9.54,          3.30,       1.28,      12.77,     42.13,          1.34
        -17,          6,    5,         -9.15,          3.30,       1.32,      13.15,     43.37,          1.28
        -17,          6,    6,         -8.86,          3.30,       1.35,      13.52,     44.58,          1.21
        -17,          6,    7,         -8.61,          3.30,       1.39,      13.85,     45.70,          1.16
        -17,          7,    1,        -10.63,          3.30,       1.18,      11.81,     38.97,          2.37
        -17,          7,    2,         -9.58,          3.30,       1.25,      12.45,     41.06,          1.92
        -17,          7,    3,         -9.01,          3.30,       1.30,      13.01,     42.90,          1.66
        -17,          7,    4,         -8.55,          3.30,       1.35,      13.48,     44.46,          1.53
        -17,          7,    5,         -8.27,          3.30,       1.38,      13.82,     45.58,          1.45
        -17,          7,    6,         -8.01,          3.30,       1.42,      14.25,     47.01,          1.35
        -17,          7,    7,         -7.76,          3.30,       1.47,      14.64,     48.27,          1.29
        -16,          1,    1,        -21.59,          3.30,       0.90,       9.03,     29.78,          0.46
        -16,          1,    2,        -19.86,          3.30,       0.94,       9.40,     31.00,          0.38
        -16,          1,    3,        -18.44,          3.30,       0.98,       9.78,     32.26,          0.36
        -16,          1,    4,        -17.36,          3.30,       1.01,      10.08,     33.25,          0.37
        -16,          1,    5,        -16.36,          3.30,       1.04,      10.40,     34.31,          0.38
        -16,          1,    6,        -15.61,          3.30,       1.07,      10.69,     35.27,          0.39
        -16,          1,    7,        -15.06,          3.30,       1.10,      11.05,     36.46,          0.38
        -16,          2,    1,        -19.26,          3.30,       0.93,       9.32,     30.75,          0.90
        -16,          2,    2,        -17.67,          3.30,       0.97,       9.76,     32.18,          0.62
        -16,          2,    3,        -16.34,          3.30,       1.01,      10.10,     33.33,          0.60
        -16,          2,    4,        -15.37,          3.30,       1.05,      10.45,     34.45,          0.58
        -16,          2,    5,        -14.48,          3.30,       1.08,      10.83,     35.72,          0.57
        -16,          2,    6,        -13.85,          3.30,       1.12,      11.20,     36.95,          0.55
        -16,          2,    7,        -13.33,          3.30,       1.15,      11.53,     38.03,          0.54
        -16,          3,    1,        -16.41,          3.30,       0.98,       9.81,     32.35,          1.20
        -16,          3,    2,        -15.03,          3.30,       1.03,      10.26,     33.84,          0.92
        -16,          3,    3,        -13.85,          3.30,       1.07,      10.65,     35.13,          0.88
        -16,          3,    4,        -13.16,          3.30,       1.11,      11.07,     36.51,          0.80
        -16,          3,    5,        -12.49,          3.30,       1.14,      11.45,     37.76,          0.77
        -16,          3,    6,        -11.95,          3.30,       1.18,      11.81,     38.94,          0.75
        -16,          3,    7,        -11.60,          3.30,       1.21,      12.12,     39.98,          0.72
        -16,          4,    1,        -14.43,          3.30,       1.03,      10.24,     33.77,          1.61
        -16,          4,    2,        -13.16,          3.30,       1.07,      10.74,     35.44,          1.24
        -16,          4,    3,        -12.26,          3.30,       1.13,      11.25,     37.10,          1.07
        -16,          4,    4,        -11.55,          3.30,       1.17,      11.65,     38.43,          1.01
        -16,          4,    5,        -11.12,          3.30,       1.20,      12.02,     39.64,          0.95
        -16,          4,    6,        -10.64,          3.30,       1.24,      12.39,     40.89,          0.92
        -16,          4,    7,        -10.25,          3.30,       1.27,      12.71,     41.93,          0.91
        -16,          5,    1,        -12.36,          3.30,       1.09,      10.91,     35.99,          1.94
        -16,          5,    2,        -11.26,          3.30,       1.15,      11.51,     37.97,          1.51
        -16,          5,    3,        -10.49,          3.30,       1.20,      11.99,     39.54,          1.37
        -16,          5,    4,         -9.94,          3.30,       1.24,      12.44,     41.02,          1.27
        -16,          5,    5,         -9.52,          3.30,       1.28,      12.83,     42.33,          1.20
        -16,          5,    6,         -9.20,          3.30,       1.32,      13.20,     43.53,          1.14
        -16,          5,    7,         -8.86,          3.30,       1.35,      13.51,     44.56,          1.12
        -16,          6,    1,        -11.01,          3.30,       1.15,      11.53,     38.02,          2.44
        -16,          6,    2,        -10.07,          3.30,       1.21,      12.12,     39.97,          1.89
        -16,          6,    3,         -9.33,          3.30,       1.26,      12.63,     41.66,          1.69
        -16,          6,    4,         -8.95,          3.30,       1.31,      13.09,     43.17,          1.52
        -16,          6,    5,         -8.53,          3.30,       1.35,      13.52,     44.58,          1.43
        -16,          6,    6,         -8.28,          3.30,       1.39,      13.86,     45.71,          1.36
