[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.29,          3.30,       0.89,       8.92,     29.45,          0.44
        -18,          1,    2,        -20.63,          3.30,       0.93,       9.31,     30.71,          0.33
        -18,          1,    3,        -19.12,          3.30,       0.97,       9.66,     31.89,          0.32
        -18,          1,    4,        -18.01,          3.30,       1.00,       9.96,     32.85,          0.33
        -18,          1,    5,        -16.99,          3.30,       1.03,      10.26,     33.86,          0.35
        -18,          1,    6,        -16.28,          3.30,       1.06,      10.55,     34.81,          0.35
        -18,          1,    7,        -15.57,          3.30,       1.08,      10.85,     35.81,          0.36
        -18,          2,    1,        -19.97,          3.30,       0.92,       9.20,     30.34,          0.76
        -18,          2,    2,        -18.32,          3.30,       0.96,       9.59,     31.64,          0.56
        -18,          2,    3,        -17.11,          3.30,       1.00,       9.95,     32.82,          0.51
        -18,          2,    4,        -16.08,          3.30,       1.03,      10.29,     33.94,          0.50
        -18,          2,    5,        -15.18,          3.30,       1.06,      10.64,     35.11,          0.50
        -18,          2,    6,        -14.61,          3.30,       1.10,      10.95,     36.12,          0.49
        -18,          2,    7,        -14.00,          3.30,       1.13,      11.32,     37.33,          0.48
        -18,          3,    1,        -17.18,          3.30,       0.97,       9.61,     31.71,          1.09
        -18,          3,    2,        -15.79,          3.30,       1.01,      10.07,     33.24,          0.80
        -18,          3,    3,        -14.67,          3.30,       1.05,      10.45,     34.49,          0.75
        -18,          3,    4,        -13.92,          3.30,       1.08,      10.82,     35.70,          0.70
        -18,          3,    5,        -13.15,          3.30,       1.12,      11.22,     37.00,          0.69
        -18,          3,    6,        -12.75,          3.30,       1.15,      11.55,     38.11,          0.65
        -18,          3,    7,        -12.25,          3.30,       1.19,      11.86,     39.14,          0.65
        -18,          4,    1,        -15.16,          3.30,       1.01,      10.03,     33.09,          1.36
        -18,          4,    2,        -13.94,          3.30,       1.05,      10.50,     34.66,          1.06
