[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.23,          3.30,       0.90,       8.94,     29.50,          0.43
        -18,          1,    2,        -20.38,          3.30,       0.93,       9.30,     30.68,          0.35
        -18,          1,    3,        -19.13,          3.30,       0.97,       9.65,     31.82,          0.33
        -18,          1,    4,        -18.08,          3.30,       1.00,       9.97,     32.89,          0.32
        -18,          1,    5,        -17.13,          3.30,       1.03,      10.27,     33.88,          0.34
        -18,          1,    6,        -16.28,          3.30,       1.06,      10.55,     34.84,          0.35
        -18,          1,    7,        -15.66,          3.30,       1.08,      10.84,     35.78,          0.35
        -18,          2,    1,        -20.10,          3.30,       0.92,       9.16,     30.22,          0.84
        -18,          2,    2,        -18.42,          3.30,       0.96,       9.62,     31.73,          0.54
        -18,          2,    3,        -17.01,          3.30,       1.00,       9.98,     32.92,          0.52
        -18,          2,    4,        -16.02,          3.30,       1.03,      10.30,     33.97,          0.51
        -18,          2,    5,        -15.21,          3.30,       1.06,      10.60,     34.99,          0.51
        -18,          2,    6,        -14.58,          3.30,       1.09,      10.98,     36.23,          0.49
        -18,          2,    7,        -14.06,          3.30,       1.13,      11.31,     37.32,          0.48
        -18,          3,    1,        -17.21,          3.30,       0.96,       9.66,     31.87,          0.95
        -18,          3,    2,        -15.78,          3.30,       1.00,      10.05,     33.15,          0.80
        -18,          3,    3,        -14.71,          3.30,       1.04,      10.46,     34.52,          0.73
        -18,          3,    4,        -13.92,          3.30,       1.08,      10.86,     35.83,          0.68
        -18,          3,    5,        -13.27,          3.30,       1.12,      11.22,     37.04,          0.66
        -18,          3,    6,        -12.79,          3.30,       1.15,      11.52,     38.01,          0.65
        -18,          3,    7,        -12.29,          3.30,       1.18,      11.86,     39.14,          0.64
        -18,          4,    1,        -15.22,          3.30,       1.00,      10.04,     33.14,          1.37
        -18,          4,    2,        -14.02,          3.30,       1.05,      10.49,     34.62,          1.08
        -18,          4,    3,        -13.04,          3.30,       1.10,      10.94,     36.10,          0.96
        -18,          4,    4,        -12.41,          3.30,       1.14,      11.38,     37.56,          0.87
        -18,          4,    5,        -11.86,          3.30,       1.17,      11.70,     38.62,          0.85
        -18,          4,    6,        -11.40,          3.30,       1.21,      12.04,     39.72,          0.83
        -18,          4,    7,        -11.04,          3.30,       1.24,      12.39,     40.90,          0.79
        -18,          5,    1,        -13.24,          3.30,       1.06,      10.58,     34.90,          1.77
        -18,          5,    2,        -12.09,          3.30,       1.12,      11.18,     36.91,          1.32
        -18,          5,    3,        -11.29,          3.30,       1.17,      11.65,     38.45,          1.19
        -18,          5,    4,        -10.76,          3.30,       1.21,      12.04,     39.73,          1.12
        -18,          5,    5,        -10.31,          3.30,       1.24,      12.41,     40.94,          1.07
        -18,          5,    6,        -10.00,          3.30,       1.28,      12.79,     42.21,          1.00
        -18,          5,    7,         -9.68,          3.30,       1.31,      13.11,     43.27,          0.98
        -18,          6,    1,        -11.83,          3.30,       1.11,      11.16,     36.84,          2.14
        -18,          6,    2,        -10.84,          3.30,       1.17,      11.70,     38.63,          1.70
        -18,          6,    3,        -10.18,          3.30,       1.22,      12.18,     40.21,          1.49
        -18,          6,    4,         -9.74,          3.30,       1.26,      12.62,     41.64,          1.35
        -18,          6,    5,         -9.41,          3.30,       1.30,      13.04,     43.05,          1.24
        -18,          6,    6,         -9.07,          3.30,       1.34,      13.41,     44.27,          1.18
        -18,          6,    7,         -8.83,          3.30,       1.37,      13.73,     45.30,          1.14
        -18,          7,    1,        -10.74,          3.30,       1.17,      11.70,     38.60,          2.36
        -18,          7,    2,         -9.84,          3.30,       1.23,      12.35,     40.74,          1.82
        -18,          7,    3,         -9.24,          3.30,       1.29,      12.88,     42.50,          1.59
        -18,          7,    4,         -8.76,          3.30,       1.33,      13.33,     44.00,          1.48
        -18,          7,    5,         -8.41,          3.30,       1.37,      13.72,     45.27,          1.41
        -18,          7,    6,         -8.17,          3.30,       1.41,      14.10,     46.52,          1.33
        -18,          7,    7,         -7.94,          3.30,       1.45,      14.48,     47.78,          1.26
        -17,          1,    1,        -21.77,          3.30,       0.90,       8.95,     29.52,          0.44
        -17,          1,    2,        -20.24,          3.30,       0.94,       9.35,     30.84,          0.33
        -17,          1,    3,        -18.72,          3.30,       0.97,       9.69,     31.99,          0.34
        -17,          1,    4,        -17.62,          3.30,       1.00,      10.02,     33.06,          0.34
        -17,          1,    5,        -16.75,          3.30,       1.03,      10.30,     34.00,          0.35
        -17,          1,    6,        -15.90,          3.30,       1.06,      10.61,     35.01,          0.37
        -17,          1,    7,        -15.27,          3.30,       1.09,      10.91,     36.01,          0.37
