[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.42,          3.30,       0.89,       8.92,     29.44,          0.41
        -18,          1,    2,        -20.62,          3.30,       0.93,       9.25,     30.53,          0.35
        -18,          1,    3,        -19.24,          3.30,       0.96,       9.62,     31.74,          0.32
        -18,          1,    4,        -17.96,          3.30,       0.99,       9.95,     32.83,          0.33
        -18,          1,    5,        -17.13,          3.30,       1.02,      10.25,     33.82,          0.33
        -18,          1,    6,        -16.36,          3.30,       1.05,      10.52,     34.72,          0.35
        -18,          1,    7,        -15.70,          3.30,       1.08,      10.83,     35.74,          0.35
        -18,          2,    1,        -20.14,          3.30,       0.92,       9.17,     30.27,          0.73
        -18,          2,    2,        -18.49,          3.30,       0.96,       9.56,     31.55,          0.54
        -18,          2,    3,        -17.14,          3.30,       0.99,       9.95,     32.84,          0.50
        -18,          2,    4,        -16.11,          3.30,       1.03,      10.27,     33.91,          0.49
        -18,          2,    5,        -15.35,          3.30,       1.06,      10.58,     34.91,          0.49
        -18,          2,    6,        -14.67,          3.30,       1.09,      10.94,     36.09,          0.48
        -18,          2,    7,        -14.07,          3.30,       1.13,      11.32,     37.34,          0.47
        -18,          3,    1,        -17.30,          3.30,       0.96,       9.62,     31.73,          1.01
        -18,          3,    2,        -15.83,          3.30,       1.01,      10.05,     33.17,          0.80
        -18,          3,    3,        -14.68,          3.30,       1.04,      10.46,     34.50,          0.74
        -18,          3,    4,        -13.90,          3.30,       1.08,      10.77,     35.55,          0.72
        -18,          3,    5,        -13.36,          3.30,       1.12,      11.20,     36.98,          0.65
        -18,          3,    6,        -12.77,          3.30,       1.15,      11.52,     38.01,          0.65
        -18,          3,    7,        -12.35,          3.30,       1.18,      11.79,     38.92,          0.64
        -18,          4,    1,        -15.23,          3.30,       1.00,      10.02,     33.07,          1.31
        -18,          4,    2,        -13.96,          3.30,       1.05,      10.50,     34.65,          1.04
