[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.51,          3.30,       0.89,       8.91,     29.40,          0.39
        -18,          1,    2,        -20.79,          3.30,       0.93,       9.29,     30.65,          0.31
        -18,          1,    3,        -19.26,          3.30,       0.96,       9.63,     31.78,          0.31
        -18,          1,    4,        -18.22,          3.30,       0.99,       9.92,     32.75,          0.32
        -18,          1,    5,        -17.34,          3.30,       1.02,      10.22,     33.73,          0.32
        -18,          1,    6,        -16.49,          3.30,       1.05,      10.52,     34.73,          0.33
        -18,          1,    7,        -15.77,          3.30,       1.08,      10.76,     35.51,          0.35
        -18,          2,    1,        -20.34,          3.30,       0.92,       9.14,     30.18,          0.77
        -18,          2,    2,        -18.68,          3.30,       0.96,       9.57,     31.57,          0.52
        -18,          2,    3,        -17.25,          3.30,       0.99,       9.94,     32.80,          0.49
        -18,          2,    4,        -16.29,          3.30,       1.03,      10.25,     33.83,          0.48
        -18,          2,    5,        -15.47,          3.30,       1.06,      10.57,     34.90,          0.48
        -18,          2,    6,        -14.84,          3.30,       1.09,      10.89,     35.93,          0.47
        -18,          2,    7,        -14.25,          3.30,       1.12,      11.28,     37.20,          0.46
        -18,          3,    1,        -17.50,          3.30,       0.96,       9.59,     31.65,          0.97
        -18,          3,    2,        -16.00,          3.30,       1.00,       9.99,     32.98,          0.80
        -18,          3,    3,        -14.86,          3.30,       1.04,      10.38,     34.26,          0.73
        -18,          3,    4,        -14.10,          3.30,       1.08,      10.75,     35.48,          0.69
        -18,          3,    5,        -13.43,          3.30,       1.12,      11.15,     36.79,          0.65
        -18,          3,    6,        -13.00,          3.30,       1.15,      11.48,     37.88,          0.62
        -18,          3,    7,        -12.50,          3.30,       1.18,      11.78,     38.88,          0.62
        -18,          4,    1,        -15.48,          3.30,       1.00,      10.00,     32.98,          1.26
        -18,          4,    2,        -14.16,          3.30,       1.04,      10.44,     34.44,          1.03
        -18,          4,    3,        -13.24,          3.30,       1.09,      10.86,     35.84,          0.93
        -18,          4,    4,        -12.63,          3.30,       1.13,      11.30,     37.29,          0.83
        -18,          4,    5,        -12.03,          3.30,       1.17,      11.66,     38.48,          0.81
        -18,          4,    6,        -11.68,          3.30,       1.20,      11.97,     39.50,          0.78
        -18,          4,    7,        -11.23,          3.30,       1.23,      12.28,     40.53,          0.77
        -18,          5,    1,        -13.45,          3.30,       1.05,      10.54,     34.80,          1.66
        -18,          5,    2,        -12.33,          3.30,       1.11,      11.10,     36.63,          1.28
        -18,          5,    3,        -11.57,          3.30,       1.15,      11.54,     38.10,          1.16
        -18,          5,    4,        -11.02,          3.30,       1.19,      11.93,     39.37,          1.08
        -18,          5,    5,        -10.57,          3.30,       1.23,      12.31,     40.61,          1.03
        -18,          5,    6,        -10.23,          3.30,       1.27,      12.67,     41.81,          0.97
        -18,          5,    7,         -9.98,          3.30,       1.30,      13.00,     42.90,          0.93
        -18,          6,    1,        -12.12,          3.30,       1.10,      11.06,     36.49,          2.15
        -18,          6,    2,        -11.17,          3.30,       1.16,      11.65,     38.44,          1.59
        -18,          6,    3,        -10.48,          3.30,       1.21,      12.10,     39.92,          1.43
        -18,          6,    4,        -10.02,          3.30,       1.25,      12.53,     41.35,          1.29
        -18,          6,    5,         -9.65,          3.30,       1.29,      12.91,     42.60,          1.21
        -18,          6,    6,         -9.30,          3.30,       1.33,      13.28,     43.84,          1.15
        -18,          6,    7,         -9.05,          3.30,       1.36,      13.61,     44.92,          1.10
        -18,          7,    1,        -11.11,          3.30,       1.16,      11.59,     38.25,          2.19
        -18,          7,    2,        -10.08,          3.30,       1.22,      12.19,     40.23,          1.78
        -18,          7,    3,         -9.46,          3.30,       1.28,      12.77,     42.12,          1.53
        -18,          7,    4,         -9.06,          3.30,       1.32,      13.16,     43.43,          1.42
        -18,          7,    5,         -8.71,          3.30,       1.36,      13.60,     44.86,          1.33
        -18,          7,    6,         -8.43,          3.30,       1.39,      13.95,     46.02,          1.27
        -18,          7,    7,         -8.20,          3.30,       1.43,      14.32,     47.22,          1.21
        -17,          1,    1,        -22.36,          3.30,       0.89,       8.94,     29.50,          0.41
        -17,          1,    2,        -20.39,          3.30,       0.93,       9.29,     30.68,          0.35
        -17,          1,    3,        -19.00,          3.30,       0.96,       9.66,     31.87,          0.33
        -17,          1,    4,        -17.78,          3.30,       1.00,       9.99,     32.96,          0.34
        -17,          1,    5,        -16.97,          3.30,       1.03,      10.28,     33.92,          0.34
        -17,          1,    6,        -16.20,          3.30,       1.06,      10.57,     34.89,          0.35
        -17,          1,    7,        -15.59,          3.30,       1.09,      10.85,     35.80,          0.36
        -17,          2,    1,        -19.92,          3.30,       0.92,       9.24,     30.49,          0.77
        -17,          2,    2,        -18.26,          3.30,       0.96,       9.61,     31.71,          0.59
        -17,          2,    3,        -16.91,          3.30,       1.00,      10.01,     33.05,          0.52
        -17,          2,    4,        -15.89,          3.30,       1.03,      10.30,     34.00,          0.53
        -17,          2,    5,        -15.05,          3.30,       1.06,      10.66,     35.19,          0.52
        -17,          2,    6,        -14.41,          3.30,       1.10,      11.03,     36.41,          0.50
        -17,          2,    7,        -13.85,          3.30,       1.13,      11.35,     37.46,          0.50
        -17,          3,    1,        -17.09,          3.30,       0.97,       9.67,     31.89,          1.06
