[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.37,          3.30,       0.89,       8.93,     29.45,          0.40
        -18,          1,    2,        -20.59,          3.30,       0.93,       9.26,     30.55,          0.34
        -18,          1,    3,        -19.16,          3.30,       0.96,       9.59,     31.66,          0.33
        -18,          1,    4,        -18.13,          3.30,       0.99,       9.94,     32.80,          0.32
        -18,          1,    5,        -17.20,          3.30,       1.02,      10.23,     33.76,          0.33
        -18,          1,    6,        -16.44,          3.30,       1.05,      10.52,     34.73,          0.34
        -18,          1,    7,        -15.86,          3.30,       1.08,      10.78,     35.58,          0.34
        -18,          2,    1,        -20.12,          3.30,       0.91,       9.15,     30.20,          0.76
        -18,          2,    2,        -18.65,          3.30,       0.95,       9.55,     31.51,          0.53
        -18,          2,    3,        -17.19,          3.30,       0.99,       9.92,     32.74,          0.50
        -18,          2,    4,        -16.26,          3.30,       1.03,      10.26,     33.85,          0.48
        -18,          2,    5,        -15.31,          3.30,       1.06,      10.57,     34.89,          0.49
        -18,          2,    6,        -14.84,          3.30,       1.09,      10.90,     35.97,          0.47
        -18,          2,    7,        -14.25,          3.30,       1.12,      11.28,     37.21,          0.45
        -18,          3,    1,        -17.40,          3.30,       0.96,       9.58,     31.60,          0.98
        -18,          3,    2,        -16.05,          3.30,       1.00,      10.00,     32.99,          0.77
        -18,          3,    3,        -14.99,          3.30,       1.04,      10.40,     34.34,          0.69
        -18,          3,    4,        -14.05,          3.30,       1.08,      10.78,     35.57,          0.68
        -18,          3,    5,        -13.49,          3.30,       1.11,      11.15,     36.80,          0.63
        -18,          3,    6,        -12.94,          3.30,       1.15,      11.50,     37.94,          0.62
        -18,          3,    7,        -12.36,          3.30,       1.18,      11.80,     38.93,          0.63
        -18,          4,    1,        -15.37,          3.30,       1.00,       9.98,     32.93,          1.30
        -18,          4,    2,        -14.15,          3.30,       1.04,      10.41,     34.34,          1.06
        -18,          4,    3,        -13.26,          3.30,       1.09,      10.84,     35.79,          0.93
        -18,          4,    4,        -12.61,          3.30,       1.13,      11.31,     37.32,          0.83
        -18,          4,    5,        -11.99,          3.30,       1.16,      11.65,     38.42,          0.82
        -18,          4,    6,        -11.60,          3.30,       1.20,      11.99,     39.57,          0.78
        -18,          4,    7,        -11.19,          3.30,       1.23,      12.32,     40.65,          0.76
        -18,          5,    1,        -13.42,          3.30,       1.05,      10.56,     34.83,          1.64
        -18,          5,    2,        -12.29,          3.30,       1.11,      11.10,     36.61,          1.29
        -18,          5,    3,        -11.51,          3.30,       1.16,      11.55,     38.12,          1.16
        -18,          5,    4,        -10.95,          3.30,       1.20,      11.97,     39.50,          1.08
        -18,          5,    5,        -10.48,          3.30,       1.23,      12.31,     40.61,          1.04
        -18,          5,    6,        -10.12,          3.30,       1.27,      12.67,     41.80,          1.00
        -18,          5,    7,         -9.83,          3.30,       1.30,      13.01,     42.90,          0.96
        -18,          6,    1,        -12.12,          3.30,       1.11,      11.04,     36.43,          2.16
        -18,          6,    2,        -11.08,          3.30,       1.17,      11.62,     38.34,          1.64
        -18,          6,    3,        -10.43,          3.30,       1.21,      12.09,     39.87,          1.44
        -18,          6,    4,         -9.94,          3.30,       1.25,      12.52,     41.29,          1.32
        -18,          6,    5,         -9.56,          3.30,       1.29,      12.95,     42.72,          1.21
        -18,          6,    6,         -9.30,          3.30,       1.33,      13.30,     43.87,          1.14
        -18,          6,    7,         -9.05,          3.30,       1.36,      13.63,     44.96,          1.09
        -18,          7,    1,        -11.00,          3.30,       1.16,      11.61,     38.32,          2.24
        -18,          7,    2,        -10.04,          3.30,       1.22,      12.20,     40.24,          1.81
        -18,          7,    3,         -9.47,          3.30,       1.27,      12.77,     42.11,          1.54
        -18,          7,    4,         -8.98,          3.30,       1.32,      13.19,     43.52,          1.45
        -18,          7,    5,         -8.67,          3.30,       1.36,      13.58,     44.79,          1.36
        -18,          7,    6,         -8.42,          3.30,       1.40,      13.97,     46.09,          1.27
        -18,          7,    7,         -8.19,          3.30,       1.43,      14.35,     47.33,          1.21
        -17,          1,    1,        -22.02,          3.30,       0.89,       8.92,     29.42,          0.49
        -17,          1,    2,        -20.41,          3.30,       0.93,       9.31,     30.74,          0.35
        -17,          1,    3,        -18.76,          3.30,       0.97,       9.67,     31.91,          0.35
        -17,          1,    4,        -17.84,          3.30,       1.00,       9.97,     32.91,          0.35
        -17,          1,    5,        -16.94,          3.30,       1.03,      10.28,     33.92,          0.35
        -17,          1,    6,        -16.07,          3.30,       1.06,      10.60,     34.99,          0.36
        -17,          1,    7,        -15.43,          3.30,       1.09,      10.87,     35.84,          0.37
        -17,          2,    1,        -19.81,          3.30,       0.92,       9.20,     30.37,          0.86
        -17,          2,    2,        -18.12,          3.30,       0.96,       9.60,     31.68,          0.61
        -17,          2,    3,        -16.86,          3.30,       1.00,       9.98,     32.91,          0.55
        -17,          2,    4,        -15.89,          3.30,       1.03,      10.32,     34.07,          0.52
        -17,          2,    5,        -15.00,          3.30,       1.07,      10.66,     35.16,          0.53
        -17,          2,    6,        -14.41,          3.30,       1.10,      11.02,     36.34,          0.50
        -17,          2,    7,        -13.84,          3.30,       1.14,      11.36,     37.49,          0.50
        -17,          3,    1,        -17.06,          3.30,       0.96,       9.66,     31.86,          1.10
        -17,          3,    2,        -15.60,          3.30,       1.01,      10.09,     33.28,          0.86
        -17,          3,    3,        -14.47,          3.30,       1.05,      10.50,     34.63,          0.78
        -17,          3,    4,        -13.67,          3.30,       1.09,      10.88,     35.89,          0.74
        -17,          3,    5,        -13.09,          3.30,       1.13,      11.27,     37.17,          0.69
        -17,          3,    6,        -12.52,          3.30,       1.16,      11.58,     38.19,          0.69
        -17,          3,    7,        -12.08,          3.30,       1.19,      11.93,     39.35,          0.67
        -17,          4,    1,        -15.01,          3.30,       1.01,      10.09,     33.30,          1.38
        -17,          4,    2,        -13.78,          3.30,       1.05,      10.54,     34.76,          1.12
        -17,          4,    3,        -12.89,          3.30,       1.10,      11.01,     36.34,          0.97
        -17,          4,    4,        -12.16,          3.30,       1.15,      11.44,     37.73,          0.90
        -17,          4,    5,        -11.61,          3.30,       1.18,      11.80,     38.91,          0.87
        -17,          4,    6,        -11.16,          3.30,       1.21,      12.15,     40.06,          0.85
        -17,          4,    7,        -10.79,          3.30,       1.25,      12.43,     40.99,          0.84
        -17,          5,    1,        -13.03,          3.30,       1.07,      10.67,     35.21,          1.73
        -17,          5,    2,        -11.86,          3.30,       1.13,      11.27,     37.18,          1.34
        -17,          5,    3,        -11.02,          3.30,       1.17,      11.74,     38.72,          1.24
        -17,          5,    4,        -10.51,          3.30,       1.21,      12.10,     39.91,          1.17
        -17,          5,    5,        -10.07,          3.30,       1.25,      12.53,     41.36,          1.09
        -17,          5,    6,         -9.74,          3.30,       1.29,      12.89,     42.54,          1.04
        -17,          5,    7,         -9.47,          3.30,       1.32,      13.21,     43.56,          1.01
        -17,          6,    1,        -11.64,          3.30,       1.13,      11.27,     37.19,          2.12
        -17,          6,    2,        -10.64,          3.30,       1.18,      11.82,     39.00,          1.71
        -17,          6,    3,         -9.95,          3.30,       1.23,      12.32,     40.65,          1.51
        -17,          6,    4,         -9.50,          3.30,       1.28,      12.75,     42.06,          1.38
        -17,          6,    5,         -9.06,          3.30,       1.32,      13.13,     43.32,          1.33
        -17,          6,    6,         -8.85,          3.30,       1.35,      13.51,     44.57,          1.23
        -17,          6,    7,         -8.60,          3.30,       1.39,      13.86,     45.70,          1.17
        -17,          7,    1,        -10.56,          3.30,       1.18,      11.81,     38.97,          2.41
        -17,          7,    2,         -9.58,          3.30,       1.25,      12.44,     41.05,          1.92
        -17,          7,    3,         -8.96,          3.30,       1.30,      13.02,     42.93,          1.67
        -17,          7,    4,         -8.49,          3.30,       1.35,      13.44,     44.33,          1.57
        -17,          7,    5,         -8.19,          3.30,       1.38,      13.84,     45.64,          1.47
