[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.40,          3.30,       0.89,       8.94,     29.51,          0.38
        -18,          1,    2,        -20.49,          3.30,       0.93,       9.28,     30.62,          0.34
        -18,          1,    3,        -19.08,          3.30,       0.96,       9.62,     31.76,          0.33
        -18,          1,    4,        -18.04,          3.30,       1.00,       9.96,     32.88,          0.32
        -18,          1,    5,        -16.96,          3.30,       1.03,      10.26,     33.85,          0.34
        -18,          1,    6,        -16.24,          3.30,       1.06,      10.56,     34.85,          0.35
        -18,          1,    7,        -15.68,          3.30,       1.08,      10.82,     35.70,          0.35
        -18,          2,    1,        -19.97,          3.30,       0.92,       9.18,     30.30,          0.83
        -18,          2,    2,        -18.37,          3.30,       0.96,       9.60,     31.66,          0.57
        -18,          2,    3,        -17.08,          3.30,       1.00,       9.96,     32.87,          0.52
        -18,          2,    4,        -16.02,          3.30,       1.03,      10.29,     33.96,          0.51
        -18,          2,    5,        -15.21,          3.30,       1.06,      10.60,     34.98,          0.51
        -18,          2,    6,        -14.60,          3.30,       1.10,      10.97,     36.20,          0.49
        -18,          2,    7,        -14.03,          3.30,       1.13,      11.31,     37.31,          0.48
        -18,          3,    1,        -17.29,          3.30,       0.96,       9.62,     31.75,          0.99
        -18,          3,    2,        -15.87,          3.30,       1.01,      10.05,     33.16,          0.79
        -18,          3,    3,        -14.62,          3.30,       1.05,      10.45,     34.50,          0.75
        -18,          3,    4,        -13.86,          3.30,       1.09,      10.83,     35.74,          0.70
        -18,          3,    5,        -13.16,          3.30,       1.12,      11.22,     37.02,          0.67
        -18,          3,    6,        -12.71,          3.30,       1.16,      11.54,     38.08,          0.65
        -18,          3,    7,        -12.28,          3.30,       1.19,      11.86,     39.15,          0.64
        -18,          4,    1,        -15.28,          3.30,       1.00,      10.02,     33.06,          1.34
        -18,          4,    2,        -13.93,          3.30,       1.05,      10.48,     34.60,          1.08
        -18,          4,    3,        -13.03,          3.30,       1.09,      10.95,     36.14,          0.94
        -18,          4,    4,        -12.42,          3.30,       1.14,      11.38,     37.55,          0.86
        -18,          4,    5,        -11.90,          3.30,       1.17,      11.71,     38.63,          0.83
        -18,          4,    6,        -11.41,          3.30,       1.21,      12.07,     39.82,          0.81
        -18,          4,    7,        -11.02,          3.30,       1.24,      12.39,     40.90,          0.79
        -18,          5,    1,        -13.16,          3.30,       1.06,      10.61,     35.03,          1.70
        -18,          5,    2,        -12.07,          3.30,       1.12,      11.19,     36.91,          1.32
        -18,          5,    3,        -11.33,          3.30,       1.16,      11.63,     38.38,          1.19
        -18,          5,    4,        -10.75,          3.30,       1.20,      12.03,     39.68,          1.12
        -18,          5,    5,        -10.37,          3.30,       1.24,      12.42,     40.97,          1.05
        -18,          5,    6,         -9.97,          3.30,       1.28,      12.80,     42.23,          1.00
        -18,          5,    7,         -9.66,          3.30,       1.31,      13.10,     43.22,          0.98
        -18,          6,    1,        -11.93,          3.30,       1.11,      11.16,     36.82,          2.07
        -18,          6,    2,        -10.91,          3.30,       1.18,      11.73,     38.71,          1.63
        -18,          6,    3,        -10.19,          3.30,       1.22,      12.21,     40.28,          1.46
        -18,          6,    4,         -9.74,          3.30,       1.26,      12.67,     41.80,          1.32
        -18,          6,    5,         -9.37,          3.30,       1.30,      13.03,     42.98,          1.25
        -18,          6,    6,         -9.09,          3.30,       1.34,      13.39,     44.20,          1.18
