[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.44,          3.30,       0.89,       8.91,     29.39,          0.44
        -18,          1,    2,        -20.36,          3.30,       0.93,       9.26,     30.55,          0.37
        -18,          1,    3,        -19.19,          3.30,       0.97,       9.66,     31.88,          0.32
        -18,          1,    4,        -18.04,          3.30,       1.00,       9.96,     32.88,          0.33
        -18,          1,    5,        -17.05,          3.30,       1.02,      10.22,     33.73,          0.35
        -18,          1,    6,        -16.21,          3.30,       1.05,      10.52,     34.70,          0.36
        -18,          1,    7,        -15.70,          3.30,       1.09,      10.81,     35.68,          0.35
        -18,          2,    1,        -19.93,          3.30,       0.92,       9.16,     30.22,          0.90
        -18,          2,    2,        -18.47,          3.30,       0.96,       9.57,     31.59,          0.57
        -18,          2,    3,        -17.02,          3.30,       0.99,       9.92,     32.74,          0.54
        -18,          2,    4,        -16.12,          3.30,       1.02,      10.25,     33.82,          0.52
        -18,          2,    5,        -15.25,          3.30,       1.06,      10.60,     35.00,          0.50
        -18,          2,    6,        -14.57,          3.30,       1.10,      10.93,     36.07,          0.50
        -18,          2,    7,        -14.12,          3.30,       1.13,      11.28,     37.24,          0.47
        -18,          3,    1,        -17.23,          3.30,       0.96,       9.63,     31.76,          0.97
        -18,          3,    2,        -15.85,          3.30,       1.00,      10.05,     33.16,          0.77
        -18,          3,    3,        -14.72,          3.30,       1.04,      10.44,     34.47,          0.72
        -18,          3,    4,        -13.98,          3.30,       1.08,      10.79,     35.60,          0.69
        -18,          3,    5,        -13.29,          3.30,       1.12,      11.17,     36.87,          0.66
        -18,          3,    6,        -12.77,          3.30,       1.15,      11.53,     38.04,          0.64
