[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -18,          1,    1,        -22.26,          3.30,       0.89,       8.94,     29.51,          0.42
        -18,          1,    2,        -20.61,          3.30,       0.93,       9.29,     30.68,          0.34
        -18,          1,    3,        -18.95,          3.30,       0.97,       9.63,     31.77,          0.35
        -18,          1,    4,        -18.01,          3.30,       0.99,       9.94,     32.79,          0.34
        -18,          1,    5,        -17.15,          3.30,       1.03,      10.24,     33.79,          0.34
        -18,          1,    6,        -16.46,          3.30,       1.05,      10.52,     34.73,          0.34
        -18,          1,    7,        -15.68,          3.30,       1.08,      10.83,     35.73,          0.36
        -18,          2,    1,        -20.05,          3.30,       0.92,       9.18,     30.30,          0.78
        -18,          2,    2,        -18.39,          3.30,       0.96,       9.60,     31.67,          0.55
        -18,          2,    3,        -17.05,          3.30,       1.00,       9.97,     32.92,          0.51
        -18,          2,    4,        -16.16,          3.30,       1.03,      10.28,     33.94,          0.49
        -18,          2,    5,        -15.34,          3.30,       1.06,      10.61,     35.02,          0.49
        -18,          2,    6,        -14.61,          3.30,       1.09,      10.95,     36.13,          0.49
        -18,          2,    7,        -14.15,          3.30,       1.13,      11.29,     37.26,          0.47
        -18,          3,    1,        -17.17,          3.30,       0.96,       9.62,     31.74,          1.08
        -18,          3,    2,        -15.83,          3.30,       1.01,      10.05,     33.18,          0.81
        -18,          3,    3,        -14.72,          3.30,       1.04,      10.45,     34.50,          0.74
        -18,          3,    4,        -13.94,          3.30,       1.08,      10.81,     35.69,          0.70
        -18,          3,    5,        -13.25,          3.30,       1.12,      11.20,     36.94,          0.68
        -18,          3,    6,        -12.87,          3.30,       1.15,      11.56,     38.14,          0.63
        -18,          3,    7,        -12.31,          3.30,       1.19,      11.83,     39.03,          0.65
        -18,          4,    1,        -15.34,          3.30,       1.01,      10.06,     33.21,          1.21
        -18,          4,    2,        -14.09,          3.30,       1.05,      10.51,     34.67,          1.01
        -18,          4,    3,        -13.17,          3.30,       1.10,      10.95,     36.11,          0.91
        -18,          4,    4,        -12.45,          3.30,       1.13,      11.38,     37.56,          0.84
        -18,          4,    5,        -11.87,          3.30,       1.17,      11.74,     38.73,          0.82
        -18,          4,    6,        -11.45,          3.30,       1.21,      12.06,     39.79,          0.80
        -18,          4,    7,        -11.07,          3.30,       1.24,      12.41,     40.95,          0.77
        -18,          5,    1,        -13.29,          3.30,       1.06,      10.59,     34.96,          1.75
        -18,          5,    2,        -12.20,          3.30,       1.12,      11.18,     36.90,          1.31
        -18,          5,    3,        -11.33,          3.30,       1.17,      11.64,     38.42,          1.20
        -18,          5,    4,        -10.81,          3.30,       1.21,      12.04,     39.74,          1.11
        -18,          5,    5,        -10.35,          3.30,       1.24,      12.43,     41.02,          1.05
        -18,          5,    6,        -10.04,          3.30,       1.28,      12.80,     42.23,          1.00
        -18,          5,    7,         -9.71,          3.30,       1.31,      13.15,     43.41,          0.96
        -18,          6,    1,        -11.89,          3.30,       1.12,      11.19,     36.91,          2.09
        -18,          6,    2,        -10.89,          3.30,       1.17,      11.73,     38.69,          1.67
        -18,          6,    3,        -10.26,          3.30,       1.22,      12.21,     40.29,          1.45
        -18,          6,    4,         -9.81,          3.30,       1.26,      12.64,     41.70,          1.32
        -18,          6,    5,         -9.43,          3.30,       1.30,      13.05,     43.06,          1.23
        -18,          6,    6,         -9.16,          3.30,       1.34,      13.40,     44.22,          1.16
        -18,          6,    7,         -8.91,          3.30,       1.37,      13.75,     45.36,          1.11
        -18,          7,    1,        -10.84,          3.30,       1.17,      11.69,     38.57,          2.41
        -18,          7,    2,         -9.91,          3.30,       1.23,      12.30,     40.57,          1.88
        -18,          7,    3,         -9.22,          3.30,       1.29,      12.86,     42.43,          1.64
        -18,          7,    4,         -8.84,          3.30,       1.33,      13.30,     43.91,          1.49
        -18,          7,    5,         -8.48,          3.30,       1.37,      13.74,     45.34,          1.39
        -18,          7,    6,         -8.28,          3.30,       1.41,      14.11,     46.56,          1.30
        -18,          7,    7,         -8.00,          3.30,       1.45,      14.48,     47.77,          1.25
        -17,          1,    1,        -21.95,          3.30,       0.90,       8.98,     29.64,          0.42
        -17,          1,    2,        -20.12,          3.30,       0.93,       9.34,     30.82,          0.36
        -17,          1,    3,        -18.73,          3.30,       0.97,       9.68,     31.95,          0.35
        -17,          1,    4,        -17.70,          3.30,       1.00,      10.03,     33.11,          0.34
        -17,          1,    5,        -16.86,          3.30,       1.03,      10.32,     34.06,          0.35
        -17,          1,    6,        -16.00,          3.30,       1.06,      10.63,     35.09,          0.36
        -17,          1,    7,        -15.43,          3.30,       1.09,      10.91,     36.00,          0.36
        -17,          2,    1,        -19.51,          3.30,       0.92,       9.25,     30.54,          0.85
        -17,          2,    2,        -18.04,          3.30,       0.97,       9.67,     31.90,          0.59
        -17,          2,    3,        -16.65,          3.30,       1.00,      10.04,     33.15,          0.55
        -17,          2,    4,        -15.75,          3.30,       1.04,      10.37,     34.22,          0.53
        -17,          2,    5,        -14.90,          3.30,       1.07,      10.71,     35.33,          0.53
        -17,          2,    6,        -14.31,          3.30,       1.11,      11.09,     36.59,          0.50
        -17,          2,    7,        -13.69,          3.30,       1.14,      11.43,     37.72,          0.50
        -17,          3,    1,        -16.83,          3.30,       0.97,       9.71,     32.03,          1.07
        -17,          3,    2,        -15.44,          3.30,       1.01,      10.14,     33.48,          0.85
        -17,          3,    3,        -14.33,          3.30,       1.06,      10.54,     34.78,          0.79
        -17,          3,    4,        -13.57,          3.30,       1.10,      10.96,     36.17,          0.72
        -17,          3,    5,        -12.91,          3.30,       1.13,      11.32,     37.36,          0.70
        -17,          3,    6,        -12.37,          3.30,       1.17,      11.64,     38.43,          0.69
        -17,          3,    7,        -11.96,          3.30,       1.20,      11.99,     39.57,          0.67
        -17,          4,    1,        -14.92,          3.30,       1.02,      10.15,     33.51,          1.43
        -17,          4,    2,        -13.61,          3.30,       1.06,      10.64,     35.10,          1.13
        -17,          4,    3,        -12.70,          3.30,       1.11,      11.12,     36.70,          0.98
        -17,          4,    4,        -12.04,          3.30,       1.15,      11.53,     38.03,          0.92
        -17,          4,    5,        -11.48,          3.30,       1.19,      11.87,     39.15,          0.90
        -17,          4,    6,        -11.08,          3.30,       1.22,      12.19,     40.22,          0.87
        -17,          4,    7,        -10.63,          3.30,       1.26,      12.56,     41.43,          0.85
        -17,          5,    1,        -12.75,          3.30,       1.08,      10.76,     35.51,          1.79
        -17,          5,    2,        -11.69,          3.30,       1.14,      11.33,     37.38,          1.40
        -17,          5,    3,        -10.84,          3.30,       1.18,      11.82,     39.01,          1.27
        -17,          5,    4,        -10.32,          3.30,       1.22,      12.24,     40.37,          1.19
        -17,          5,    5,         -9.97,          3.30,       1.27,      12.63,     41.68,          1.10
        -17,          5,    6,         -9.58,          3.30,       1.30,      13.00,     42.88,          1.07
        -17,          5,    7,         -9.32,          3.30,       1.34,      13.35,     44.05,          1.01
        -17,          6,    1,        -11.44,          3.30,       1.13,      11.34,     37.42,          2.27
        -17,          6,    2,        -10.42,          3.30,       1.19,      11.92,     39.35,          1.78
        -17,          6,    3,         -9.80,          3.30,       1.24,      12.41,     40.97,          1.56
        -17,          6,    4,         -9.38,          3.30,       1.29,      12.88,     42.51,          1.40
        -17,          6,    5,         -8.97,          3.30,       1.33,      13.27,     43.81,          1.33
        -17,          6,    6,         -8.68,          3.30,       1.36,      13.64,     45.02,          1.26
        -17,          6,    7,         -8.42,          3.30,       1.40,      13.99,     46.14,          1.21
        -17,          7,    1,        -10.38,          3.30,       1.19,      11.88,     39.22,          2.59
        -17,          7,    2,         -9.40,          3.30,       1.26,      12.58,     41.53,          1.96
        -17,          7,    3,         -8.77,          3.30,       1.31,      13.14,     43.35,          1.73
        -17,          7,    4,         -8.40,          3.30,       1.36,      13.57,     44.77,          1.59
        -17,          7,    5,         -8.03,          3.30,       1.40,      13.99,     46.14,          1.51
        -17,          7,    6,         -7.77,          3.30,       1.44,      14.42,     47.57,          1.40
        -17,          7,    7,         -7.58,          3.30,       1.48,      14.77,     48.72,          1.34
        -16,          1,    1,        -21.57,          3.30,       0.90,       9.02,     29.77,          0.46
        -16,          1,    2,        -19.96,          3.30,       0.94,       9.41,     31.05,          0.36
        -16,          1,    3,        -18.53,          3.30,       0.98,       9.75,     32.18,          0.36
