[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -7,          3,    4,         -7.79,          3.31,       1.65,      16.48,     54.52,          0.54
       -7,          3,    5,         -7.43,          3.31,       1.75,      17.50,     57.88,          0.53
       -7,          3,    6,         -6.96,          3.31,       1.85,      18.48,     61.13,          0.54
       -7,          3,    7,         -6.72,          3.31,       1.94,      19.38,     64.10,          0.53
       -7,          4,    1,        -12.72,          3.31,       1.17,      11.69,     38.66,          0.36
       -7,          4,    2,         -9.44,          3.31,       1.42,      14.20,     46.97,          0.49
       -7,          4,    3,         -8.08,          3.31,       1.59,      15.90,     52.59,          0.54
       -7,          4,    4,         -7.33,          3.31,       1.72,      17.19,     56.85,          0.56
       -7,          4,    5,         -7.15,          3.31,       1.84,      18.37,     60.78,          0.52
       -7,          4,    6,         -6.51,          3.31,       1.93,      19.31,     63.88,          0.56
       -7,          4,    7,         -6.23,          3.31,       2.03,      20.26,     67.01,          0.55
       -6,          1,    1,        -14.17,          3.31,       1.06,      10.61,     35.11,          0.34
       -6,          1,    2,        -11.09,          3.31,       1.25,      12.49,     41.31,          0.44
       -6,          1,    3,         -9.79,          3.31,       1.38,      13.81,     45.69,          0.48
       -6,          1,    4,         -9.00,          3.31,       1.50,      14.97,     49.53,          0.49
       -6,          1,    5,         -8.40,          3.31,       1.61,      16.08,     53.20,          0.49
       -6,          1,    6,         -8.26,          3.31,       1.70,      17.01,     56.28,          0.46
       -6,          1,    7,         -7.54,          3.31,       1.80,      18.01,     59.59,          0.49
       -6,          2,    1,        -13.18,          3.31,       1.11,      11.12,     36.78,          0.37
       -6,          2,    2,         -9.97,          3.31,       1.33,      13.30,     44.01,          0.49
       -6,          2,    3,         -8.55,          3.31,       1.49,      14.91,     49.32,          0.54
       -6,          2,    4,         -7.66,          3.31,       1.62,      16.22,     53.65,          0.57
       -6,          2,    5,         -7.10,          3.31,       1.73,      17.35,     57.41,          0.58
       -6,          2,    6,         -6.96,          3.31,       1.84,      18.41,     60.91,          0.54
       -6,          2,    7,         -6.76,          3.31,       1.93,      19.34,     63.99,          0.52
       -6,          3,    1,        -12.36,          3.31,       1.16,      11.62,     38.43,          0.39
       -6,          3,    2,         -9.08,          3.31,       1.41,      14.11,     46.68,          0.54
       -6,          3,    3,         -7.68,          3.31,       1.59,      15.87,     52.50,          0.59
       -6,          3,    4,         -6.84,          3.31,       1.72,      17.22,     56.96,          0.62
       -6,          3,    5,         -6.38,          3.31,       1.84,      18.35,     60.71,          0.62
       -6,          3,    6,         -6.02,          3.31,       1.94,      19.34,     63.97,          0.62
       -6,          3,    7,         -5.78,          3.31,       2.02,      20.23,     66.92,          0.61
       -6,          4,    1,        -11.84,          3.31,       1.21,      12.13,     40.11,          0.40
       -6,          4,    2,         -8.82,          3.31,       1.49,      14.91,     49.32,          0.51
       -6,          4,    3,         -7.11,          3.31,       1.67,      16.71,     55.27,          0.61
       -6,          4,    4,         -6.35,          3.31,       1.81,      18.10,     59.89,          0.64
       -6,          4,    5,         -5.88,          3.31,       1.93,      19.27,     63.72,          0.64
       -6,          4,    6,         -5.55,          3.31,       2.03,      20.26,     67.01,          0.64
       -6,          4,    7,         -5.29,          3.31,       2.13,      21.29,     70.42,          0.63
       -5,          1,    1,        -12.54,          3.31,       1.12,      11.24,     37.19,          0.41
       -5,          1,    2,         -9.45,          3.31,       1.33,      13.33,     44.10,          0.56
       -5,          1,    3,         -8.25,          3.31,       1.49,      14.84,     49.09,          0.59
       -5,          1,    4,         -7.74,          3.31,       1.61,      16.03,     53.03,          0.57
       -5,          1,    5,         -6.78,          3.31,       1.72,      17.20,     56.90,          0.63
       -5,          1,    6,         -6.34,          3.31,       1.83,      18.26,     60.38,          0.63
       -5,          1,    7,         -5.97,          3.31,       1.93,      19.25,     63.69,          0.63
       -5,          2,    1,        -11.54,          3.31,       1.18,      11.81,     39.07,          0.46
       -5,          2,    2,         -8.33,          3.31,       1.43,      14.30,     47.31,          0.62
       -5,          2,    3,         -6.92,          3.31,       1.61,      16.11,     53.27,          0.69
       -5,          2,    4,         -6.04,          3.31,       1.75,      17.53,     58.00,          0.73
       -5,          2,    5,         -5.48,          3.31,       1.88,      18.82,     62.25,          0.74
       -5,          2,    6,         -5.14,          3.31,       1.99,      19.93,     65.90,          0.72
       -5,          2,    7,         -5.10,          3.31,       2.08,      20.84,     68.95,          0.68
       -5,          3,    1,        -11.07,          3.31,       1.24,      12.41,     41.06,          0.45
       -5,          3,    2,         -7.44,          3.31,       1.53,      15.32,     50.68,          0.67
       -5,          3,    3,         -6.04,          3.31,       1.72,      17.23,     56.98,          0.75
       -5,          3,    4,         -5.21,          3.31,       1.88,      18.81,     62.22,          0.78
       -5,          3,    5,         -4.74,          3.31,       2.00,      20.00,     66.15,          0.79
       -5,          3,    6,         -4.40,          3.31,       2.10,      21.04,     69.59,          0.79
       -5,          3,    7,         -4.17,          3.31,       2.20,      21.96,     72.62,          0.78
       -5,          4,    1,        -10.12,          3.31,       1.30,      13.03,     43.12,          0.50
       -5,          4,    2,         -7.11,          3.31,       1.62,      16.24,     53.70,          0.65
       -5,          4,    3,         -5.46,          3.31,       1.83,      18.32,     60.60,          0.77
       -5,          4,    4,         -4.70,          3.31,       1.98,      19.83,     65.59,          0.81
       -5,          4,    5,         -4.24,          3.31,       2.11,      21.07,     69.70,          0.82
       -5,          4,    6,         -3.91,          3.31,       2.22,      22.15,     73.28,          0.82
       -5,          4,    7,         -3.65,          3.31,       2.32,      23.23,     76.84,          0.81
       -4,          1,    1,        -11.84,          3.31,       1.15,      11.51,     38.08,          0.46
       -4,          1,    2,         -8.90,          3.31,       1.37,      13.75,     45.48,          0.59
       -4,          1,    3,         -7.82,          3.31,       1.53,      15.30,     50.61,          0.61
