[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.43,          3.31,       0.98,       9.79,     32.38,          0.21
       -9,          1,    2,        -14.34,          3.31,       1.12,      11.28,     37.32,          0.27
       -9,          1,    3,        -13.06,          3.31,       1.24,      12.37,     40.93,          0.29
       -9,          1,    4,        -12.51,          3.31,       1.34,      13.36,     44.19,          0.28
       -9,          1,    5,        -11.48,          3.31,       1.43,      14.33,     47.40,          0.30
       -9,          1,    6,        -11.00,          3.31,       1.52,      15.22,     50.35,          0.30
       -9,          1,    7,        -10.58,          3.31,       1.61,      16.08,     53.20,          0.30
       -9,          2,    1,        -16.43,          3.31,       1.01,      10.07,     33.30,          0.24
       -9,          2,    2,        -13.21,          3.31,       1.18,      11.79,     38.99,          0.31
       -9,          2,    3,        -11.75,          3.31,       1.31,      13.10,     43.33,          0.34
       -9,          2,    4,        -10.82,          3.31,       1.42,      14.20,     46.98,          0.36
       -9,          2,    5,        -10.31,          3.31,       1.52,      15.24,     50.41,          0.35
       -9,          2,    6,        -10.12,          3.31,       1.62,      16.13,     53.37,          0.33
       -9,          2,    7,         -9.44,          3.31,       1.70,      16.98,     56.16,          0.35
       -9,          3,    1,        -15.63,          3.31,       1.04,      10.39,     34.36,          0.26
       -9,          3,    2,        -12.34,          3.31,       1.23,      12.35,     40.87,          0.34
       -9,          3,    3,        -10.91,          3.31,       1.38,      13.75,     45.49,          0.37
       -9,          3,    4,        -10.04,          3.31,       1.49,      14.93,     49.40,          0.39
       -9,          3,    5,         -9.55,          3.31,       1.59,      15.90,     52.57,          0.38
       -9,          3,    6,         -9.18,          3.31,       1.68,      16.79,     55.55,          0.38
