[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.48,          3.31,       0.98,       9.80,     32.43,          0.21
       -9,          1,    2,        -14.39,          3.31,       1.13,      11.27,     37.28,          0.27
       -9,          1,    3,        -13.03,          3.31,       1.23,      12.37,     40.93,          0.29
       -9,          1,    4,        -12.20,          3.31,       1.34,      13.40,     44.33,          0.29
       -9,          1,    5,        -11.57,          3.31,       1.44,      14.36,     47.48,          0.29
       -9,          1,    6,        -11.38,          3.31,       1.52,      15.24,     50.43,          0.27
       -9,          1,    7,        -10.62,          3.31,       1.61,      16.11,     53.29,          0.29
       -9,          2,    1,        -16.49,          3.31,       1.01,      10.07,     33.30,          0.23
       -9,          2,    2,        -13.26,          3.31,       1.18,      11.80,     39.01,          0.31
       -9,          2,    3,        -11.80,          3.31,       1.31,      13.10,     43.35,          0.34
       -9,          2,    4,        -10.87,          3.31,       1.42,      14.22,     47.04,          0.35
       -9,          2,    5,        -10.30,          3.31,       1.53,      15.27,     50.50,          0.35
       -9,          2,    6,         -9.97,          3.31,       1.62,      16.16,     53.47,          0.34
       -9,          2,    7,         -9.85,          3.31,       1.70,      16.98,     56.18,          0.32
       -9,          3,    1,        -16.07,          3.31,       1.04,      10.39,     34.39,          0.23
       -9,          3,    2,        -12.39,          3.31,       1.23,      12.31,     40.73,          0.34
       -9,          3,    3,        -10.95,          3.31,       1.38,      13.74,     45.45,          0.37
       -9,          3,    4,        -10.09,          3.31,       1.49,      14.93,     49.38,          0.38
       -9,          3,    5,         -9.59,          3.31,       1.59,      15.89,     52.57,          0.38
       -9,          3,    6,         -9.22,          3.31,       1.68,      16.78,     55.49,          0.38
       -9,          3,    7,         -9.00,          3.31,       1.76,      17.59,     58.19,          0.36
       -9,          4,    1,        -15.25,          3.31,       1.07,      10.73,     35.49,          0.25
       -9,          4,    2,        -12.14,          3.31,       1.29,      12.89,     42.65,          0.32
       -9,          4,    3,        -10.42,          3.31,       1.43,      14.36,     47.49,          0.38
       -9,          4,    4,         -9.62,          3.31,       1.55,      15.51,     51.32,          0.39
       -9,          4,    5,         -9.14,          3.31,       1.65,      16.52,     54.65,          0.39
       -9,          4,    6,         -8.79,          3.31,       1.74,      17.41,     57.60,          0.39
       -9,          4,    7,         -8.51,          3.31,       1.84,      18.36,     60.74,          0.38
       -8,          1,    1,        -16.19,          3.31,       1.01,      10.05,     33.26,          0.25
       -8,          1,    2,        -13.12,          3.31,       1.17,      11.67,     38.61,          0.33
       -8,          1,    3,        -11.85,          3.31,       1.29,      12.90,     42.66,          0.34
       -8,          1,    4,        -11.34,          3.31,       1.39,      13.88,     45.90,          0.33
       -8,          1,    5,        -10.33,          3.31,       1.49,      14.93,     49.39,          0.36
       -8,          1,    6,         -9.86,          3.31,       1.58,      15.83,     52.37,          0.36
       -8,          1,    7,         -9.46,          3.31,       1.67,      16.70,     55.25,          0.36
       -8,          2,    1,        -15.23,          3.31,       1.04,      10.42,     34.47,          0.28
       -8,          2,    2,        -12.01,          3.31,       1.23,      12.30,     40.67,          0.37
       -8,          2,    3,        -10.57,          3.31,       1.37,      13.70,     45.31,          0.41
       -8,          2,    4,         -9.81,          3.31,       1.49,      14.92,     49.37,          0.41
       -8,          2,    5,         -9.42,          3.31,       1.60,      15.96,     52.78,          0.39
       -8,          2,    6,         -8.63,          3.31,       1.69,      16.88,     55.84,          0.43
       -8,          2,    7,         -8.31,          3.31,       1.78,      17.75,     58.73,          0.42
       -8,          3,    1,        -14.42,          3.31,       1.08,      10.80,     35.73,          0.30
       -8,          3,    2,        -11.13,          3.31,       1.30,      12.98,     42.94,          0.40
       -8,          3,    3,         -9.70,          3.31,       1.45,      14.48,     47.89,          0.44
       -8,          3,    4,         -8.86,          3.31,       1.57,      15.71,     51.98,          0.46
       -8,          3,    5,         -8.38,          3.31,       1.67,      16.70,     55.26,          0.46
       -8,          3,    6,         -8.25,          3.31,       1.76,      17.62,     58.28,          0.43
       -8,          3,    7,         -7.76,          3.31,       1.85,      18.51,     61.23,          0.45
       -8,          4,    1,        -13.80,          3.31,       1.13,      11.26,     37.24,          0.31
       -8,          4,    2,        -10.53,          3.31,       1.36,      13.56,     44.84,          0.42
       -8,          4,    3,         -9.15,          3.31,       1.52,      15.15,     50.13,          0.46
       -8,          4,    4,         -8.38,          3.31,       1.64,      16.39,     54.24,          0.47
       -8,          4,    5,         -7.91,          3.31,       1.74,      17.41,     57.60,          0.48
       -8,          4,    6,         -7.57,          3.31,       1.84,      18.40,     60.87,          0.47
       -8,          4,    7,         -7.29,          3.31,       1.93,      19.34,     63.98,          0.46
