[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.44,          3.31,       0.98,       9.77,     32.32,          0.21
       -9,          1,    2,        -14.35,          3.31,       1.13,      11.29,     37.34,          0.27
       -9,          1,    3,        -13.00,          3.31,       1.24,      12.39,     40.96,          0.29
       -9,          1,    4,        -12.45,          3.31,       1.34,      13.40,     44.31,          0.28
       -9,          1,    5,        -11.49,          3.31,       1.44,      14.34,     47.44,          0.30
       -9,          1,    6,        -11.02,          3.31,       1.52,      15.21,     50.30,          0.30
       -9,          1,    7,        -10.60,          3.31,       1.61,      16.11,     53.29,          0.30
       -9,          2,    1,        -16.45,          3.31,       1.01,      10.06,     33.26,          0.24
       -9,          2,    2,        -13.23,          3.31,       1.18,      11.77,     38.92,          0.31
       -9,          2,    3,        -11.77,          3.31,       1.31,      13.10,     43.32,          0.34
       -9,          2,    4,        -10.84,          3.31,       1.42,      14.22,     47.05,          0.35
       -9,          2,    5,        -10.25,          3.31,       1.52,      15.22,     50.37,          0.35
       -9,          2,    6,         -9.94,          3.31,       1.62,      16.17,     53.50,          0.34
       -9,          2,    7,         -9.82,          3.31,       1.69,      16.95,     56.08,          0.32
       -9,          3,    1,        -15.65,          3.31,       1.04,      10.40,     34.41,          0.25
       -9,          3,    2,        -12.36,          3.31,       1.23,      12.33,     40.80,          0.34
       -9,          3,    3,        -10.92,          3.31,       1.38,      13.75,     45.48,          0.37
       -9,          3,    4,        -10.06,          3.31,       1.50,      14.95,     49.44,          0.38
       -9,          3,    5,         -9.56,          3.31,       1.59,      15.91,     52.63,          0.38
       -9,          3,    6,         -9.19,          3.31,       1.68,      16.77,     55.46,          0.38
       -9,          3,    7,         -8.92,          3.31,       1.76,      17.62,     58.31,          0.37
       -9,          4,    1,        -15.06,          3.31,       1.07,      10.73,     35.50,          0.26
       -9,          4,    2,        -12.04,          3.31,       1.29,      12.87,     42.57,          0.33
       -9,          4,    3,        -10.39,          3.31,       1.43,      14.32,     47.38,          0.38
       -9,          4,    4,         -9.59,          3.31,       1.55,      15.49,     51.24,          0.40
       -9,          4,    5,         -9.12,          3.31,       1.65,      16.53,     54.66,          0.39
       -9,          4,    6,         -8.78,          3.31,       1.74,      17.40,     57.55,          0.39
       -9,          4,    7,         -8.48,          3.31,       1.84,      18.35,     60.68,          0.38
       -8,          1,    1,        -16.17,          3.31,       1.01,      10.06,     33.28,          0.25
       -8,          1,    2,        -13.14,          3.31,       1.17,      11.71,     38.73,          0.32
       -8,          1,    3,        -12.11,          3.31,       1.29,      12.89,     42.64,          0.33
       -8,          1,    4,        -10.95,          3.31,       1.39,      13.90,     45.97,          0.36
       -8,          1,    5,        -10.30,          3.31,       1.49,      14.93,     49.38,          0.36
       -8,          1,    6,         -9.83,          3.31,       1.58,      15.83,     52.37,          0.36
       -8,          1,    7,         -9.42,          3.31,       1.67,      16.73,     55.33,          0.36
       -8,          2,    1,        -15.19,          3.31,       1.04,      10.40,     34.40,          0.28
