[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.47,          3.31,       0.98,       9.78,     32.37,          0.21
       -9,          1,    2,        -14.37,          3.31,       1.13,      11.27,     37.27,          0.27
       -9,          1,    3,        -13.02,          3.31,       1.24,      12.41,     41.05,          0.29
       -9,          1,    4,        -12.18,          3.31,       1.34,      13.39,     44.29,          0.29
       -9,          1,    5,        -11.53,          3.31,       1.44,      14.37,     47.54,          0.30
       -9,          1,    6,        -11.33,          3.31,       1.52,      15.24,     50.43,          0.28
       -9,          1,    7,        -11.01,          3.31,       1.62,      16.13,     53.36,          0.27
       -9,          2,    1,        -16.88,          3.31,       1.01,      10.07,     33.31,          0.21
       -9,          2,    2,        -13.25,          3.31,       1.18,      11.78,     38.95,          0.31
       -9,          2,    3,        -11.79,          3.31,       1.31,      13.11,     43.37,          0.34
       -9,          2,    4,        -10.86,          3.31,       1.43,      14.23,     47.07,          0.35
       -9,          2,    5,        -10.25,          3.31,       1.53,      15.26,     50.48,          0.35
       -9,          2,    6,         -9.81,          3.31,       1.62,      16.16,     53.46,          0.35
       -9,          2,    7,         -9.57,          3.31,       1.70,      16.98,     56.16,          0.34
       -9,          3,    1,        -16.01,          3.31,       1.04,      10.42,     34.46,          0.23
       -9,          3,    2,        -12.38,          3.31,       1.23,      12.34,     40.83,          0.34
       -9,          3,    3,        -10.94,          3.31,       1.38,      13.75,     45.47,          0.37
       -9,          3,    4,        -10.07,          3.31,       1.50,      14.94,     49.43,          0.38
       -9,          3,    5,         -9.58,          3.31,       1.59,      15.91,     52.63,          0.38
       -9,          3,    6,         -9.23,          3.31,       1.68,      16.77,     55.48,          0.38
       -9,          3,    7,         -9.26,          3.31,       1.76,      17.60,     58.22,          0.34
       -9,          4,    1,        -15.44,          3.31,       1.07,      10.73,     35.50,          0.24
       -9,          4,    2,        -11.78,          3.31,       1.29,      12.86,     42.54,          0.35
       -9,          4,    3,        -10.40,          3.31,       1.43,      14.32,     47.38,          0.38
       -9,          4,    4,         -9.61,          3.31,       1.55,      15.51,     51.30,          0.40
       -9,          4,    5,         -9.13,          3.31,       1.65,      16.54,     54.72,          0.39
       -9,          4,    6,         -8.78,          3.31,       1.74,      17.43,     57.65,          0.39
       -9,          4,    7,         -8.49,          3.31,       1.84,      18.38,     60.78,          0.38
       -8,          1,    1,        -16.19,          3.31,       1.01,      10.07,     33.32,          0.25
       -8,          1,    2,        -13.43,          3.31,       1.17,      11.65,     38.54,          0.31
       -8,          1,    3,        -11.78,          3.31,       1.29,      12.89,     42.63,          0.35
       -8,          1,    4,        -10.97,          3.31,       1.39,      13.90,     45.98,          0.36
       -8,          1,    5,        -10.32,          3.31,       1.50,      14.92,     49.36,          0.36
       -8,          1,    6,         -9.85,          3.31,       1.58,      15.85,     52.43,          0.36
       -8,          1,    7,         -9.44,          3.31,       1.67,      16.72,     55.30,          0.36
       -8,          2,    1,        -15.22,          3.31,       1.04,      10.41,     34.43,          0.28
       -8,          2,    2,        -12.02,          3.31,       1.23,      12.30,     40.69,          0.37
       -8,          2,    3,        -10.85,          3.31,       1.37,      13.70,     45.32,          0.38
       -8,          2,    4,        -10.02,          3.31,       1.49,      14.92,     49.38,          0.39
       -8,          2,    5,         -9.05,          3.31,       1.60,      15.97,     52.83,          0.43
       -8,          2,    6,         -8.61,          3.31,       1.69,      16.86,     55.77,          0.43
       -8,          2,    7,         -8.30,          3.31,       1.78,      17.77,     58.79,          0.42
       -8,          3,    1,        -14.41,          3.31,       1.08,      10.81,     35.76,          0.30
       -8,          3,    2,        -11.12,          3.31,       1.29,      12.94,     42.82,          0.40
       -8,          3,    3,         -9.73,          3.31,       1.45,      14.48,     47.91,          0.44
       -8,          3,    4,         -9.19,          3.31,       1.57,      15.69,     51.90,          0.43
       -8,          3,    5,         -8.36,          3.31,       1.67,      16.72,     55.31,          0.46
       -8,          3,    6,         -8.00,          3.31,       1.76,      17.59,     58.20,          0.46
