[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.42,          3.31,       0.98,       9.78,     32.34,          0.21
       -9,          1,    2,        -14.32,          3.31,       1.13,      11.27,     37.28,          0.27
       -9,          1,    3,        -12.97,          3.31,       1.24,      12.35,     40.85,          0.30
       -9,          1,    4,        -12.27,          3.31,       1.34,      13.37,     44.22,          0.29
       -9,          1,    5,        -11.81,          3.31,       1.43,      14.35,     47.44,          0.28
       -9,          1,    6,        -10.99,          3.31,       1.52,      15.21,     50.29,          0.30
       -9,          1,    7,        -10.57,          3.31,       1.61,      16.09,     53.21,          0.30
       -9,          2,    1,        -16.42,          3.31,       1.01,      10.09,     33.37,          0.24
       -9,          2,    2,        -13.20,          3.31,       1.18,      11.80,     39.03,          0.31
       -9,          2,    3,        -11.74,          3.31,       1.31,      13.10,     43.33,          0.34
       -9,          2,    4,        -10.81,          3.31,       1.42,      14.24,     47.09,          0.36
       -9,          2,    5,        -10.21,          3.31,       1.53,      15.26,     50.49,          0.36
       -9,          2,    6,         -9.82,          3.31,       1.61,      16.16,     53.45,          0.35
       -9,          2,    7,         -9.78,          3.31,       1.70,      16.98,     56.16,          0.32
       -9,          3,    1,        -15.98,          3.31,       1.04,      10.41,     34.43,          0.23
       -9,          3,    2,        -12.33,          3.31,       1.23,      12.33,     40.78,          0.34
       -9,          3,    3,        -10.90,          3.31,       1.38,      13.75,     45.49,          0.37
       -9,          3,    4,        -10.03,          3.31,       1.49,      14.91,     49.33,          0.39
       -9,          3,    5,         -9.54,          3.31,       1.59,      15.89,     52.54,          0.38
       -9,          3,    6,         -9.17,          3.31,       1.68,      16.78,     55.51,          0.38
       -9,          3,    7,         -8.93,          3.31,       1.76,      17.59,     58.20,          0.37
       -9,          4,    1,        -15.14,          3.31,       1.07,      10.75,     35.54,          0.26
       -9,          4,    2,        -11.73,          3.31,       1.29,      12.87,     42.58,          0.35
       -9,          4,    3,        -10.38,          3.31,       1.44,      14.34,     47.43,          0.38
       -9,          4,    4,         -9.59,          3.31,       1.55,      15.52,     51.34,          0.40
       -9,          4,    5,         -9.09,          3.31,       1.65,      16.53,     54.68,          0.40
       -9,          4,    6,         -8.74,          3.31,       1.74,      17.41,     57.58,          0.39
       -9,          4,    7,         -8.45,          3.31,       1.84,      18.37,     60.79,          0.38
       -8,          1,    1,        -16.22,          3.31,       1.01,      10.07,     33.30,          0.25
       -8,          1,    2,        -13.40,          3.31,       1.17,      11.67,     38.62,          0.31
       -8,          1,    3,        -11.73,          3.31,       1.29,      12.90,     42.67,          0.35
       -8,          1,    4,        -10.92,          3.31,       1.39,      13.88,     45.93,          0.36
       -8,          1,    5,        -10.27,          3.31,       1.50,      14.96,     49.48,          0.36
       -8,          1,    6,         -9.81,          3.31,       1.58,      15.83,     52.35,          0.37
       -8,          1,    7,         -9.40,          3.31,       1.67,      16.71,     55.26,          0.36
       -8,          2,    1,        -15.17,          3.31,       1.04,      10.42,     34.46,          0.28
       -8,          2,    2,        -11.95,          3.31,       1.23,      12.29,     40.66,          0.38
       -8,          2,    3,        -10.69,          3.31,       1.37,      13.69,     45.27,          0.40
       -8,          2,    4,         -9.96,          3.31,       1.49,      14.92,     49.37,          0.39
       -8,          2,    5,         -9.01,          3.31,       1.59,      15.95,     52.76,          0.43
       -8,          2,    6,         -8.57,          3.31,       1.69,      16.88,     55.81,          0.43
       -8,          2,    7,         -8.26,          3.31,       1.78,      17.80,     58.87,          0.43
       -8,          3,    1,        -14.35,          3.31,       1.08,      10.79,     35.69,          0.30
       -8,          3,    2,        -11.07,          3.31,       1.30,      12.94,     42.82,          0.41
