[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -7,          4,    5,         -6.85,          3.31,       1.83,      18.34,     60.66,          0.56
       -7,          4,    6,         -6.51,          3.31,       1.93,      19.32,     63.92,          0.55
       -7,          4,    7,         -6.24,          3.31,       2.03,      20.28,     67.06,          0.55
       -6,          1,    1,        -14.17,          3.31,       1.06,      10.61,     35.09,          0.34
       -6,          1,    2,        -11.09,          3.31,       1.25,      12.49,     41.34,          0.44
       -6,          1,    3,         -9.79,          3.31,       1.38,      13.81,     45.71,          0.48
       -6,          1,    4,         -9.01,          3.31,       1.50,      14.97,     49.53,          0.49
       -6,          1,    5,         -8.38,          3.31,       1.61,      16.08,     53.21,          0.49
       -6,          1,    6,         -8.24,          3.31,       1.70,      17.01,     56.28,          0.46
       -6,          1,    7,         -7.55,          3.31,       1.80,      17.99,     59.50,          0.49
       -6,          2,    1,        -13.18,          3.31,       1.11,      11.14,     36.86,          0.37
       -6,          2,    2,         -9.98,          3.31,       1.33,      13.30,     44.01,          0.50
       -6,          2,    3,         -8.55,          3.31,       1.49,      14.90,     49.30,          0.55
       -6,          2,    4,         -7.67,          3.31,       1.63,      16.24,     53.71,          0.57
       -6,          2,    5,         -7.09,          3.31,       1.74,      17.36,     57.43,          0.58
       -6,          2,    6,         -6.67,          3.31,       1.84,      18.42,     60.93,          0.58
       -6,          2,    7,         -6.62,          3.31,       1.93,      19.28,     63.76,          0.54
       -6,          3,    1,        -12.68,          3.31,       1.16,      11.65,     38.54,          0.36
       -6,          3,    2,         -9.09,          3.31,       1.41,      14.10,     46.63,          0.54
       -6,          3,    3,         -7.68,          3.31,       1.59,      15.87,     52.49,          0.59
       -6,          3,    4,         -6.85,          3.31,       1.72,      17.23,     57.01,          0.62
       -6,          3,    5,         -6.38,          3.31,       1.84,      18.37,     60.76,          0.62
       -6,          3,    6,         -6.03,          3.31,       1.93,      19.32,     63.92,          0.62
       -6,          3,    7,         -5.79,          3.31,       2.02,      20.20,     66.83,          0.61
       -6,          4,    1,        -11.76,          3.31,       1.21,      12.13,     40.13,          0.40
       -6,          4,    2,         -8.65,          3.31,       1.49,      14.89,     49.27,          0.53
       -6,          4,    3,         -7.48,          3.31,       1.67,      16.70,     55.25,          0.57
       -6,          4,    4,         -6.36,          3.31,       1.81,      18.09,     59.84,          0.64
       -6,          4,    5,         -5.89,          3.31,       1.92,      19.26,     63.72,          0.64
       -6,          4,    6,         -5.56,          3.31,       2.03,      20.27,     67.06,          0.64
       -6,          4,    7,         -5.29,          3.31,       2.13,      21.28,     70.38,          0.63
       -5,          1,    1,        -12.55,          3.31,       1.13,      11.26,     37.24,          0.41
       -5,          1,    2,         -9.46,          3.31,       1.33,      13.32,     44.06,          0.56
       -5,          1,    3,         -8.21,          3.31,       1.48,      14.82,     49.03,          0.60
       -5,          1,    4,         -7.72,          3.31,       1.61,      16.04,     53.06,          0.58
       -5,          1,    5,         -6.79,          3.31,       1.72,      17.18,     56.83,          0.63
       -5,          1,    6,         -6.35,          3.31,       1.82,      18.23,     60.30,          0.63
       -5,          1,    7,         -5.97,          3.31,       1.92,      19.23,     63.60,          0.63
       -5,          2,    1,        -11.55,          3.31,       1.18,      11.80,     39.03,          0.46
       -5,          2,    2,         -8.34,          3.31,       1.43,      14.32,     47.37,          0.62
       -5,          2,    3,         -6.92,          3.31,       1.61,      16.11,     53.29,          0.69
       -5,          2,    4,         -6.05,          3.31,       1.75,      17.54,     58.01,          0.72
       -5,          2,    5,         -5.77,          3.31,       1.88,      18.79,     62.13,          0.69
       -5,          2,    6,         -5.07,          3.31,       1.99,      19.91,     65.84,          0.74
       -5,          2,    7,         -4.77,          3.31,       2.08,      20.84,     68.93,          0.74
       -5,          3,    1,        -10.73,          3.31,       1.24,      12.42,     41.10,          0.49
       -5,          3,    2,         -7.45,          3.31,       1.53,      15.31,     50.66,          0.67
       -5,          3,    3,         -6.04,          3.31,       1.72,      17.23,     56.99,          0.75
       -5,          3,    4,         -5.22,          3.31,       1.88,      18.78,     62.13,          0.78
       -5,          3,    5,         -4.76,          3.31,       2.00,      19.99,     66.12,          0.79
       -5,          3,    6,         -4.66,          3.31,       2.10,      21.00,     69.46,          0.75
       -5,          3,    7,         -4.57,          3.31,       2.20,      21.95,     72.60,          0.71
       -5,          4,    1,        -10.11,          3.31,       1.31,      13.05,     43.18,          0.50
       -5,          4,    2,         -6.82,          3.31,       1.63,      16.24,     53.73,          0.69
       -5,          4,    3,         -5.46,          3.31,       1.83,      18.30,     60.52,          0.77
       -5,          4,    4,         -4.70,          3.31,       1.98,      19.84,     65.61,          0.81
       -5,          4,    5,         -4.25,          3.31,       2.11,      21.06,     69.66,          0.82
       -5,          4,    6,         -3.92,          3.31,       2.21,      22.14,     73.23,          0.82
       -5,          4,    7,         -3.66,          3.31,       2.32,      23.21,     76.77,          0.81
       -4,          1,    1,        -11.94,          3.31,       1.15,      11.53,     38.13,          0.44
       -4,          1,    2,         -9.10,          3.31,       1.37,      13.74,     45.46,          0.56
       -4,          1,    3,         -7.47,          3.31,       1.53,      15.28,     50.56,          0.67
       -4,          1,    4,         -6.71,          3.31,       1.66,      16.58,     54.84,          0.69
       -4,          1,    5,         -6.09,          3.31,       1.78,      17.79,     58.84,          0.70
       -4,          1,    6,         -5.66,          3.31,       1.89,      18.83,     62.30,          0.70
       -4,          1,    7,         -5.29,          3.31,       1.99,      19.89,     65.78,          0.70
       -4,          2,    1,        -10.85,          3.31,       1.21,      12.12,     40.10,          0.50
       -4,          2,    2,         -7.63,          3.31,       1.48,      14.79,     48.93,          0.68
       -4,          2,    3,         -6.36,          3.31,       1.67,      16.65,     55.08,          0.74
       -4,          2,    4,         -5.70,          3.31,       1.82,      18.20,     60.21,          0.74
       -4,          2,    5,         -4.78,          3.31,       1.95,      19.51,     64.52,          0.81
       -4,          2,    6,         -4.37,          3.31,       2.06,      20.59,     68.10,          0.82
       -4,          2,    7,         -4.08,          3.31,       2.16,      21.63,     71.52,          0.82
       -4,          3,    1,        -10.02,          3.31,       1.28,      12.83,     42.44,          0.53
       -4,          3,    2,         -6.74,          3.31,       1.59,      15.87,     52.50,          0.73
       -4,          3,    3,         -5.33,          3.31,       1.79,      17.95,     59.37,          0.82
       -4,          3,    4,         -4.57,          3.31,       1.96,      19.55,     64.66,          0.85
       -4,          3,    5,         -4.37,          3.31,       2.07,      20.73,     68.57,          0.81
       -4,          3,    6,         -3.70,          3.31,       2.18,      21.84,     72.24,          0.88
       -4,          3,    7,         -3.47,          3.31,       2.28,      22.77,     75.30,          0.87
       -4,          4,    1,         -9.41,          3.31,       1.35,      13.48,     44.60,          0.55
       -4,          4,    2,         -6.11,          3.31,       1.69,      16.86,     55.78,          0.76
       -4,          4,    3,         -4.75,          3.31,       1.91,      19.04,     62.98,          0.85
       -4,          4,    4,         -3.99,          3.31,       2.06,      20.64,     68.27,          0.89
       -4,          4,    5,         -3.58,          3.31,       2.20,      21.96,     72.64,          0.89
       -4,          4,    6,         -3.55,          3.31,       2.31,      23.09,     76.38,          0.84
       -4,          4,    7,         -3.35,          3.31,       2.42,      24.16,     79.91,          0.82
       -3,          1,    1,        -11.20,          3.31,       1.18,      11.81,     39.06,          0.49
       -3,          1,    2,         -8.11,          3.31,       1.41,      14.14,     46.77,          0.67
       -3,          1,    3,         -6.82,          3.31,       1.58,      15.76,     52.14,          0.73
       -3,          1,    4,         -6.06,          3.31,       1.71,      17.06,     56.44,          0.76
       -3,          1,    5,         -5.45,          3.31,       1.84,      18.38,     60.79,          0.77
       -3,          1,    6,         -5.02,          3.31,       1.95,      19.44,     64.32,          0.77
       -3,          1,    7,         -4.65,          3.31,       2.05,      20.47,     67.69,          0.78
       -3,          2,    1,        -10.20,          3.31,       1.25,      12.48,     41.29,          0.54
       -3,          2,    2,         -7.22,          3.31,       1.53,      15.30,     50.61,          0.70
       -3,          2,    3,         -5.93,          3.31,       1.72,      17.24,     57.03,          0.76
       -3,          2,    4,         -4.69,          3.31,       1.89,      18.86,     62.38,          0.88
       -3,          2,    5,         -4.13,          3.31,       2.02,      20.20,     66.82,          0.90
       -3,          2,    6,         -3.72,          3.31,       2.14,      21.37,     70.67,          0.90
       -3,          2,    7,         -3.43,          3.31,       2.24,      22.36,     73.95,          0.90
       -3,          3,    1,         -9.38,          3.31,       1.32,      13.22,     43.72,          0.57
       -3,          3,    2,         -6.11,          3.31,       1.65,      16.48,     54.50,          0.79
       -3,          3,    3,         -4.95,          3.31,       1.86,      18.62,     61.60,          0.84
       -3,          3,    4,         -4.24,          3.31,       2.03,      20.29,     67.12,          0.87
       -3,          3,    5,         -3.39,          3.31,       2.16,      21.56,     71.31,          0.96
       -3,          3,    6,         -3.05,          3.31,       2.27,      22.67,     74.97,          0.97
       -3,          3,    7,         -2.82,          3.31,       2.37,      23.68,     78.33,          0.96
       -3,          4,    1,         -8.76,          3.31,       1.39,      13.87,     45.89,          0.60
       -3,          4,    2,         -5.45,          3.31,       1.75,      17.52,     57.96,          0.83
       -3,          4,    3,         -4.08,          3.31,       1.99,      19.89,     65.78,          0.93
       -3,          4,    4,         -3.32,          3.31,       2.15,      21.49,     71.10,          0.98
       -3,          4,    5,         -2.87,          3.31,       2.29,      22.87,     75.65,          0.99
       -3,          4,    6,         -2.74,          3.31,       2.40,      24.02,     79.46,          0.95
       -3,          4,    7,         -2.66,          3.31,       2.52,      25.18,     83.27,          0.91
       -2,          1,    1,        -10.05,          3.31,       1.24,      12.35,     40.85,          0.58
       -2,          1,    2,         -6.94,          3.31,       1.50,      14.99,     49.58,          0.78
       -2,          1,    3,         -5.66,          3.31,       1.67,      16.72,     55.32,          0.86
       -2,          1,    4,         -4.90,          3.31,       1.82,      18.16,     60.07,          0.89
       -2,          1,    5,         -4.30,          3.31,       1.95,      19.49,     64.48,          0.91
       -2,          1,    6,         -3.87,          3.31,       2.06,      20.61,     68.16,          0.92
       -2,          1,    7,         -3.51,          3.31,       2.17,      21.72,     71.85,          0.93
       -2,          2,    1,         -9.07,          3.31,       1.31,      13.15,     43.52,          0.63
       -2,          2,    2,         -6.10,          3.31,       1.63,      16.31,     53.93,          0.81
       -2,          2,    3,         -4.40,          3.31,       1.85,      18.45,     61.04,          0.97
       -2,          2,    4,         -3.53,          3.31,       2.02,      20.15,     66.66,          1.03
       -2,          2,    5,         -2.97,          3.31,       2.16,      21.57,     71.35,          1.06
       -2,          2,    6,         -2.56,          3.31,       2.28,      22.83,     75.50,          1.07
       -2,          2,    7,         -2.28,          3.31,       2.39,      23.90,     79.04,          1.07
       -2,          3,    1,         -8.23,          3.31,       1.39,      13.93,     46.08,          0.67
       -2,          3,    2,         -4.95,          3.31,       1.76,      17.57,     58.11,          0.93
       -2,          3,    3,         -3.85,          3.31,       2.00,      20.02,     66.21,          0.97
       -2,          3,    4,         -2.67,          3.31,       2.18,      21.81,     72.14,          1.11
       -2,          3,    5,         -2.21,          3.31,       2.32,      23.19,     76.70,          1.13
       -2,          3,    6,         -1.87,          3.31,       2.44,      24.38,     80.62,          1.14
       -2,          3,    7,         -1.64,          3.31,       2.54,      25.42,     84.06,          1.13
       -2,          4,    1,         -7.61,          3.31,       1.48,      14.77,     48.87,          0.69
       -2,          4,    2,         -4.28,          3.31,       1.89,      18.88,     62.45,          0.96
       -2,          4,    3,         -2.97,          3.31,       2.14,      21.42,     70.85,          1.07
       -2,          4,    4,         -2.47,          3.31,       2.32,      23.22,     76.79,          1.06
       -2,          4,    5,         -1.68,          3.31,       2.47,      24.66,     81.57,          1.17
       -2,          4,    6,         -1.36,          3.31,       2.59,      25.93,     85.76,          1.18
       -2,          4,    7,         -1.11,          3.31,       2.71,      27.12,     89.68,          1.17
       -1,          1,    1,         -9.12,          3.31,       1.29,      12.88,     42.61,          0.65
       -1,          1,    2,         -5.99,          3.31,       1.57,      15.74,     52.08,          0.89
       -1,          1,    3,         -4.70,          3.31,       1.76,      17.59,     58.17,          0.99
       -1,          1,    4,         -3.98,          3.31,       1.91,      19.10,     63.19,          1.02
       -1,          1,    5,         -3.61,          3.31,       2.05,      20.51,     67.84,          0.99
       -1,          1,    6,         -2.92,          3.31,       2.17,      21.70,     71.77,          1.06
       -1,          1,    7,         -2.56,          3.31,       2.29,      22.91,     75.77,          1.07
       -1,          2,    1,         -8.12,          3.31,       1.37,      13.72,     45.39,          0.71
       -1,          2,    2,         -4.86,          3.31,       1.72,      17.14,     56.70,          0.99
       -1,          2,    3,         -3.44,          3.31,       1.95,      19.53,     64.59,          1.11
       -1,          2,    4,         -2.57,          3.31,       2.14,      21.36,     70.65,          1.18
       -1,          2,    5,         -2.06,          3.31,       2.29,      22.86,     75.60,          1.20
       -1,          2,    6,         -1.94,          3.31,       2.42,      24.17,     79.95,          1.14
       -1,          2,    7,         -1.70,          3.31,       2.53,      25.33,     83.78,          1.13
       -1,          3,    1,         -7.69,          3.31,       1.47,      14.68,     48.56,          0.68
       -1,          3,    2,         -3.96,          3.31,       1.87,      18.67,     61.75,          1.06
       -1,          3,    3,         -2.53,          3.31,       2.13,      21.30,     70.44,          1.19
       -1,          3,    4,         -1.70,          3.31,       2.32,      23.21,     76.77,          1.27
       -1,          3,    5,         -1.24,          3.31,       2.47,      24.69,     81.65,          1.30
       -1,          3,    6,         -0.90,          3.31,       2.59,      25.93,     85.77,          1.31
       -1,          3,    7,         -0.69,          3.31,       2.70,      27.04,     89.44,          1.30
       -1,          4,    1,         -7.07,          3.31,       1.56,      15.56,     51.49,          0.71
       -1,          4,    2,         -3.31,          3.31,       2.01,      20.07,     66.38,          1.09
       -1,          4,    3,         -1.92,          3.31,       2.28,      22.81,     75.44,          1.24
       -1,          4,    4,         -1.16,          3.31,       2.48,      24.84,     82.14,          1.31
       -1,          4,    5,         -0.70,          3.31,       2.64,      26.37,     87.21,          1.34
       -1,          4,    6,         -0.38,          3.31,       2.77,      27.68,     91.53,          1.35
       -1,          4,    7,         -0.13,          3.31,       2.89,      28.93,     95.67,          1.35
        0,          1,    1,         -8.36,          3.31,       1.34,      13.41,     44.35,          0.71
        0,          1,    2,         -5.43,          3.31,       1.65,      16.54,     54.69,          0.93
        0,          1,    3,         -3.79,          3.31,       1.86,      18.56,     61.40,          1.11
        0,          1,    4,         -3.04,          3.31,       2.01,      20.13,     66.57,          1.16
        0,          1,    5,         -2.44,          3.31,       2.16,      21.59,     71.42,          1.20
        0,          1,    6,         -2.02,          3.31,       2.29,      22.92,     75.81,          1.21
        0,          1,    7,         -1.66,          3.31,       2.41,      24.09,     79.66,          1.22
        0,          2,    1,         -7.25,          3.31,       1.44,      14.39,     47.59,          0.79
        0,          2,    2,         -4.30,          3.31,       1.81,      18.12,     59.95,          1.03
        0,          2,    3,         -2.53,          3.31,       2.06,      20.60,     68.15,          1.26
        0,          2,    4,         -1.66,          3.31,       2.26,      22.60,     74.72,          1.34
        0,          2,    5,         -1.10,          3.31,       2.42,      24.21,     80.06,          1.38
        0,          2,    6,         -0.69,          3.31,       2.56,      25.64,     84.79,          1.40
        0,          2,    7,         -0.41,          3.31,       2.68,      26.84,     88.74,          1.40
        0,          3,    1,         -6.42,          3.31,       1.54,      15.37,     50.83,          0.84
        0,          3,    2,         -3.07,          3.31,       1.98,      19.80,     65.48,          1.18
        0,          3,    3,         -1.90,          3.31,       2.26,      22.56,     74.59,          1.27
        0,          3,    4,         -0.78,          3.31,       2.47,      24.70,     81.69,          1.44
        0,          3,    5,         -0.32,          3.31,       2.63,      26.27,     86.89,          1.47
        0,          3,    6,          0.02,          3.31,       2.76,      27.59,     91.23,          1.49
        0,          3,    7,          0.25,          3.31,       2.87,      28.72,     94.99,          1.49
        0,          4,    1,         -5.80,          3.31,       1.64,      16.40,     54.25,          0.86
        0,          4,    2,         -2.40,          3.31,       2.13,      21.32,     70.53,          1.23
        0,          4,    3,         -1.00,          3.31,       2.43,      24.31,     80.38,          1.40
        0,          4,    4,         -0.24,          3.31,       2.65,      26.48,     87.56,          1.48
        0,          4,    5,         -0.04,          3.31,       2.82,      28.14,     93.07,          1.43
        0,          4,    6,          0.17,          3.31,       2.95,      29.53,     97.65,          1.40
        0,          4,    7,          0.80,          3.31,       3.08,      30.78,    101.78,          1.54
        1,          1,    1,         -7.48,          3.31,       1.39,      13.94,     46.09,          0.80
        1,          1,    2,         -4.28,          3.31,       1.73,      17.27,     57.12,          1.12
        1,          1,    3,         -2.98,          3.31,       1.95,      19.47,     64.38,          1.24
        1,          1,    4,         -2.22,          3.31,       2.11,      21.13,     69.90,          1.30
        1,          1,    5,         -1.65,          3.31,       2.27,      22.68,     75.02,          1.33
        1,          1,    6,         -1.53,          3.31,       2.40,      24.01,     79.42,          1.26
        1,          1,    7,         -0.85,          3.31,       2.53,      25.35,     83.82,          1.37
        1,          2,    1,         -6.47,          3.31,       1.50,      15.00,     49.64,          0.87
        1,          2,    2,         -3.15,          3.31,       1.90,      19.04,     63.00,          1.23
        1,          2,    3,         -1.71,          3.31,       2.17,      21.72,     71.82,          1.40
        1,          2,    4,         -0.85,          3.31,       2.38,      23.81,     78.75,          1.50
        1,          2,    5,         -0.32,          3.31,       2.56,      25.55,     84.51,          1.53
        1,          2,    6,         -0.21,          3.31,       2.71,      27.07,     89.53,          1.45
        1,          2,    7,          0.41,          3.31,       2.83,      28.31,     93.63,          1.57
        1,          3,    1,         -5.64,          3.31,       1.60,      16.08,     53.17,          0.92
        1,          3,    2,         -2.25,          3.31,       2.08,      20.78,     68.72,          1.32
        1,          3,    3,         -0.80,          3.31,       2.39,      23.85,     78.88,          1.51
        1,          3,    4,          0.04,          3.31,       2.62,      26.15,     86.47,          1.61
        1,          3,    5,          0.51,          3.31,       2.78,      27.81,     91.97,          1.64
        1,          3,    6,          0.57,          3.31,       2.92,      29.20,     96.54,          1.57
        1,          3,    7,          1.08,          3.31,       3.04,      30.37,    100.41,          1.67
        1,          4,    1,         -5.02,          3.31,       1.71,      17.15,     56.73,          0.95
        1,          4,    2,         -1.59,          3.31,       2.25,      22.50,     74.43,          1.36
        1,          4,    3,         -0.17,          3.31,       2.58,      25.82,     85.41,          1.56
        1,          4,    4,          0.60,          3.31,       2.81,      28.09,     92.88,          1.66
        1,          4,    5,          1.05,          3.31,       2.98,      29.82,     98.58,          1.70
        1,          4,    6,          1.21,          3.31,       3.13,      31.27,    103.40,          1.66
        1,          4,    7,          1.27,          3.31,       3.26,      32.61,    107.84,          1.59
        2,          1,    1,         -6.85,          3.31,       1.47,      14.71,     48.66,          0.83
        2,          1,    2,         -3.21,          3.31,       1.85,      18.47,     61.09,          1.28
        2,          1,    3,         -1.89,          3.31,       2.07,      20.74,     68.60,          1.44
        2,          1,    4,         -1.14,          3.31,       2.26,      22.55,     74.60,          1.51
        2,          1,    5,         -0.56,          3.31,       2.43,      24.24,     80.18,          1.56
        2,          1,    6,         -0.14,          3.31,       2.57,      25.71,     85.03,          1.58
        2,          1,    7,          0.19,          3.31,       2.71,      27.07,     89.52,          1.59
        2,          2,    1,         -5.63,          3.31,       1.58,      15.84,     52.40,          0.95
        2,          2,    2,         -2.46,          3.31,       2.03,      20.33,     67.23,          1.31
        2,          2,    3,         -0.64,          3.31,       2.34,      23.33,     77.18,          1.61
        2,          2,    4,          0.23,          3.31,       2.57,      25.64,     84.79,          1.73
        2,          2,    5,          0.80,          3.31,       2.75,      27.52,     90.98,          1.79
        2,          2,    6,          1.21,          3.31,       2.91,      29.12,     96.31,          1.82
        2,          2,    7,          1.49,          3.31,       3.04,      30.41,    100.55,          1.84
        2,          3,    1,         -4.67,          3.31,       1.71,      17.05,     56.40,          1.04
        2,          3,    2,         -1.53,          3.31,       2.24,      22.35,     73.93,          1.40
        2,          3,    3,          0.29,          3.31,       2.58,      25.76,     85.17,          1.74
        2,          3,    4,          1.13,          3.31,       2.83,      28.27,     93.50,          1.86
        2,          3,    5,          1.61,          3.31,       3.00,      30.03,     99.28,          1.92
        2,          3,    6,          1.95,          3.31,       3.15,      31.52,    104.20,          1.95
        2,          3,    7,          2.18,          3.31,       3.27,      32.76,    108.29,          1.95
        2,          4,    1,         -4.01,          3.31,       1.83,      18.31,     60.58,          1.08
        2,          4,    2,         -0.52,          3.31,       2.43,      24.27,     80.25,          1.57
        2,          4,    3,          0.76,          3.31,       2.80,      27.99,     92.57,          1.73
        2,          4,    4,          1.35,          3.31,       3.04,      30.43,    100.61,          1.77
        2,          4,    5,          2.16,          3.31,       3.23,      32.30,    106.78,          1.98
        2,          4,    6,          2.48,          3.31,       3.38,      33.80,    111.73,          2.01
