[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.48,          3.31,       0.98,       9.78,     32.34,          0.21
       -9,          1,    2,        -14.38,          3.31,       1.13,      11.26,     37.26,          0.27
       -9,          1,    3,        -13.02,          3.31,       1.23,      12.37,     40.91,          0.29
       -9,          1,    4,        -12.19,          3.31,       1.34,      13.39,     44.28,          0.30
       -9,          1,    5,        -11.58,          3.31,       1.44,      14.36,     47.51,          0.29
       -9,          1,    6,        -11.33,          3.31,       1.52,      15.23,     50.37,          0.28
       -9,          1,    7,        -10.61,          3.31,       1.61,      16.09,     53.23,          0.30
       -9,          2,    1,        -16.84,          3.31,       1.01,      10.08,     33.36,          0.21
       -9,          2,    2,        -13.25,          3.31,       1.18,      11.79,     38.98,          0.31
       -9,          2,    3,        -11.79,          3.31,       1.31,      13.11,     43.37,          0.34
       -9,          2,    4,        -10.86,          3.31,       1.42,      14.22,     47.04,          0.35
       -9,          2,    5,        -10.26,          3.31,       1.53,      15.27,     50.53,          0.35
       -9,          2,    6,         -9.81,          3.31,       1.62,      16.16,     53.48,          0.35
       -9,          2,    7,         -9.49,          3.31,       1.70,      16.97,     56.13,          0.35
       -9,          3,    1,        -15.96,          3.31,       1.04,      10.37,     34.31,          0.24
       -9,          3,    2,        -12.39,          3.31,       1.23,      12.33,     40.79,          0.34
       -9,          3,    3,        -10.94,          3.31,       1.37,      13.73,     45.44,          0.37
       -9,          3,    4,        -10.07,          3.31,       1.49,      14.92,     49.37,          0.38
       -9,          3,    5,         -9.58,          3.31,       1.59,      15.90,     52.59,          0.38
       -9,          3,    6,         -9.21,          3.31,       1.68,      16.77,     55.46,          0.38
       -9,          3,    7,         -8.95,          3.31,       1.76,      17.61,     58.24,          0.37
       -9,          4,    1,        -15.09,          3.31,       1.07,      10.72,     35.47,          0.26
       -9,          4,    2,        -12.04,          3.31,       1.29,      12.85,     42.51,          0.33
       -9,          4,    3,        -10.41,          3.31,       1.43,      14.30,     47.31,          0.38
       -9,          4,    4,         -9.62,          3.31,       1.55,      15.51,     51.30,          0.39
       -9,          4,    5,         -9.14,          3.31,       1.65,      16.54,     54.70,          0.39
       -9,          4,    6,         -8.79,          3.31,       1.74,      17.40,     57.57,          0.39
       -9,          4,    7,         -8.51,          3.31,       1.84,      18.35,     60.70,          0.38
       -8,          1,    1,        -16.19,          3.31,       1.01,      10.05,     33.25,          0.26
       -8,          1,    2,        -13.11,          3.31,       1.17,      11.68,     38.63,          0.33
       -8,          1,    3,        -11.81,          3.31,       1.29,      12.86,     42.53,          0.35
       -8,          1,    4,        -11.27,          3.31,       1.39,      13.89,     45.97,          0.34
       -8,          1,    5,        -10.32,          3.31,       1.49,      14.96,     49.49,          0.36
       -8,          1,    6,         -9.86,          3.31,       1.58,      15.83,     52.38,          0.36
       -8,          1,    7,         -9.45,          3.31,       1.67,      16.72,     55.31,          0.36
       -8,          2,    1,        -15.21,          3.31,       1.04,      10.42,     34.45,          0.28
       -8,          2,    2,        -12.00,          3.31,       1.23,      12.30,     40.69,          0.37
       -8,          2,    3,        -10.55,          3.31,       1.37,      13.71,     45.36,          0.41
       -8,          2,    4,         -9.65,          3.31,       1.49,      14.92,     49.37,          0.42
       -8,          2,    5,         -9.40,          3.31,       1.60,      15.96,     52.80,          0.40
       -8,          2,    6,         -8.62,          3.31,       1.69,      16.89,     55.88,          0.43
       -8,          2,    7,         -8.30,          3.31,       1.78,      17.75,     58.72,          0.42
       -8,          3,    1,        -14.40,          3.31,       1.08,      10.81,     35.76,          0.30
       -8,          3,    2,        -11.12,          3.31,       1.30,      12.97,     42.91,          0.40
       -8,          3,    3,         -9.69,          3.31,       1.45,      14.47,     47.85,          0.44
       -8,          3,    4,         -8.84,          3.31,       1.57,      15.70,     51.94,          0.46
       -8,          3,    5,         -8.42,          3.31,       1.67,      16.71,     55.28,          0.45
       -8,          3,    6,         -8.26,          3.31,       1.76,      17.64,     58.35,          0.43
       -8,          3,    7,         -8.14,          3.31,       1.85,      18.52,     61.25,          0.41
       -8,          4,    1,        -13.79,          3.31,       1.13,      11.27,     37.26,          0.31
       -8,          4,    2,        -10.52,          3.31,       1.35,      13.55,     44.84,          0.42
       -8,          4,    3,         -9.15,          3.31,       1.51,      15.12,     50.03,          0.46
       -8,          4,    4,         -8.37,          3.31,       1.64,      16.41,     54.29,          0.47
       -8,          4,    5,         -7.90,          3.31,       1.74,      17.44,     57.68,          0.48
       -8,          4,    6,         -7.56,          3.31,       1.84,      18.41,     60.89,          0.47
       -8,          4,    7,         -7.44,          3.31,       1.94,      19.36,     64.03,          0.45
       -7,          1,    1,        -15.14,          3.31,       1.03,      10.33,     34.18,          0.29
       -7,          1,    2,        -12.05,          3.31,       1.21,      12.06,     39.90,          0.39
       -7,          1,    3,        -10.74,          3.31,       1.34,      13.36,     44.18,          0.41
       -7,          1,    4,         -9.94,          3.31,       1.44,      14.45,     47.80,          0.42
       -7,          1,    5,         -9.31,          3.31,       1.55,      15.49,     51.24,          0.43
       -7,          1,    6,         -8.85,          3.31,       1.65,      16.46,     54.46,          0.42
       -7,          1,    7,         -8.45,          3.31,       1.73,      17.31,     57.27,          0.43
       -7,          2,    1,        -14.15,          3.31,       1.07,      10.75,     35.58,          0.32
       -7,          2,    2,        -11.02,          3.31,       1.28,      12.80,     42.33,          0.42
       -7,          2,    3,         -9.84,          3.31,       1.43,      14.29,     47.27,          0.44
       -7,          2,    4,         -8.60,          3.31,       1.56,      15.54,     51.40,          0.50
       -7,          2,    5,         -8.02,          3.31,       1.67,      16.67,     55.13,          0.50
       -7,          2,    6,         -7.60,          3.31,       1.76,      17.63,     58.32,          0.50
       -7,          2,    7,         -7.29,          3.31,       1.85,      18.54,     61.32,          0.49
       -7,          3,    1,        -13.33,          3.31,       1.13,      11.27,     37.28,          0.34
       -7,          3,    2,        -10.06,          3.31,       1.35,      13.53,     44.74,          0.47
       -7,          3,    3,         -8.77,          3.31,       1.52,      15.15,     50.13,          0.50
       -7,          3,    4,         -8.15,          3.31,       1.65,      16.50,     54.58,          0.49
       -7,          3,    5,         -7.33,          3.31,       1.75,      17.51,     57.91,          0.54
       -7,          3,    6,         -6.97,          3.31,       1.85,      18.47,     61.09,          0.54
       -7,          3,    7,         -6.72,          3.31,       1.94,      19.35,     63.99,          0.53
       -7,          4,    1,        -12.72,          3.31,       1.17,      11.69,     38.67,          0.35
       -7,          4,    2,         -9.44,          3.31,       1.42,      14.20,     46.96,          0.49
       -7,          4,    3,         -8.09,          3.31,       1.59,      15.89,     52.56,          0.54
       -7,          4,    4,         -7.61,          3.31,       1.72,      17.20,     56.88,          0.52
