[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.81,          3.31,       0.98,       9.77,     32.32,          0.19
       -9,          1,    2,        -14.36,          3.31,       1.13,      11.30,     37.38,          0.27
       -9,          1,    3,        -13.00,          3.31,       1.24,      12.41,     41.04,          0.29
       -9,          1,    4,        -12.16,          3.31,       1.34,      13.39,     44.31,          0.30
       -9,          1,    5,        -11.49,          3.31,       1.44,      14.39,     47.61,          0.30
       -9,          1,    6,        -11.02,          3.31,       1.52,      15.25,     50.43,          0.30
       -9,          1,    7,        -10.60,          3.31,       1.61,      16.09,     53.22,          0.30
       -9,          2,    1,        -16.82,          3.31,       1.01,      10.08,     33.35,          0.22
       -9,          2,    2,        -13.23,          3.31,       1.18,      11.78,     38.99,          0.31
       -9,          2,    3,        -11.77,          3.31,       1.31,      13.09,     43.33,          0.34
       -9,          2,    4,        -10.84,          3.31,       1.42,      14.22,     47.04,          0.35
       -9,          2,    5,        -10.24,          3.31,       1.52,      15.24,     50.43,          0.35
       -9,          2,    6,         -9.79,          3.31,       1.62,      16.18,     53.54,          0.35
       -9,          2,    7,         -9.46,          3.31,       1.70,      16.96,     56.11,          0.35
       -9,          3,    1,        -15.67,          3.31,       1.04,      10.40,     34.41,          0.25
       -9,          3,    2,        -12.66,          3.31,       1.23,      12.34,     40.80,          0.32
       -9,          3,    3,        -10.93,          3.31,       1.37,      13.73,     45.42,          0.37
       -9,          3,    4,        -10.06,          3.31,       1.49,      14.92,     49.35,          0.38
       -9,          3,    5,         -9.56,          3.31,       1.59,      15.91,     52.64,          0.38
       -9,          3,    6,         -9.20,          3.31,       1.68,      16.79,     55.53,          0.38
       -9,          3,    7,         -8.93,          3.31,       1.76,      17.59,     58.18,          0.37
       -9,          4,    1,        -15.07,          3.31,       1.07,      10.74,     35.53,          0.26
       -9,          4,    2,        -11.77,          3.31,       1.29,      12.87,     42.57,          0.35
       -9,          4,    3,        -10.64,          3.31,       1.43,      14.32,     47.36,          0.36
       -9,          4,    4,         -9.96,          3.31,       1.55,      15.49,     51.24,          0.37
       -9,          4,    5,         -9.11,          3.31,       1.65,      16.55,     54.73,          0.39
       -9,          4,    6,         -8.76,          3.31,       1.74,      17.41,     57.58,          0.39
       -9,          4,    7,         -8.48,          3.31,       1.84,      18.38,     60.79,          0.38
       -8,          1,    1,        -16.17,          3.31,       1.01,      10.07,     33.30,          0.25
       -8,          1,    2,        -13.09,          3.31,       1.17,      11.67,     38.61,          0.33
       -8,          1,    3,        -11.77,          3.31,       1.29,      12.87,     42.56,          0.35
       -8,          1,    4,        -11.23,          3.31,       1.39,      13.89,     45.94,          0.34
       -8,          1,    5,        -10.30,          3.31,       1.49,      14.95,     49.46,          0.36
       -8,          1,    6,         -9.83,          3.31,       1.58,      15.82,     52.32,          0.36
       -8,          1,    7,         -9.42,          3.31,       1.67,      16.71,     55.28,          0.36
       -8,          2,    1,        -15.20,          3.31,       1.04,      10.42,     34.49,          0.28
       -8,          2,    2,        -11.98,          3.31,       1.23,      12.28,     40.64,          0.37
       -8,          2,    3,        -10.53,          3.31,       1.37,      13.69,     45.29,          0.41
       -8,          2,    4,         -9.62,          3.31,       1.49,      14.92,     49.34,          0.43
       -8,          2,    5,         -9.07,          3.31,       1.60,      15.98,     52.86,          0.43
       -8,          2,    6,         -8.93,          3.31,       1.69,      16.88,     55.82,          0.40
       -8,          2,    7,         -8.28,          3.31,       1.78,      17.77,     58.77,          0.42
       -8,          3,    1,        -14.39,          3.31,       1.08,      10.81,     35.75,          0.30
       -8,          3,    2,        -11.10,          3.31,       1.30,      12.95,     42.86,          0.40
       -8,          3,    3,         -9.68,          3.31,       1.45,      14.48,     47.88,          0.44
       -8,          3,    4,         -8.83,          3.31,       1.57,      15.70,     51.91,          0.46
       -8,          3,    5,         -8.35,          3.31,       1.67,      16.70,     55.27,          0.46
       -8,          3,    6,         -7.99,          3.31,       1.76,      17.61,     58.25,          0.46
       -8,          3,    7,         -7.73,          3.31,       1.85,      18.53,     61.31,          0.45
       -8,          4,    1,        -13.78,          3.31,       1.12,      11.25,     37.22,          0.31
       -8,          4,    2,        -10.68,          3.31,       1.35,      13.54,     44.78,          0.40
       -8,          4,    3,         -9.48,          3.31,       1.51,      15.12,     50.02,          0.43
       -8,          4,    4,         -8.35,          3.31,       1.64,      16.40,     54.26,          0.48
       -8,          4,    5,         -7.88,          3.31,       1.74,      17.41,     57.59,          0.48
       -8,          4,    6,         -7.54,          3.31,       1.84,      18.41,     60.91,          0.47
       -8,          4,    7,         -7.26,          3.31,       1.93,      19.33,     63.93,          0.47
       -7,          1,    1,        -15.13,          3.31,       1.03,      10.32,     34.15,          0.29
       -7,          1,    2,        -12.03,          3.31,       1.21,      12.07,     39.93,          0.39
       -7,          1,    3,        -10.90,          3.31,       1.34,      13.34,     44.11,          0.40
       -7,          1,    4,        -10.28,          3.31,       1.45,      14.46,     47.82,          0.39
       -7,          1,    5,         -9.28,          3.31,       1.55,      15.49,     51.25,          0.43
       -7,          1,    6,         -8.83,          3.31,       1.64,      16.45,     54.43,          0.43
       -7,          1,    7,         -8.43,          3.31,       1.73,      17.32,     57.29,          0.43
       -7,          2,    1,        -14.13,          3.31,       1.07,      10.74,     35.53,          0.33
       -7,          2,    2,        -10.92,          3.31,       1.28,      12.79,     42.30,          0.44
       -7,          2,    3,         -9.49,          3.31,       1.43,      14.28,     47.25,          0.48
       -7,          2,    4,         -8.65,          3.31,       1.56,      15.57,     51.49,          0.49
       -7,          2,    5,         -8.35,          3.31,       1.67,      16.66,     55.11,          0.47
       -7,          2,    6,         -7.58,          3.31,       1.76,      17.60,     58.20,          0.51
       -7,          2,    7,         -7.27,          3.31,       1.86,      18.54,     61.32,          0.50
       -7,          3,    1,        -13.31,          3.31,       1.12,      11.25,     37.21,          0.34
       -7,          3,    2,        -10.04,          3.31,       1.35,      13.53,     44.75,          0.47
       -7,          3,    3,         -8.62,          3.31,       1.52,      15.16,     50.16,          0.52
       -7,          3,    4,         -7.80,          3.31,       1.65,      16.47,     54.47,          0.54
       -7,          3,    5,         -7.59,          3.31,       1.75,      17.50,     57.88,          0.51
       -7,          3,    6,         -7.33,          3.31,       1.85,      18.49,     61.15,          0.49
       -7,          3,    7,         -6.71,          3.31,       1.94,      19.35,     64.02,          0.53
       -7,          4,    1,        -12.71,          3.31,       1.17,      11.69,     38.68,          0.36
       -7,          4,    2,         -9.42,          3.31,       1.42,      14.23,     47.07,          0.49
       -7,          4,    3,         -8.06,          3.31,       1.59,      15.89,     52.56,          0.54
       -7,          4,    4,         -7.30,          3.31,       1.72,      17.20,     56.90,          0.56
       -7,          4,    5,         -6.86,          3.31,       1.84,      18.33,     60.64,          0.56
       -7,          4,    6,         -6.81,          3.31,       1.93,      19.34,     63.97,          0.52
       -7,          4,    7,         -6.59,          3.31,       2.03,      20.28,     67.07,          0.50
       -6,          1,    1,        -14.54,          3.31,       1.06,      10.61,     35.10,          0.31
       -6,          1,    2,        -11.07,          3.31,       1.25,      12.49,     41.31,          0.45
       -6,          1,    3,         -9.77,          3.31,       1.38,      13.83,     45.76,          0.48
       -6,          1,    4,         -8.99,          3.31,       1.50,      14.99,     49.57,          0.49
       -6,          1,    5,         -8.36,          3.31,       1.61,      16.09,     53.21,          0.50
       -6,          1,    6,         -7.97,          3.31,       1.70,      17.01,     56.27,          0.49
       -6,          1,    7,         -7.79,          3.31,       1.80,      18.00,     59.54,          0.46
       -6,          2,    1,        -13.16,          3.31,       1.11,      11.14,     36.84,          0.37
       -6,          2,    2,         -9.96,          3.31,       1.33,      13.31,     44.03,          0.50
       -6,          2,    3,         -8.53,          3.31,       1.49,      14.94,     49.41,          0.55
       -6,          2,    4,         -7.65,          3.31,       1.63,      16.26,     53.79,          0.57
       -6,          2,    5,         -7.07,          3.31,       1.73,      17.33,     57.32,          0.58
       -6,          2,    6,         -6.65,          3.31,       1.84,      18.40,     60.86,          0.58
       -6,          2,    7,         -6.36,          3.31,       1.93,      19.31,     63.86,          0.58
       -6,          3,    1,        -12.58,          3.31,       1.16,      11.61,     38.40,          0.38
       -6,          3,    2,         -9.07,          3.31,       1.41,      14.12,     46.72,          0.54
       -6,          3,    3,         -7.66,          3.31,       1.59,      15.85,     52.45,          0.60
       -6,          3,    4,         -6.83,          3.31,       1.72,      17.22,     56.96,          0.62
       -6,          3,    5,         -6.36,          3.31,       1.84,      18.36,     60.73,          0.62
       -6,          3,    6,         -6.01,          3.31,       1.93,      19.33,     63.94,          0.62
       -6,          3,    7,         -5.77,          3.31,       2.02,      20.21,     66.84,          0.61
       -6,          4,    1,        -11.74,          3.31,       1.21,      12.14,     40.16,          0.40
       -6,          4,    2,         -8.47,          3.31,       1.49,      14.90,     49.28,          0.55
       -6,          4,    3,         -7.32,          3.31,       1.67,      16.71,     55.27,          0.59
       -6,          4,    4,         -6.33,          3.31,       1.81,      18.12,     59.94,          0.64
       -6,          4,    5,         -5.87,          3.31,       1.93,      19.25,     63.69,          0.65
