[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.47,          3.31,       0.98,       9.79,     32.38,          0.21
       -9,          1,    2,        -14.66,          3.31,       1.13,      11.28,     37.31,          0.25
       -9,          1,    3,        -12.99,          3.31,       1.24,      12.39,     41.00,          0.29
       -9,          1,    4,        -12.15,          3.31,       1.34,      13.40,     44.34,          0.30
       -9,          1,    5,        -11.48,          3.31,       1.43,      14.37,     47.54,          0.30
       -9,          1,    6,        -11.00,          3.31,       1.52,      15.23,     50.39,          0.30
       -9,          1,    7,        -10.58,          3.31,       1.61,      16.13,     53.35,          0.30
       -9,          2,    1,        -16.44,          3.31,       1.01,      10.06,     33.29,          0.24
       -9,          2,    2,        -13.26,          3.31,       1.18,      11.81,     39.06,          0.31
       -9,          2,    3,        -12.07,          3.31,       1.31,      13.12,     43.40,          0.32
       -9,          2,    4,        -10.82,          3.31,       1.42,      14.24,     47.10,          0.36
       -9,          2,    5,        -10.22,          3.31,       1.53,      15.28,     50.53,          0.36
       -9,          2,    6,         -9.78,          3.31,       1.62,      16.17,     53.49,          0.35
       -9,          2,    7,         -9.44,          3.31,       1.70,      17.00,     56.23,          0.35
       -9,          3,    1,        -15.70,          3.31,       1.04,      10.40,     34.40,          0.25
       -9,          3,    2,        -12.35,          3.31,       1.23,      12.34,     40.82,          0.34
       -9,          3,    3,        -10.92,          3.31,       1.38,      13.75,     45.48,          0.37
       -9,          3,    4,        -10.35,          3.31,       1.49,      14.93,     49.38,          0.36
       -9,          3,    5,         -9.96,          3.31,       1.59,      15.90,     52.59,          0.35
       -9,          3,    6,         -9.21,          3.31,       1.68,      16.77,     55.47,          0.38
       -9,          3,    7,         -8.91,          3.31,       1.76,      17.61,     58.25,          0.37
       -9,          4,    1,        -15.05,          3.31,       1.08,      10.76,     35.57,          0.26
       -9,          4,    2,        -11.75,          3.31,       1.29,      12.88,     42.62,          0.35
       -9,          4,    3,        -10.37,          3.31,       1.43,      14.32,     47.36,          0.39
       -9,          4,    4,         -9.58,          3.31,       1.55,      15.51,     51.30,          0.40
       -9,          4,    5,         -9.14,          3.31,       1.65,      16.53,     54.68,          0.39
       -9,          4,    6,         -9.09,          3.31,       1.74,      17.41,     57.58,          0.36
       -9,          4,    7,         -8.46,          3.31,       1.84,      18.37,     60.76,          0.38
       -8,          1,    1,        -16.52,          3.31,       1.01,      10.04,     33.23,          0.24
       -8,          1,    2,        -13.07,          3.31,       1.17,      11.68,     38.62,          0.33
       -8,          1,    3,        -11.74,          3.31,       1.29,      12.88,     42.60,          0.36
       -8,          1,    4,        -10.96,          3.31,       1.39,      13.91,     46.00,          0.36
       -8,          1,    5,        -10.28,          3.31,       1.49,      14.94,     49.43,          0.37
       -8,          1,    6,         -9.81,          3.31,       1.58,      15.83,     52.36,          0.37
       -8,          1,    7,         -9.41,          3.31,       1.67,      16.71,     55.30,          0.36
       -8,          2,    1,        -15.19,          3.31,       1.04,      10.42,     34.48,          0.28
       -8,          2,    2,        -12.14,          3.31,       1.23,      12.30,     40.68,          0.36
       -8,          2,    3,        -10.88,          3.31,       1.37,      13.72,     45.37,          0.38
       -8,          2,    4,         -9.60,          3.31,       1.49,      14.92,     49.35,          0.43
       -8,          2,    5,         -9.02,          3.31,       1.60,      15.94,     52.72,          0.43
       -8,          2,    6,         -8.58,          3.31,       1.69,      16.87,     55.81,          0.43
       -8,          2,    7,         -8.27,          3.31,       1.78,      17.79,     58.86,          0.42
       -8,          3,    1,        -14.38,          3.31,       1.08,      10.79,     35.71,          0.30
       -8,          3,    2,        -11.08,          3.31,       1.30,      12.98,     42.95,          0.41
       -8,          3,    3,         -9.86,          3.31,       1.45,      14.48,     47.89,          0.43
       -8,          3,    4,         -9.19,          3.31,       1.57,      15.70,     51.93,          0.43
       -8,          3,    5,         -8.33,          3.31,       1.67,      16.71,     55.28,          0.47
       -8,          3,    6,         -7.97,          3.31,       1.76,      17.62,     58.28,          0.46
       -8,          3,    7,         -7.71,          3.31,       1.85,      18.52,     61.25,          0.45
       -8,          4,    1,        -13.76,          3.31,       1.13,      11.25,     37.23,          0.31
       -8,          4,    2,        -10.52,          3.31,       1.36,      13.54,     44.79,          0.42
       -8,          4,    3,         -9.11,          3.31,       1.51,      15.14,     50.10,          0.46
       -8,          4,    4,         -8.43,          3.31,       1.64,      16.39,     54.23,          0.47
       -8,          4,    5,         -8.21,          3.31,       1.74,      17.41,     57.58,          0.44
       -8,          4,    6,         -7.52,          3.31,       1.84,      18.42,     60.92,          0.47
       -8,          4,    7,         -7.24,          3.31,       1.94,      19.33,     63.93,          0.47
       -7,          1,    1,        -15.10,          3.31,       1.03,      10.31,     34.10,          0.30
       -7,          1,    2,        -12.03,          3.31,       1.21,      12.05,     39.87,          0.39
       -7,          1,    3,        -10.70,          3.31,       1.34,      13.38,     44.25,          0.41
       -7,          1,    4,         -9.90,          3.31,       1.45,      14.46,     47.86,          0.42
       -7,          1,    5,         -9.33,          3.31,       1.55,      15.53,     51.36,          0.42
       -7,          1,    6,         -9.04,          3.31,       1.65,      16.46,     54.45,          0.41
       -7,          1,    7,         -8.78,          3.31,       1.73,      17.34,     57.37,          0.39
       -7,          2,    1,        -14.10,          3.31,       1.07,      10.74,     35.52,          0.33
       -7,          2,    2,        -10.90,          3.31,       1.28,      12.78,     42.29,          0.44
       -7,          2,    3,         -9.46,          3.31,       1.43,      14.29,     47.28,          0.48
       -7,          2,    4,         -8.57,          3.31,       1.56,      15.57,     51.52,          0.50
       -7,          2,    5,         -8.01,          3.31,       1.66,      16.65,     55.07,          0.50
       -7,          2,    6,         -7.60,          3.31,       1.76,      17.61,     58.26,          0.50
       -7,          2,    7,         -7.28,          3.31,       1.86,      18.54,     61.34,          0.50
       -7,          3,    1,        -13.59,          3.31,       1.12,      11.24,     37.18,          0.33
       -7,          3,    2,        -10.05,          3.31,       1.35,      13.52,     44.71,          0.47
       -7,          3,    3,         -8.60,          3.31,       1.52,      15.17,     50.17,          0.52
