[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.76,          3.31,       0.98,       9.77,     32.32,          0.19
       -9,          1,    2,        -14.33,          3.31,       1.12,      11.23,     37.16,          0.27
       -9,          1,    3,        -12.99,          3.31,       1.24,      12.36,     40.90,          0.29
       -9,          1,    4,        -12.15,          3.31,       1.34,      13.36,     44.19,          0.30
       -9,          1,    5,        -11.48,          3.31,       1.43,      14.34,     47.43,          0.30
       -9,          1,    6,        -11.02,          3.31,       1.52,      15.22,     50.34,          0.30
       -9,          1,    7,        -10.59,          3.31,       1.61,      16.06,     53.11,          0.30
       -9,          2,    1,        -16.77,          3.31,       1.01,      10.07,     33.30,          0.22
       -9,          2,    2,        -13.22,          3.31,       1.18,      11.77,     38.92,          0.31
       -9,          2,    3,        -11.76,          3.31,       1.31,      13.10,     43.33,          0.34
       -9,          2,    4,        -10.84,          3.31,       1.42,      14.20,     46.99,          0.35
       -9,          2,    5,        -10.24,          3.31,       1.52,      15.24,     50.41,          0.35
       -9,          2,    6,         -9.79,          3.31,       1.61,      16.15,     53.41,          0.35
       -9,          2,    7,         -9.46,          3.31,       1.70,      16.96,     56.11,          0.35
       -9,          3,    1,        -15.64,          3.31,       1.04,      10.39,     34.37,          0.25
       -9,          3,    2,        -12.40,          3.31,       1.23,      12.31,     40.73,          0.34
       -9,          3,    3,        -11.27,          3.31,       1.37,      13.73,     45.42,          0.34
       -9,          3,    4,        -10.06,          3.31,       1.49,      14.92,     49.35,          0.38
       -9,          3,    5,         -9.56,          3.31,       1.59,      15.90,     52.59,          0.38
       -9,          3,    6,         -9.20,          3.31,       1.68,      16.77,     55.47,          0.38
       -9,          3,    7,         -8.94,          3.31,       1.76,      17.59,     58.19,          0.37
       -9,          4,    1,        -15.05,          3.31,       1.07,      10.75,     35.55,          0.26
       -9,          4,    2,        -11.76,          3.31,       1.29,      12.86,     42.54,          0.35
       -9,          4,    3,        -10.40,          3.31,       1.43,      14.31,     47.34,          0.38
       -9,          4,    4,         -9.88,          3.31,       1.55,      15.49,     51.25,          0.37
       -9,          4,    5,         -9.51,          3.31,       1.65,      16.53,     54.68,          0.36
       -9,          4,    6,         -8.77,          3.31,       1.74,      17.43,     57.67,          0.39
       -9,          4,    7,         -8.49,          3.31,       1.83,      18.34,     60.66,          0.38
       -8,          1,    1,        -16.17,          3.31,       1.01,      10.07,     33.31,          0.25
       -8,          1,    2,        -13.09,          3.31,       1.17,      11.67,     38.60,          0.33
       -8,          1,    3,        -11.77,          3.31,       1.29,      12.88,     42.60,          0.35
       -8,          1,    4,        -11.10,          3.31,       1.39,      13.88,     45.92,          0.35
       -8,          1,    5,        -10.67,          3.31,       1.49,      14.93,     49.38,          0.33
       -8,          1,    6,         -9.85,          3.31,       1.58,      15.82,     52.35,          0.36
       -8,          1,    7,         -9.44,          3.31,       1.67,      16.70,     55.24,          0.36
       -8,          2,    1,        -15.20,          3.31,       1.04,      10.39,     34.37,          0.28
       -8,          2,    2,        -11.98,          3.31,       1.23,      12.28,     40.61,          0.37
       -8,          2,    3,        -10.55,          3.31,       1.37,      13.70,     45.33,          0.41
       -8,          2,    4,         -9.63,          3.31,       1.49,      14.92,     49.35,          0.42
       -8,          2,    5,         -9.09,          3.31,       1.59,      15.94,     52.73,          0.42
       -8,          2,    6,         -8.95,          3.31,       1.69,      16.87,     55.81,          0.40
       -8,          2,    7,         -8.30,          3.31,       1.78,      17.74,     58.68,          0.42
       -8,          3,    1,        -14.39,          3.31,       1.08,      10.80,     35.74,          0.30
       -8,          3,    2,        -11.11,          3.31,       1.30,      12.95,     42.85,          0.40
       -8,          3,    3,         -9.68,          3.31,       1.45,      14.46,     47.81,          0.44
       -8,          3,    4,         -8.84,          3.31,       1.57,      15.70,     51.94,          0.46
       -8,          3,    5,         -8.36,          3.31,       1.67,      16.69,     55.21,          0.46
       -8,          3,    6,         -8.00,          3.31,       1.76,      17.64,     58.37,          0.46
       -8,          3,    7,         -7.74,          3.31,       1.85,      18.50,     61.19,          0.45
       -8,          4,    1,        -13.80,          3.31,       1.13,      11.27,     37.29,          0.30
       -8,          4,    2,        -10.85,          3.31,       1.35,      13.53,     44.75,          0.39
       -8,          4,    3,         -9.14,          3.31,       1.51,      15.15,     50.09,          0.46
       -8,          4,    4,         -8.37,          3.31,       1.64,      16.40,     54.25,          0.48
       -8,          4,    5,         -7.90,          3.31,       1.74,      17.42,     57.62,          0.48
       -8,          4,    6,         -7.55,          3.31,       1.84,      18.41,     60.92,          0.47
       -8,          4,    7,         -7.28,          3.31,       1.93,      19.33,     63.94,          0.46
       -7,          1,    1,        -15.16,          3.31,       1.03,      10.33,     34.17,          0.29
       -7,          1,    2,        -12.36,          3.31,       1.21,      12.06,     39.90,          0.36
       -7,          1,    3,        -10.73,          3.31,       1.33,      13.34,     44.12,          0.41
       -7,          1,    4,         -9.94,          3.31,       1.44,      14.44,     47.75,          0.42
       -7,          1,    5,         -9.30,          3.31,       1.55,      15.49,     51.23,          0.43
       -7,          1,    6,         -8.84,          3.31,       1.64,      16.45,     54.43,          0.43
       -7,          1,    7,         -8.45,          3.31,       1.73,      17.29,     57.21,          0.43
       -7,          2,    1,        -14.19,          3.31,       1.07,      10.74,     35.54,          0.32
       -7,          2,    2,        -11.22,          3.31,       1.28,      12.79,     42.32,          0.40
       -7,          2,    3,         -9.49,          3.31,       1.43,      14.31,     47.34,          0.47
       -7,          2,    4,         -8.59,          3.31,       1.56,      15.56,     51.45,          0.50
       -7,          2,    5,         -8.02,          3.31,       1.67,      16.67,     55.13,          0.50
       -7,          2,    6,         -7.59,          3.31,       1.76,      17.62,     58.28,          0.50
       -7,          2,    7,         -7.29,          3.31,       1.85,      18.54,     61.34,          0.49
       -7,          3,    1,        -13.32,          3.31,       1.12,      11.24,     37.19,          0.34
       -7,          3,    2,        -10.05,          3.31,       1.35,      13.53,     44.77,          0.47
       -7,          3,    3,         -8.70,          3.31,       1.52,      15.17,     50.17,          0.51
       -7,          3,    4,         -8.15,          3.31,       1.65,      16.46,     54.45,          0.50
       -7,          3,    5,         -7.32,          3.31,       1.75,      17.47,     57.78,          0.54
       -7,          3,    6,         -6.97,          3.31,       1.85,      18.50,     61.17,          0.53
       -7,          3,    7,         -6.72,          3.31,       1.94,      19.37,     64.06,          0.53
       -7,          4,    1,        -12.71,          3.31,       1.17,      11.69,     38.66,          0.36
       -7,          4,    2,         -9.44,          3.31,       1.42,      14.19,     46.95,          0.49
       -7,          4,    3,         -8.08,          3.31,       1.59,      15.93,     52.70,          0.53
       -7,          4,    4,         -7.31,          3.31,       1.72,      17.20,     56.88,          0.56
       -7,          4,    5,         -6.86,          3.31,       1.84,      18.35,     60.71,          0.56
       -7,          4,    6,         -6.71,          3.31,       1.93,      19.32,     63.90,          0.53
       -7,          4,    7,         -6.58,          3.31,       2.03,      20.29,     67.10,          0.50
       -6,          1,    1,        -14.54,          3.31,       1.06,      10.58,     35.00,          0.31
       -6,          1,    2,        -11.09,          3.31,       1.25,      12.48,     41.29,          0.44
       -6,          1,    3,         -9.79,          3.31,       1.39,      13.85,     45.82,          0.47
       -6,          1,    4,         -9.01,          3.31,       1.50,      14.95,     49.44,          0.49
       -6,          1,    5,         -8.38,          3.31,       1.61,      16.08,     53.19,          0.49
       -6,          1,    6,         -7.93,          3.31,       1.70,      17.01,     56.26,          0.49
       -6,          1,    7,         -7.57,          3.31,       1.80,      17.99,     59.51,          0.49
       -6,          2,    1,        -13.45,          3.31,       1.11,      11.12,     36.80,          0.34
       -6,          2,    2,         -9.97,          3.31,       1.33,      13.31,     44.03,          0.49
       -6,          2,    3,         -8.55,          3.31,       1.49,      14.91,     49.34,          0.54
       -6,          2,    4,         -7.66,          3.31,       1.63,      16.24,     53.73,          0.57
       -6,          2,    5,         -7.09,          3.31,       1.73,      17.33,     57.32,          0.58
       -6,          2,    6,         -6.67,          3.31,       1.84,      18.40,     60.86,          0.58
       -6,          2,    7,         -6.37,          3.31,       1.93,      19.32,     63.90,          0.57
       -6,          3,    1,        -12.40,          3.31,       1.16,      11.63,     38.47,          0.39
       -6,          3,    2,         -9.37,          3.31,       1.41,      14.14,     46.76,          0.50
       -6,          3,    3,         -7.68,          3.31,       1.59,      15.87,     52.50,          0.59
       -6,          3,    4,         -6.85,          3.31,       1.72,      17.21,     56.92,          0.62
       -6,          3,    5,         -6.38,          3.31,       1.83,      18.34,     60.67,          0.62
       -6,          3,    6,         -6.03,          3.31,       1.93,      19.31,     63.89,          0.62
       -6,          3,    7,         -5.79,          3.31,       2.02,      20.21,     66.85,          0.61
       -6,          4,    1,        -11.76,          3.31,       1.21,      12.11,     40.06,          0.41
       -6,          4,    2,         -8.48,          3.31,       1.49,      14.90,     49.28,          0.55
       -6,          4,    3,         -7.17,          3.31,       1.67,      16.69,     55.19,          0.61
       -6,          4,    4,         -6.69,          3.31,       1.81,      18.10,     59.85,          0.59
       -6,          4,    5,         -6.26,          3.31,       1.93,      19.28,     63.77,          0.59
       -6,          4,    6,         -5.55,          3.31,       2.03,      20.27,     67.03,          0.64
       -6,          4,    7,         -5.29,          3.31,       2.13,      21.28,     70.38,          0.63
       -5,          1,    1,        -12.54,          3.31,       1.13,      11.24,     37.19,          0.41
       -5,          1,    2,         -9.46,          3.31,       1.34,      13.35,     44.14,          0.55
       -5,          1,    3,         -8.18,          3.31,       1.48,      14.83,     49.06,          0.60
       -5,          1,    4,         -7.42,          3.31,       1.60,      16.02,     52.99,          0.62
       -5,          1,    5,         -7.05,          3.31,       1.72,      17.19,     56.86,          0.60
       -5,          1,    6,         -6.35,          3.31,       1.82,      18.25,     60.37,          0.63
       -5,          1,    7,         -5.97,          3.31,       1.93,      19.28,     63.76,          0.63
       -5,          2,    1,        -11.55,          3.31,       1.18,      11.81,     39.07,          0.46
       -5,          2,    2,         -8.34,          3.31,       1.43,      14.32,     47.36,          0.62
       -5,          2,    3,         -6.92,          3.31,       1.61,      16.10,     53.25,          0.69
       -5,          2,    4,         -6.06,          3.31,       1.75,      17.52,     57.95,          0.72
       -5,          2,    5,         -5.77,          3.31,       1.88,      18.79,     62.16,          0.69
       -5,          2,    6,         -5.07,          3.31,       1.99,      19.91,     65.88,          0.74
       -5,          2,    7,         -4.78,          3.31,       2.08,      20.81,     68.83,          0.74
       -5,          3,    1,        -10.73,          3.31,       1.24,      12.41,     41.07,          0.49
       -5,          3,    2,         -7.45,          3.31,       1.53,      15.31,     50.64,          0.67
       -5,          3,    3,         -6.04,          3.31,       1.72,      17.25,     57.04,          0.75
       -5,          3,    4,         -5.22,          3.31,       1.88,      18.79,     62.15,          0.78
       -5,          3,    5,         -4.75,          3.31,       2.00,      19.97,     66.06,          0.79
       -5,          3,    6,         -4.51,          3.31,       2.10,      20.99,     69.44,          0.77
       -5,          3,    7,         -4.52,          3.31,       2.19,      21.95,     72.61,          0.72
       -5,          4,    1,        -10.11,          3.31,       1.31,      13.07,     43.22,          0.50
       -5,          4,    2,         -6.83,          3.31,       1.63,      16.26,     53.78,          0.69
       -5,          4,    3,         -5.46,          3.31,       1.83,      18.31,     60.57,          0.77
       -5,          4,    4,         -4.70,          3.31,       1.98,      19.84,     65.61,          0.81
       -5,          4,    5,         -4.25,          3.31,       2.11,      21.05,     69.64,          0.82
       -5,          4,    6,         -3.92,          3.31,       2.21,      22.15,     73.25,          0.82
       -5,          4,    7,         -3.68,          3.31,       2.32,      23.23,     76.81,          0.81
       -4,          1,    1,        -12.12,          3.31,       1.15,      11.53,     38.13,          0.43
       -4,          1,    2,         -8.76,          3.31,       1.37,      13.72,     45.37,          0.61
       -4,          1,    3,         -7.47,          3.31,       1.53,      15.30,     50.60,          0.67
       -4,          1,    4,         -6.71,          3.31,       1.66,      16.55,     54.72,          0.69
       -4,          1,    5,         -6.10,          3.31,       1.78,      17.76,     58.73,          0.70
       -4,          1,    6,         -5.66,          3.31,       1.88,      18.84,     62.30,          0.70
       -4,          1,    7,         -5.32,          3.31,       1.99,      19.90,     65.83,          0.70
       -4,          2,    1,        -11.20,          3.31,       1.21,      12.14,     40.14,          0.46
       -4,          2,    2,         -7.63,          3.31,       1.48,      14.80,     48.94,          0.68
       -4,          2,    3,         -6.22,          3.31,       1.67,      16.69,     55.20,          0.76
       -4,          2,    4,         -5.34,          3.31,       1.82,      18.23,     60.32,          0.80
       -4,          2,    5,         -4.78,          3.31,       1.95,      19.50,     64.51,          0.81
       -4,          2,    6,         -4.37,          3.31,       2.06,      20.60,     68.13,          0.82
       -4,          2,    7,         -4.08,          3.31,       2.16,      21.62,     71.51,          0.82
       -4,          3,    1,        -10.05,          3.31,       1.28,      12.80,     42.35,          0.53
       -4,          3,    2,         -7.05,          3.31,       1.59,      15.86,     52.46,          0.69
       -4,          3,    3,         -5.33,          3.31,       1.80,      17.97,     59.43,          0.82
       -4,          3,    4,         -4.51,          3.31,       1.96,      19.55,     64.66,          0.86
       -4,          3,    5,         -4.04,          3.31,       2.08,      20.75,     68.63,          0.88
