[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.46,          3.31,       0.98,       9.78,     32.35,          0.21
       -9,          1,    2,        -14.36,          3.31,       1.13,      11.25,     37.22,          0.27
       -9,          1,    3,        -13.01,          3.31,       1.24,      12.39,     40.98,          0.29
       -9,          1,    4,        -12.18,          3.31,       1.34,      13.41,     44.35,          0.29
       -9,          1,    5,        -11.50,          3.31,       1.44,      14.37,     47.53,          0.30
       -9,          1,    6,        -11.09,          3.31,       1.52,      15.23,     50.39,          0.29
       -9,          1,    7,        -10.96,          3.31,       1.61,      16.09,     53.21,          0.27
       -9,          2,    1,        -16.83,          3.31,       1.01,      10.08,     33.35,          0.22
       -9,          2,    2,        -13.24,          3.31,       1.18,      11.80,     39.03,          0.31
       -9,          2,    3,        -11.77,          3.31,       1.31,      13.11,     43.35,          0.34
       -9,          2,    4,        -10.84,          3.31,       1.43,      14.26,     47.17,          0.35
       -9,          2,    5,        -10.24,          3.31,       1.53,      15.24,     50.43,          0.36
       -9,          2,    6,         -9.79,          3.31,       1.62,      16.17,     53.50,          0.35
       -9,          2,    7,         -9.50,          3.31,       1.70,      16.99,     56.19,          0.35
       -9,          3,    1,        -15.91,          3.31,       1.04,      10.38,     34.34,          0.24
       -9,          3,    2,        -12.74,          3.31,       1.23,      12.35,     40.85,          0.31
       -9,          3,    3,        -10.93,          3.31,       1.38,      13.75,     45.48,          0.37
       -9,          3,    4,        -10.07,          3.31,       1.49,      14.94,     49.40,          0.38
       -9,          3,    5,         -9.57,          3.31,       1.59,      15.89,     52.57,          0.38
       -9,          3,    6,         -9.20,          3.31,       1.68,      16.80,     55.58,          0.38
       -9,          3,    7,         -8.94,          3.31,       1.76,      17.59,     58.18,          0.37
       -9,          4,    1,        -15.07,          3.31,       1.07,      10.75,     35.56,          0.26
       -9,          4,    2,        -11.98,          3.31,       1.29,      12.85,     42.51,          0.34
       -9,          4,    3,        -10.75,          3.31,       1.43,      14.30,     47.30,          0.36
       -9,          4,    4,         -9.60,          3.31,       1.55,      15.50,     51.27,          0.40
       -9,          4,    5,         -9.12,          3.31,       1.65,      16.54,     54.70,          0.39
       -9,          4,    6,         -8.77,          3.31,       1.74,      17.41,     57.58,          0.39
       -9,          4,    7,         -8.49,          3.31,       1.83,      18.35,     60.69,          0.38
       -8,          1,    1,        -16.17,          3.31,       1.01,      10.08,     33.32,          0.26
       -8,          1,    2,        -13.11,          3.31,       1.17,      11.67,     38.61,          0.33
       -8,          1,    3,        -12.05,          3.31,       1.29,      12.87,     42.59,          0.33
       -8,          1,    4,        -11.34,          3.31,       1.39,      13.89,     45.94,          0.33
       -8,          1,    5,        -10.31,          3.31,       1.49,      14.93,     49.39,          0.37
       -8,          1,    6,         -9.84,          3.31,       1.58,      15.82,     52.35,          0.36
       -8,          1,    7,         -9.43,          3.31,       1.67,      16.73,     55.35,          0.36
       -8,          2,    1,        -15.21,          3.31,       1.04,      10.41,     34.44,          0.28
       -8,          2,    2,        -11.99,          3.31,       1.23,      12.30,     40.69,          0.37
       -8,          2,    3,        -10.54,          3.31,       1.37,      13.71,     45.34,          0.41
       -8,          2,    4,         -9.68,          3.31,       1.49,      14.90,     49.28,          0.42
       -8,          2,    5,         -9.39,          3.31,       1.60,      15.96,     52.81,          0.40
       -8,          2,    6,         -8.60,          3.31,       1.69,      16.87,     55.81,          0.43
       -8,          2,    7,         -8.29,          3.31,       1.78,      17.77,     58.78,          0.42
       -8,          3,    1,        -14.40,          3.31,       1.08,      10.80,     35.71,          0.30
       -8,          3,    2,        -11.11,          3.31,       1.30,      12.98,     42.92,          0.40
