[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -7,          3,    4,         -7.77,          3.31,       1.65,      16.47,     54.48,          0.54
       -7,          3,    5,         -7.31,          3.31,       1.75,      17.51,     57.91,          0.54
       -7,          3,    6,         -7.22,          3.31,       1.85,      18.49,     61.16,          0.50
       -7,          3,    7,         -6.70,          3.31,       1.94,      19.35,     64.00,          0.53
       -7,          4,    1,        -13.05,          3.31,       1.17,      11.69,     38.66,          0.33
       -7,          4,    2,         -9.41,          3.31,       1.42,      14.17,     46.88,          0.49
       -7,          4,    3,         -8.05,          3.31,       1.59,      15.91,     52.62,          0.54
       -7,          4,    4,         -7.28,          3.31,       1.72,      17.20,     56.88,          0.56
       -7,          4,    5,         -6.81,          3.31,       1.84,      18.36,     60.71,          0.56
       -7,          4,    6,         -6.48,          3.31,       1.93,      19.35,     63.99,          0.56
       -7,          4,    7,         -6.21,          3.31,       2.03,      20.28,     67.07,          0.55
       -6,          1,    1,        -14.20,          3.31,       1.06,      10.61,     35.11,          0.33
       -6,          1,    2,        -11.36,          3.31,       1.25,      12.45,     41.17,          0.42
       -6,          1,    3,         -9.76,          3.31,       1.38,      13.84,     45.78,          0.48
       -6,          1,    4,         -8.97,          3.31,       1.50,      14.98,     49.55,          0.49
       -6,          1,    5,         -8.35,          3.31,       1.61,      16.08,     53.20,          0.50
       -6,          1,    6,         -7.90,          3.31,       1.70,      17.00,     56.25,          0.50
       -6,          1,    7,         -7.51,          3.31,       1.80,      18.00,     59.54,          0.50
       -6,          2,    1,        -13.15,          3.31,       1.11,      11.13,     36.80,          0.37
       -6,          2,    2,         -9.94,          3.31,       1.33,      13.30,     44.00,          0.50
       -6,          2,    3,         -8.65,          3.31,       1.49,      14.92,     49.34,          0.53
       -6,          2,    4,         -7.63,          3.31,       1.63,      16.26,     53.80,          0.57
       -6,          2,    5,         -7.06,          3.31,       1.73,      17.34,     57.37,          0.58
       -6,          2,    6,         -6.64,          3.31,       1.84,      18.41,     60.89,          0.58
       -6,          2,    7,         -6.34,          3.31,       1.93,      19.32,     63.90,          0.58
       -6,          3,    1,        -12.33,          3.31,       1.17,      11.65,     38.54,          0.39
       -6,          3,    2,         -9.08,          3.31,       1.41,      14.12,     46.69,          0.54
       -6,          3,    3,         -7.97,          3.31,       1.59,      15.87,     52.50,          0.55
       -6,          3,    4,         -6.81,          3.31,       1.72,      17.21,     56.91,          0.63
       -6,          3,    5,         -6.34,          3.31,       1.84,      18.36,     60.75,          0.63
       -6,          3,    6,         -6.00,          3.31,       1.93,      19.36,     64.04,          0.62
       -6,          3,    7,         -5.75,          3.31,       2.02,      20.20,     66.81,          0.62
       -6,          4,    1,        -11.72,          3.31,       1.21,      12.15,     40.18,          0.40
       -6,          4,    2,         -8.44,          3.31,       1.49,      14.91,     49.31,          0.55
       -6,          4,    3,         -7.12,          3.31,       1.67,      16.72,     55.30,          0.61
       -6,          4,    4,         -6.67,          3.31,       1.81,      18.09,     59.82,          0.59
       -6,          4,    5,         -5.86,          3.31,       1.93,      19.28,     63.75,          0.64
       -6,          4,    6,         -5.52,          3.31,       2.03,      20.27,     67.06,          0.64
